model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
RF,200,4.0,3.0,0.4988991935483872,0.12958428399666627,
RF,400,4.0,3.0,0.49863498463901684,0.12161966011609843,
XGB,150,3.0,,0.4975278417818741,0.09873212090293515,0.08
RF,200,4.0,2.0,0.4974921274961598,0.1300824463912268,
RF,400,4.0,2.0,0.4973846006144393,0.12316072565639663,
GBM,100,3.0,,0.4967144777265745,0.11210294527644583,0.1
RF,400,,1.0,0.496331797235023,0.12851116210090027,
RF,200,4.0,1.0,0.49610656682027654,0.12228056299209747,
RF,100,5.0,3.0,0.4956549539170507,0.12106025331578779,
RF,400,4.0,5.0,0.4955873655913979,0.12814481133149483,
RF,200,,2.0,0.49443798003072204,0.12194932720035098,
GBM,200,2.0,,0.4939410522273425,0.10991887808145324,0.05
RF,100,,2.0,0.49327496159754225,0.1354798279036298,
RF,100,4.0,3.0,0.49273329493087553,0.12683676817062553,
RF,100,4.0,2.0,0.49221582181259604,0.12815955936037082,
GBM,100,2.0,,0.4914539170506913,0.10498352708721548,0.05
RF,200,4.0,5.0,0.4909944316436252,0.1327763474526075,
GBM,100,2.0,,0.490269777265745,0.11571793244139159,0.1
RF,100,5.0,5.0,0.48843970814132104,0.1262584654258869,
RF,100,4.0,1.0,0.4882465437788019,0.12162924934339175,
RF,100,4.0,5.0,0.4833477342549923,0.121455402276541,
GBM,200,2.0,,0.48310675883256526,0.11488056264316358,0.1
RF,400,3.0,2.0,0.4764796466973886,0.12326528031689445,
RF,200,3.0,2.0,0.47590207373271887,0.12712050736126912,
RF,200,3.0,1.0,0.4752432795698924,0.12840238579588167,
RF,400,3.0,1.0,0.4752323348694316,0.12519215118839655,
RF,100,3.0,2.0,0.4744400921658986,0.11618067972124277,
RF,400,3.0,3.0,0.47363344854070666,0.12347548751415578,
RF,400,3.0,5.0,0.4686073348694317,0.12402699592576323,
RF,200,3.0,3.0,0.46734158986175117,0.12787641270867178,
RF,100,3.0,1.0,0.46611443932411667,0.12025153176364665,
RF,200,3.0,5.0,0.4645151689708142,0.1265462120915004,
RF,100,3.0,3.0,0.4634907834101382,0.12126075410562956,
RF,100,3.0,5.0,0.46267492319508446,0.11519449485255165,
