model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
XGB,100,6.0,,0.5808086504785315,0.08682358893930242,0.08
RF,200,,1.0,0.579213677983956,0.09360135397003126,
XGB,150,5.0,,0.5775353158847204,0.09801820106444473,0.08
RF,400,,1.0,0.5768760860366079,0.09126766520949632,
XGB,100,6.0,,0.5764648641835257,0.08674612361292533,0.15
RF,100,,1.0,0.5758279267842513,0.08984601135902075,
XGB,150,6.0,,0.5752595953866515,0.09044566118837166,0.03
XGB,250,6.0,,0.5737024192168831,0.08445806544434922,0.08
XGB,150,6.0,,0.573174351079059,0.08535984764651904,0.08
GBM,200,4.0,,0.5730832905671249,0.08350033596929302,0.05
XGB,250,6.0,,0.572562659247855,0.0907523778285694,0.03
GBM,200,4.0,,0.5721513473606497,0.08889809460504748,0.1
XGB,150,6.0,,0.5711162790697675,0.07866648697656295,0.15
XGB,150,4.0,,0.5692242119763391,0.08899802620873942,0.08
XGB,100,4.0,,0.5687924623432281,0.08617078137640669,0.15
XGB,100,5.0,,0.5683258695045422,0.0961485124309587,0.08
GBM,100,4.0,,0.568311157928855,0.08566543908783766,0.1
XGB,100,5.0,,0.5678939758168347,0.0959964168627522,0.15
XGB,100,4.0,,0.5677100000900341,0.08859183478161671,0.08
XGB,250,5.0,,0.5676728340040876,0.09473882287571107,0.08
XGB,250,4.0,,0.5675088458525782,0.08750046211874991,0.08
XGB,250,5.0,,0.5674395375847446,0.09009065382974868,0.03
XGB,250,4.0,,0.5663162718670377,0.08725232998663499,0.03
XGB,250,6.0,,0.565053327211013,0.08195949500577863,0.15
XGB,150,5.0,,0.5643141110480872,0.09965654761251727,0.15
XGB,150,4.0,,0.5638537125570591,0.09216271932270742,0.15
XGB,100,6.0,,0.5638268463747761,0.085810826793332,0.03
XGB,150,3.0,,0.5621575417083075,0.0942407442385837,0.08
XGB,150,5.0,,0.5614413202603787,0.08980501785980827,0.03
GBM,200,3.0,,0.5613602535360902,0.08166100911638287,0.1
XGB,100,5.0,,0.5608778687122419,0.0829011530417486,0.03
XGB,250,5.0,,0.5605278160422801,0.09521176756908169,0.15
GBM,100,4.0,,0.5600617634083318,0.08594732519544175,0.05
RF,400,8.0,1.0,0.5594719858826495,0.08553289513884028,
XGB,250,3.0,,0.5584679613573544,0.08764130512006754,0.08
RF,200,8.0,1.0,0.5584671870638972,0.08482529982154076,
RF,400,,2.0,0.5582645562668251,0.08156121436466662,
XGB,150,3.0,,0.556712331973818,0.08186598147748932,0.15
XGB,250,4.0,,0.556347477694046,0.09035496404983819,0.15
RF,100,,2.0,0.5560439546588156,0.07820253717397227,
RF,200,,2.0,0.5560100478081192,0.080292952154423,
RF,100,8.0,1.0,0.555665019042217,0.08412499337738708,
RF,100,7.0,1.0,0.5551973457940559,0.0755707324899812,
XGB,100,3.0,,0.554028396762373,0.08441133791365321,0.15
GBM,100,3.0,,0.5531728745194429,0.08978895932373097,0.1
GBM,200,3.0,,0.5531621964724631,0.09011475212901499,0.05
RF,400,7.0,1.0,0.5527226318774815,0.08044885984535909,
XGB,250,3.0,,0.5522203495124652,0.09090391194375877,0.15
RF,400,8.0,2.0,0.5514468303487021,0.07823331408573013,
GBM,100,3.0,,0.550959565675391,0.09598787669642281,0.05
RF,100,8.0,2.0,0.5506330479251637,0.08295083085761194,
RF,400,,3.0,0.5485911640511754,0.08452228667580047,
XGB,100,3.0,,0.5484047754098804,0.10134843082086846,0.08
XGB,250,3.0,,0.5473021815267987,0.09482320526710072,0.03
RF,400,7.0,2.0,0.5444606866002215,0.08196985907616179,
RF,400,8.0,3.0,0.5439340950220133,0.08161826940439841,
RF,200,7.0,1.0,0.5433227093068272,0.07793580102034874,
RF,200,,3.0,0.5432346019141255,0.08157444532913727,
XGB,150,4.0,,0.5428657141056461,0.08627393157783016,0.03
RF,200,8.0,2.0,0.5428208230919518,0.07628695960815944,
GBM,200,2.0,,0.5391926280060142,0.08657434646695245,0.05
GBM,200,2.0,,0.5378753927738612,0.09874247960001965,0.1
RF,200,7.0,2.0,0.5378009165473714,0.0809051641928732,
XGB,100,4.0,,0.5362211958332208,0.08864989532447644,0.03
RF,100,7.0,2.0,0.5354346757421063,0.08107792260370474,
RF,100,8.0,3.0,0.5353006509467089,0.08074629676735502,
GBM,100,2.0,,0.5350112092483051,0.09593124090864215,0.1
RF,100,,3.0,0.534682764767847,0.08886217161974162,
RF,400,6.0,1.0,0.5334613078356697,0.08346451317806484,
RF,200,,5.0,0.5331313867955955,0.09102696553587493,
RF,200,8.0,3.0,0.5330239940937616,0.08452193644200855,
RF,400,,5.0,0.5316493170911776,0.08722767237453684,
RF,400,7.0,3.0,0.531202315677642,0.08544518250291194,
RF,100,7.0,3.0,0.5284883450827864,0.08640505501217448,
RF,200,7.0,3.0,0.5283553106627412,0.0817751554471622,
RF,400,8.0,5.0,0.5274889663182346,0.08787686372649761,
RF,100,,5.0,0.5265075403577957,0.09003288799369319,
RF,200,8.0,5.0,0.5251059971729286,0.09362701331320239,
RF,200,6.0,1.0,0.5249961915566,0.08190337025148814,
RF,100,6.0,1.0,0.5240342129667144,0.08509223330556757,
RF,100,8.0,5.0,0.5235954226651901,0.09278548307543585,
RF,400,6.0,2.0,0.5227442400669855,0.08011980249676282,
XGB,150,3.0,,0.5221586401246072,0.09077228167741676,0.03
GBM,100,2.0,,0.5211861275423386,0.08736504890617994,0.05
RF,400,6.0,3.0,0.5185138967668746,0.08329307462189903,
RF,100,6.0,2.0,0.5174864093491434,0.08573726883832061,
RF,200,6.0,2.0,0.516998064266357,0.0848370722938447,
RF,100,6.0,3.0,0.5169815700150358,0.09021153731280888,
RF,200,6.0,3.0,0.5160356895263305,0.08350602936555826,
RF,400,7.0,5.0,0.5151567944250871,0.0876242010743731,
RF,200,7.0,5.0,0.5123486661444688,0.08257768956052748,
RF,200,5.0,1.0,0.5112570564243848,0.08954097698243664,
RF,100,7.0,5.0,0.508027568448442,0.08216196826223152,
RF,400,5.0,1.0,0.5075139777975853,0.08881063567815241,
RF,400,6.0,5.0,0.50674665298148,0.0868407940503534,
RF,100,5.0,1.0,0.5036732481610531,0.09454219153257355,
XGB,100,3.0,,0.5035518281428661,0.09252305285533993,0.03
RF,400,5.0,2.0,0.5018314381150456,0.08768760600707226,
RF,100,6.0,5.0,0.5016353077816492,0.08150158970707373,
RF,200,5.0,3.0,0.5013753792687429,0.08503449870899105,
