model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
XGB,150,4.0,,0.8095613633013014,0.07415165587280478,0.08
XGB,100,3.0,,0.809165212496482,0.06657053050601097,0.08
XGB,150,3.0,,0.8090256657686998,0.07066432239643869,0.08
XGB,100,4.0,,0.8085171752911691,0.07652978096170966,0.08
XGB,150,5.0,,0.8083870103065149,0.07339205917630795,0.15
XGB,250,3.0,,0.8080443354375244,0.07281769341838544,0.03
XGB,250,6.0,,0.8078922707839117,0.07333377324424852,0.15
XGB,250,6.0,,0.8074497741680404,0.08021937916865929,0.03
XGB,100,5.0,,0.8074224866980286,0.07792087787498655,0.03
XGB,150,6.0,,0.8074224866980285,0.08018358589713946,0.03
XGB,250,5.0,,0.8067797568788282,0.07455376990656601,0.15
XGB,150,3.0,,0.8067681771273104,0.07173881826047097,0.03
XGB,100,5.0,,0.8049877635264632,0.07764879766616026,0.08
XGB,150,5.0,,0.8049709568037742,0.07545668271769476,0.08
XGB,250,4.0,,0.8049625132349589,0.07588891714510855,0.03
XGB,250,4.0,,0.8048703309074827,0.07126288027596926,0.15
XGB,150,4.0,,0.8046124938013484,0.07703574006357339,0.03
XGB,100,6.0,,0.8045422111428303,0.07954189073194912,0.08
XGB,150,5.0,,0.8044005468215996,0.0787607123001981,0.03
XGB,250,4.0,,0.8042978033318591,0.07226404117031175,0.08
XGB,100,6.0,,0.804075697264552,0.08003160439741701,0.03
XGB,150,4.0,,0.8038721938536181,0.0761144351922645,0.15
XGB,100,4.0,,0.8038690576709152,0.07221552038281297,0.15
XGB,100,5.0,,0.80374835484433,0.0724271661057482,0.15
XGB,100,4.0,,0.803332127109217,0.07881096060090134,0.03
XGB,100,3.0,,0.8015444225537105,0.07854153691292654,0.15
XGB,150,6.0,,0.8015350408105826,0.07360295594807945,0.15
XGB,250,5.0,,0.8015024459544583,0.07811175932749971,0.03
XGB,250,3.0,,0.8009457869272112,0.07651083541273802,0.08
XGB,100,3.0,,0.8009174004530043,0.06959742497706681,0.03
XGB,100,6.0,,0.8008953667591439,0.07816306648226017,0.15
XGB,150,3.0,,0.8008660421106242,0.0732952095315169,0.15
XGB,250,6.0,,0.7996737833889537,0.07269450771685225,0.08
RF,200,5.0,1.0,0.7995337541715251,0.08556949826757462,
XGB,150,6.0,,0.7993079758219076,0.07857455435205347,0.08
RF,400,5.0,1.0,0.7989455188774073,0.08609611619775985,
RF,400,5.0,2.0,0.7983562649940359,0.0852467117708846,
XGB,250,5.0,,0.7980853738624636,0.0752804040532862,0.08
RF,100,5.0,1.0,0.7977627223138058,0.08671771637906513,
XGB,250,3.0,,0.7962987683111522,0.07725458630773527,0.15
RF,200,5.0,2.0,0.7956229611461809,0.08530784369067043,
RF,100,,1.0,0.7942554246579014,0.0810442373613666,
GBM,100,4.0,,0.7935904199000176,0.08584259092173455,0.05
RF,100,6.0,2.0,0.7930433034457802,0.08179970567828115,
GBM,100,2.0,,0.7922334981839626,0.07365670598360435,0.05
RF,200,,1.0,0.7919895728626379,0.08065732116182028,
RF,200,6.0,2.0,0.791866832857545,0.08256943919383479,
GBM,200,2.0,,0.791453178400547,0.07376287651933874,0.05
RF,400,6.0,2.0,0.7913300363207483,0.08110565271582298,
RF,400,6.0,1.0,0.7907973945559084,0.08388595019602346,
RF,400,,1.0,0.7902752871483522,0.08044542990531703,
RF,200,5.0,3.0,0.7902648868159704,0.0815832149439873,
RF,200,6.0,1.0,0.7901136263117686,0.08417787323665037,
GBM,100,3.0,,0.7899476498733466,0.07991954024536446,0.05
GBM,100,2.0,,0.7889858603728573,0.07631426701584729,0.1
RF,400,4.0,1.0,0.7888825807835096,0.08848036996309543,
RF,200,6.0,3.0,0.7883710345382171,0.08192071409168031,
RF,200,4.0,1.0,0.7883101336228271,0.0878915464709022,
RF,100,6.0,1.0,0.7882052189296772,0.08114512642176396,
RF,100,5.0,2.0,0.7878373741841233,0.08543056600804151,
RF,200,8.0,1.0,0.787787088040958,0.07927521128883182,
RF,400,8.0,1.0,0.7877555117740875,0.07996176442437472,
RF,100,7.0,1.0,0.787385629850026,0.08062877051381848,
GBM,200,4.0,,0.7867789527294172,0.08110965946515585,0.1
RF,400,6.0,3.0,0.7867418010266306,0.0797181150380262,
GBM,200,2.0,,0.7867389328937316,0.07375663160397178,0.1
RF,400,7.0,2.0,0.7860012866390576,0.07780671890749168,
GBM,200,3.0,,0.7858394649725919,0.08455480434286858,0.05
RF,400,7.0,1.0,0.7856061544234918,0.08318985817282899,
RF,400,5.0,3.0,0.7854970849583853,0.08394398743004494,
GBM,100,4.0,,0.785191561792181,0.08079555615750704,0.1
RF,100,4.0,1.0,0.785064050500583,0.08948018808257759,
RF,400,8.0,3.0,0.7850515325747522,0.07902275902276874,
RF,200,7.0,1.0,0.7850326886735555,0.08328113426952162,
RF,200,4.0,2.0,0.7848772733973972,0.08453195836768286,
RF,400,8.0,2.0,0.7848678916542693,0.07993265864273805,
RF,100,8.0,1.0,0.784277619181644,0.08233671057677822,
RF,200,7.0,2.0,0.7842691756128288,0.08536270775740114,
RF,100,6.0,3.0,0.7842618310482087,0.08130938747571254,
RF,200,4.0,3.0,0.7842062375189309,0.08077024756095126,
