x,y,Latitude_WGS84,Longitude_WGS84,favorability
-739953.5490118365,-1026440.9159960467,20.792409363915457,-17.06789862104939,0.11528957187790885
-739953.5490118365,-1024940.9159960467,20.80557432308455,-17.069470645808742,0.14232380834051414
-741453.5490118365,-1023440.9159960467,20.817260350591162,-17.08504590883329,0.11528957187790885
-739953.5490118365,-1023440.9159960467,20.81873986336912,-17.07104309237066,0.06210241025642865
-741453.5490118365,-1021940.9159960467,20.830426205190225,-17.086620632774096,0.10408251881038032
-741453.5490118365,-1020440.9159960467,20.843592639693583,-17.08819577934107,0.10408251881038032
-741453.5490118365,-1017440.9159960467,20.8699272459984,-17.091347341031486,0.11528957187790885
-739953.5490118365,-1014440.9159960467,20.897745274706043,-17.080486639072095,0.13276951609423412
-739953.5490118365,-1012940.9159960467,20.91091486589663,-17.082062042991843,0.1289819867348243
-739953.5490118365,-1011440.9159960467,20.924085033370854,-17.08363787006947,0.1018588720867336
-739953.5490118365,-1009940.9159960467,20.937255776523816,-17.085214120474806,0.12611717435117045
-739953.5490118365,-1008440.9159960467,20.950427094750307,-17.086790794377766,0.11528957187790885
-738453.5490118365,-1005440.9159960467,20.978252398628715,-17.075919875927497,0.11528957187790885
-738453.5490118365,-1003940.9159960467,20.991425704375814,-17.077495959930072,0.11528957187790885
-736953.5490118365,-1003940.9159960467,20.99290515169166,-17.063468137396427,0.14477503078315176
-309453.5490118365,-1003940.9159960467,21.342301301715988,-13.050196410311127,0.0012936157065979604
-307953.5490118365,-1003940.9159960467,21.343272532161933,-13.036067755752915,0.0020681960423293744
-306453.5490118365,-1003940.9159960467,21.34424197366766,-13.021938820818383,0.0054157724764790464
-736953.5490118365,-1002440.9159960467,21.00607929571359,-17.065042783018097,0.10408251881038032
-736953.5490118365,-1000940.9159960467,21.01925401178854,-17.066617852012502,0.07878042823756841
-333453.5490118365,-1000940.9159960467,21.352986983487735,-13.278353027864956,0.007365066917661327
-331953.5490118365,-1000940.9159960467,21.353987185959916,-13.264225126240385,0.04430830125798018
-330453.5490118365,-1000940.9159960467,21.354985600001037,-13.25009693585986,0.04083003328412397
-328953.5490118365,-1000940.9159960467,21.35598222553809,-13.235968457232417,0.041427513098995075
-310953.5490118365,-1000940.9159960467,21.367802202282537,-13.066404415820738,0.0009392384123507007
-309453.5490118365,-1000940.9159960467,21.368775570685727,-13.052272236334753,0.0004428610162326055
-307953.5490118365,-1000940.9159960467,21.36974714957694,-13.038139775735004,0.00852644415866476
-306453.5490118365,-1000940.9159960467,21.370716938885145,-13.024007034531474,0.0005648989790826644
-346953.5490118365,-999440.9159960467,21.357138227245223,-13.406576956185637,0.04405410735819804
-345453.5490118365,-999440.9159960467,21.358154704549825,-13.392449775387146,0.042458546880028855
-343953.5490118365,-999440.9159960467,21.359169393764862,-13.37832230113527,0.035424580383500125
-327453.5490118365,-999440.9159960467,21.37021294010161,-13.22290086196732,0.026820119177092837
-325953.5490118365,-999440.9159960467,21.3712061664946,-13.208769905969541,0.042790431223527194
-324453.5490118365,-999440.9159960467,21.372197603844146,-13.19463866313608,0.05206554127236521
-321453.5490118365,-999440.9159960467,21.374175111123094,-13.166375319000194,0.050988471535895794
-319953.5490118365,-999440.9159960467,21.375161180907977,-13.152243218716938,0.038846103566498605
-318453.5490118365,-999440.9159960467,21.37614546136034,-13.13811083363637,0.008252826433198532
-316953.5490118365,-999440.9159960467,21.37712795240822,-13.123978164268237,0.008913814508155942
-315453.5490118365,-999440.9159960467,21.378108653979847,-13.109845211122346,0.006745036422241086
-313953.5490118365,-999440.9159960467,21.379087566003513,-13.09571197470857,0.006513060351327188
-309453.5490118365,-999440.9159960467,21.382013564071908,-13.05331057095955,0.04588140569410381
-307953.5490118365,-999440.9159960467,21.38298531718957,-13.03917620657418,0.0009392384123507007
-306453.5490118365,-999440.9159960467,21.383955280402805,-13.025041561471193,0.0009392384123507007
-733953.5490118365,-997940.9159960467,21.04856088333893,-17.041697442142095,0.10076728572408856
-340953.5490118365,-997940.9159960467,21.374428239766555,-13.35114505370256,0.014417575739382259
-339453.5490118365,-997940.9159960467,21.37543774524444,-13.337014800285596,0.011715546208488076
-337953.5490118365,-997940.9159960467,21.376445462015703,-13.322884255332172,0.05198125345993912
-336453.5490118365,-997940.9159960467,21.377451390006694,-13.308753419351408,0.054230396344828964
-334953.5490118365,-997940.9159960467,21.378455529143906,-13.2946222928525,0.04509318383577638
-322953.5490118365,-997940.9159960467,21.3864242347267,-13.181562883332523,0.012040780953243204
-321453.5490118365,-997940.9159960467,21.387412270893204,-13.167429165094575,0.05581607372837283
-316953.5490118365,-997940.9159960467,21.390365641613887,-13.125026299884057,0.01760607565398706
-315453.5490118365,-997940.9159960467,21.391346519021337,-13.110891443014827,0.044419626632126924
-313953.5490118365,-997940.9159960467,21.39232560655949,-13.09675630276281,0.01760607565398706
-312453.5490118365,-997940.9159960467,21.393302904156766,-13.082620879638139,0.008252826433198532
-307953.5490118365,-997940.9159960467,21.39622405658972,-13.04021291813051,0.009936430290470538
-306453.5490118365,-997940.9159960467,21.397194193710536,-13.026076368617838,0.0004428610162326055
-735453.5490118365,-996440.9159960467,21.060260596782932,-17.057308039107376,0.08056662989589261
-733953.5490118365,-996440.9159960467,21.06173784225353,-17.04327005371609,0.07206871450403218
-391953.5490118365,-996440.9159960467,21.352270366485545,-13.832540054848222,0.007666992072008534
-390453.5490118365,-996440.9159960467,21.353340835130304,-13.818418117916485,0.004191092003814956
-388953.5490118365,-996440.9159960467,21.354409517329138,-13.804295872051354,0.011530042939198525
-376953.5490118365,-996440.9159960467,21.362894653524393,-13.691306844394772,0.003944792994652961
-375453.5490118365,-996440.9159960467,21.36394725421186,-13.677181840956862,0.02777616914109838
-373953.5490118365,-996440.9159960467,21.364998067678403,-13.663056533659626,0.03717356477030178
-372453.5490118365,-996440.9159960467,21.366047093847232,-13.64893092301084,0.003020010558658305
-370953.5490118365,-996440.9159960467,21.367094332641724,-13.634805009518338,0.0005648989790826644
-369453.5490118365,-996440.9159960467,21.36813978398535,-13.620678793690026,0.0009392384123507007
-367953.5490118365,-996440.9159960467,21.369183447801692,-13.606552276033883,0.0005648989790826644
-366453.5490118365,-996440.9159960467,21.37022532401449,-13.592425457057942,0.003276420815068561
-364953.5490118365,-996440.9159960467,21.37126541254764,-13.578298337270306,0.005200754651167104
-363453.5490118365,-996440.9159960467,21.37230371332511,-13.564170917179146,0.0004428610162326055
-361953.5490118365,-996440.9159960467,21.373340226271033,-13.55004319729269,0.004823040861688607
-360453.5490118365,-996440.9159960467,21.374374951309655,-13.535915178119255,0.0052608320555544005
-358953.5490118365,-996440.9159960467,21.375407888365377,-13.521786860167197,0.0004428610162326055
-357453.5490118365,-996440.9159960467,21.376439037362722,-13.507658243944945,0.0004428610162326055
-355953.5490118365,-996440.9159960467,21.37746839822634,-13.493529329961005,0.0005439464585769741
-351453.5490118365,-996440.9159960467,21.38054575126317,-13.451140806524954,0.021544039065588272
-345453.5490118365,-996440.9159960467,21.384623850224703,-13.39461863747334,0.011123164894962184
-343953.5490118365,-996440.9159960467,21.38563890332136,-13.380487359709518,0.046790339801176487
-340953.5490118365,-996440.9159960467,21.387663643022503,-13.352223925144084,0.05615450566680476
-339453.5490118365,-996440.9159960467,21.388673329479012,-13.338091769360831,0.037118346222060714
-337953.5490118365,-996440.9159960467,21.389681226907726,-13.323959321922889,0.011271953233449454
-336453.5490118365,-996440.9159960467,21.390687335234986,-13.309826583339595,0.042616238266725545
-334953.5490118365,-996440.9159960467,21.39169165438726,-13.295693554120348,0.04353117196426794
-331953.5490118365,-996440.9159960467,21.39369492487339,-13.267426625811895,0.022766602389353307
-330453.5490118365,-996440.9159960467,21.394693876060842,-13.253292727741803,0.014943704025380191
-328953.5490118365,-996440.9159960467,21.395691037780516,-13.23915854107399,0.0034834582253503916
-327453.5490118365,-996440.9159960467,21.39668640995953,-13.225024066318161,0.004583928314608261
-325953.5490118365,-996440.9159960467,21.397679992525124,-13.2108893039841,0.00048088329525451
-324453.5490118365,-996440.9159960467,21.398671785404684,-13.196754254581643,0.00048088329525451
-310953.5490118365,-996440.9159960467,21.407517373532922,-13.069525976036633,0.03476619698780686
-307953.5490118365,-996440.9159960467,21.409463367165223,-13.04124991051789,0.030145522087897815
-306453.5490118365,-996440.9159960467,21.410433678196085,-13.027111456085077,0.002569501619361585
-735453.5490118365,-994940.9159960467,21.073437860325914,-17.05888293861098,0.0955079297724313
-733953.5490118365,-994940.9159960467,21.074915370802085,-17.04484308836601,0.09832746918502921
-732453.5490118365,-994940.9159960467,21.076391115805873,-17.030802814874615,0.07422218852449362
-382953.5490118365,-994940.9159960467,21.371897156036862,-13.748936204673207,0.05312160915253051
-381453.5490118365,-994940.9159960467,21.37295709480745,-13.73481052226779,0.01759755050479695
-379953.5490118365,-994940.9159960467,21.37401524634467,-13.72068453384866,0.04131662106493373
-378453.5490118365,-994940.9159960467,21.37507161057129,-13.706558239923513,0.006999819611214589
-375453.5490118365,-994940.9159960467,21.377178976783878,-13.678304737586384,0.003276420815068561
-373953.5490118365,-994940.9159960467,21.378229978615902,-13.664177530190145,0.011882893265113867
-372453.5490118365,-994940.9159960467,21.379279192829287,-13.650050019319401,0.00045698531001791626
-370953.5490118365,-994940.9159960467,21.380326619347393,-13.635922205482196,0.0004428610162326055
-369453.5490118365,-994940.9159960467,21.381372258093666,-13.621794089186642,0.0009392384123507007
-367953.5490118365,-994940.9159960467,21.382416108991716,-13.607665670940913,0.0009392384123507007
-366453.5490118365,-994940.9159960467,21.383458171965238,-13.593536951253244,0.0036739180546710645
-364953.5490118365,-994940.9159960467,21.384498446938128,-13.579407930631941,0.02499901029776307
-363453.5490118365,-994940.9159960467,21.385536933834334,-13.565278609585386,0.0052608320555544005
-361953.5490118365,-994940.9159960467,21.386573632577978,-13.551148988622007,0.0009392384123507007
-360453.5490118365,-994940.9159960467,21.387608543093307,-13.537019068250313,0.0004428610162326055
-358953.5490118365,-994940.9159960467,21.38864166530473,-13.52288884897887,0.003020010558658305
-357453.5490118365,-994940.9159960467,21.389672999136707,-13.508758331316315,0.0004428610162326055
-355953.5490118365,-994940.9159960467,21.390702544513896,-13.49462751577134,0.006728936606995498
-354453.5490118365,-994940.9159960467,21.39173030136106,-13.48049640285272,0.00048088329525451
-352953.5490118365,-994940.9159960467,21.392756269603087,-13.466364993069279,0.000665984421427033
-349953.5490118365,-994940.9159960467,21.39480283997202,-13.438101284943572,0.01156100054070179
-348453.5490118365,-994940.9159960467,21.39582344194935,-13.4239689876193,0.011271953233449454
-345453.5490118365,-994940.9159960467,21.39785927911685,-13.395703508993332,0.042047745457729296
-343953.5490118365,-994940.9159960467,21.398874514158262,-13.38157032871002,0.018401700901088374
-342453.5490118365,-994940.9159960467,21.399887960072466,-13.367436855125499,0.04361615909043153
-339453.5490118365,-994940.9159960467,21.401909484223154,-13.339169030090309,0.04444949242376487
-337953.5490118365,-994940.9159960467,21.40291756231191,-13.325034679658518,0.06152824304054215
-336453.5490118365,-994940.9159960467,21.40392385097802,-13.310900037963291,0.042790431223527194
-334953.5490118365,-994940.9159960467,21.404928350147948,-13.296765105514236,0.012005444985146236
-333453.5490118365,-994940.9159960467,21.405931059748244,-13.282629882821015,0.011569525689891901
-328953.5490118365,-994940.9159960467,21.408928450399408,-13.240222478373942,0.005142022606112163
-327453.5490118365,-994940.9159960467,21.409924000989825,-13.226086099801972,0.004838992303081859
-325953.5490118365,-994940.9159960467,21.41091776164556,-13.21194943353511,0.00048088329525451
-324453.5490118365,-994940.9159960467,21.41190973229397,-13.1978124800834,0.000665984421427033
-322953.5490118365,-994940.9159960467,21.412899912862574,-13.183675239956953,0.0036142313449112917
-321453.5490118365,-994940.9159960467,21.413888303279013,-13.169537713665935,0.006664667875560352
-319953.5490118365,-994940.9159960467,21.414874903471045,-13.155399901720584,0.0005439464585769741
-318453.5490118365,-994940.9159960467,21.415859713366558,-13.141261804631196,0.0034834582253503916
-316953.5490118365,-994940.9159960467,21.416842732893592,-13.127123422908122,0.002558675789355736
-313953.5490118365,-994940.9159960467,21.418803400554978,-13.098845807602675,0.0004428610162326055
-312453.5490118365,-994940.9159960467,21.419781048546028,-13.084706575041325,0.0005648989790826644
-309453.5490118365,-994940.9159960467,21.421730972491623,-13.056427262654418,0.0216931814584102
-307953.5490118365,-994940.9159960467,21.42270324830364,-13.042287183850256,0.002569501619361585
-306453.5490118365,-994940.9159960467,21.423673733247035,-13.028146823986656,0.002298626679379689
-733953.5490118365,-993440.9159960467,21.08809346837727,-17.04641654626193,0.10106961892227476
-732453.5490118365,-993440.9159960467,21.089569478073166,-17.032374407257628,0.10288686933653463
-408453.5490118365,-993440.9159960467,21.366832892920986,-13.990190476254622,0.006184068107929574
-406953.5490118365,-993440.9159960467,21.367923398128344,-13.976068175847262,0.000699271272642862
-405453.5490118365,-993440.9159960467,21.369012117115997,-13.961945560677975,0.005820272614994959
-403953.5490118365,-993440.9159960467,21.370099049804416,-13.947822631253525,0.004201203251063217
-402453.5490118365,-993440.9159960467,21.37118419611418,-13.933699388080736,0.0009392384123507007
-400953.5490118365,-993440.9159960467,21.37226755596601,-13.919575831666517,0.03091516415320551
-399453.5490118365,-993440.9159960467,21.373349129280747,-13.905451962517821,0.029898375386416744
-397953.5490118365,-993440.9159960467,21.3744289159794,-13.891327781141689,0.01960438455313732
-396453.5490118365,-993440.9159960467,21.375506915983046,-13.87720328804522,0.02111549566424844
-391953.5490118365,-993440.9159960467,21.37873019503702,-13.834827943505841,0.0036739180546710645
-390453.5490118365,-993440.9159960467,21.37980104747435,-13.820702208600412,0.003944792994652961
-388953.5490118365,-993440.9159960467,21.380870112824173,-13.806576164511178,0.004233358614111623
-387453.5490118365,-993440.9159960467,21.381937391008382,-13.792449811745644,0.004109754148401895
-385953.5490118365,-993440.9159960467,21.383002881949004,-13.778323150811389,0.021128383618646773
-384453.5490118365,-993440.9159960467,21.384066585568192,-13.764196182216057,0.005079451118098864
-382953.5490118365,-993440.9159960467,21.385128501788206,-13.75006890646736,0.008771286445147913
-379953.5490118365,-993440.9159960467,21.387246971720504,-13.721813435541039,0.04782468385560521
-378453.5490118365,-993440.9159960467,21.38830352527802,-13.707685241379178,0.005515461862302634
-376953.5490118365,-993440.9159960467,21.389358291126772,-13.693556742095462,0.03470499606282885
-375453.5490118365,-993440.9159960467,21.390411269189716,-13.679427938197936,0.0385186975574127
-372453.5490118365,-993440.9159960467,21.392511861650558,-13.65116941859398,0.000699271272642862
-370953.5490118365,-993440.9159960467,21.393559475894953,-13.637039703903964,0.0004428610162326055
-369453.5490118365,-993440.9159960467,21.394605302046585,-13.622909686632996,0.00045698531001791626
-367953.5490118365,-993440.9159960467,21.395649340029006,-13.608779367289435,0.0004428610162326055
-366453.5490118365,-993440.9159960467,21.39669158976596,-13.594648746381736,0.0009392384123507007
-364953.5490118365,-993440.9159960467,21.397732051181237,-13.580517824418404,0.01247266025704106
-363453.5490118365,-993440.9159960467,21.398770724198844,-13.566386601908011,0.006088965607825884
-361953.5490118365,-993440.9159960467,21.399807608742876,-13.552255079359199,0.0004428610162326055
-360453.5490118365,-993440.9159960467,21.400842704737602,-13.53812325728068,0.0038533438919916385
-355953.5490118365,-993440.9159960467,21.403937260670016,-13.49572599895489,0.006728936606995498
-354453.5490118365,-993440.9159960467,21.404965201712336,-13.481592983845891,0.0005439464585769741
-352953.5490118365,-993440.9159960467,21.405991353828437,-13.467459671751694,0.0005439464585769741
-351453.5490118365,-993440.9159960467,21.407015716943352,-13.45332606318139,0.006728936606995498
-349953.5490118365,-993440.9159960467,21.408038290982212,-13.439192158644145,0.00048088329525451
-348453.5490118365,-993440.9159960467,21.409059075870303,-13.425057958649193,0.0005439464585769741
-342453.5490118365,-993440.9159960467,21.413124322425066,-13.368518214279032,0.011295579329738646
-340953.5490118365,-993440.9159960467,21.414136160442997,-13.35438254463617,0.05541376492606402
-336453.5490118365,-993440.9159960467,21.417160936623496,-13.311973783340381,0.053338934994091244
-334953.5490118365,-993440.9159960467,21.418165615813617,-13.297836947151854,0.04471734956662201
-333453.5490118365,-993440.9159960467,21.419168505112893,-13.28369982060142,0.0044686219327114895
-331953.5490118365,-993440.9159960467,21.420169604448052,-13.269562404199009,0.03153424774933276
-330453.5490118365,-993440.9159960467,21.42116891374593,-13.255424698454627,0.0005439464585769741
-327453.5490118365,-993440.9159960467,21.423162161937878,-13.227148420980232,0.04040144380193107
-322953.5490118365,-993440.9159960467,21.426138607124756,-13.184731847457332,0.0036142313449112917
-321453.5490118365,-993440.9159960467,21.427127174669955,-13.170592416374538,0.006759770375664041
-319953.5490118365,-993440.9159960467,21.428113951669406,-13.156452699521495,0.0034834582253503916
-318453.5490118365,-993440.9159960467,21.429098938051027,-13.142312697408721,0.000665984421427033
-316953.5490118365,-993440.9159960467,21.4300821337428,-13.128172410546766,0.0044686219327114895
-315453.5490118365,-993440.9159960467,21.43106353867288,-13.11403183944626,0.0005439464585769741
-312453.5490118365,-993440.9159960467,21.43302097596126,-13.085749846572389,0.0005648989790826644
-310953.5490118365,-993440.9159960467,21.433997008176494,-13.071608425820587,0.0004428610162326055
