model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
XGB,100,6.0,,0.74371606838992,0.06187606452198375,0.15
XGB,250,5.0,,0.7436120789779327,0.062380542650336795,0.03
XGB,100,6.0,,0.7422753423547525,0.05889877418830565,0.08
XGB,150,5.0,,0.7398600869729628,0.05621029586979681,0.03
XGB,150,6.0,,0.7395321826972423,0.05863617455552491,0.03
XGB,100,6.0,,0.7389176998082274,0.057182669600635845,0.03
XGB,250,6.0,,0.7375355859870892,0.05858602313189452,0.15
XGB,100,5.0,,0.7375128973881101,0.05625851220541807,0.03
XGB,150,5.0,,0.7370926181022607,0.06630865809360728,0.08
XGB,250,5.0,,0.7370577748966858,0.06677299930519957,0.15
GBM,200,4.0,,0.7365688896091619,0.05244907564252568,0.05
GBM,200,4.0,,0.7361823731194123,0.05844468201498699,0.1
XGB,150,6.0,,0.7356302838775897,0.060168130881821734,0.15
XGB,150,4.0,,0.7355522242930073,0.06704338270006195,0.03
XGB,100,5.0,,0.7354730842989494,0.06643050709845671,0.08
XGB,100,5.0,,0.7346989709099749,0.06488507737204117,0.15
XGB,150,6.0,,0.7337360559652109,0.06458314290942996,0.08
XGB,250,5.0,,0.7337255219728277,0.07351671441108186,0.08
XGB,150,5.0,,0.7332587850795451,0.06563840789713604,0.15
XGB,250,6.0,,0.733238797504254,0.05470721516242678,0.03
GBM,100,4.0,,0.7328817221727034,0.060565235622414726,0.1
XGB,250,4.0,,0.7318107662804203,0.06437759104141383,0.15
XGB,100,3.0,,0.7312438214083139,0.061614122548626096,0.15
XGB,250,6.0,,0.7309121356994303,0.07067388885649949,0.08
XGB,100,4.0,,0.7308130081300813,0.06122763072048674,0.08
XGB,250,4.0,,0.7307449423331442,0.062384525823940405,0.03
XGB,100,4.0,,0.7303905680252815,0.058369546250725816,0.15
GBM,200,3.0,,0.7300356535126814,0.05410950772005128,0.05
XGB,150,3.0,,0.7299913567241986,0.0658194154190552,0.15
XGB,150,3.0,,0.7290400561812928,0.07679558982040266,0.08
