Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Geology_Class,Soil_Class,Elevation_m,Slope_deg,Ruggedness,presence
loc_00006,Tension joints & veins,32.59281111111111,-4.504277777777777,71,9,1842.2276611328125,5.132140907205022,7.20684360472624,1
loc_00007,Fault mirror,32.59246944444445,-4.504686111111111,71,9,1837.501220703125,6.555289278319837,5.549568617639463,1
loc_00008,Turbidite/tempesitie,32.59108611111111,-4.504991666666666,71,9,1818.8858642578125,9.556786017890891,10.361137453189563,1
loc_00009,Synsedimentary Fd,32.590869444444444,-4.504938888888889,71,9,1818.43994140625,9.487167551309083,9.60714948669938,1
loc_00010,Bioclastic limestone,32.59060277777778,-4.505005555555556,71,9,1816.2840576171875,9.798683615690704,10.357080885201446,1
loc_00011,Current ripples,32.590297222222226,-4.5050638888888885,71,9,1815.4425048828125,9.629708343916157,10.830442318246384,1
loc_00012,Th. Burrows,32.59028055555556,-4.504902777777778,71,9,1815.4425048828125,9.62970707284274,10.830442318246384,1
loc_00013,Limestone-marls  seq.,32.590050000000005,-4.504761111111111,71,9,1812.68408203125,9.488703333880071,11.80099714294938,1
loc_00014,Horst-graben structures,32.590025000000004,-4.504727777777778,71,9,1812.68408203125,9.488701857189737,11.80099714294938,1
loc_00015,Rhizocorallium burrows,32.58986388888889,-4.504866666666667,71,9,1816.0859375,10.07140583678105,10.721105654377585,1
loc_00016,Tridactyl footpreints,32.58935,-4.504527777777778,71,9,1809.46533203125,11.908621582411673,13.092888445893594,1
loc_00017,Lac Tislit,32.19583333333333,-5.636666666666666,71,9,2250.5,0.0,0.0,1
loc_00018,Imelouan Folds,32.155833333333334,-5.598333333333333,18,9,2178.271240234375,20.867695102836485,17.622465779958677,1
loc_00019,"Ait Ali Ou-Ikkou ""Red beds""",32.14472222222222,-5.557777777777778,71,9,2311.35546875,17.020516787957284,15.63974730436467,1
loc_00020,Todgha Gorges,31.584444444444443,-5.590833333333333,71,9,1482.126953125,36.74385944178508,64.64197382651085,1
loc_00022,Tissadrine Folds,31.529444444444444,-5.925833333333333,71,9,1773.1461181640625,24.38729956571733,25.53653332418647,1
loc_00023,"Msemrir ""Red Beds""",31.72,-5.826666666666666,71,7,2049.147705078125,8.194471849094496,7.6302490234375,1
loc_00024,Ait Aritane Panoramic view,31.542222222222225,-5.566944444444444,66,9,1449.9647216796875,23.42981133832883,37.44224359181302,1
loc_00026,"Tamtetoucht ""Red beds""",31.71722222222222,-5.507777777777778,71,9,1824.85009765625,4.315124525708093,4.49892961486312,1
loc_00027,Ait Hani Triassic salt cave,31.86416666666667,-5.470555555555555,71,9,2562.140869140625,23.419379524837392,29.10595904894112,1
loc_00028,Ighrem N’Ougdal Middle Jurassic strata,32.009166666666665,-5.490833333333334,71,9,2342.634765625,4.974522714638319,5.927389349819215,1
loc_00029,Tinghir Paleozoic-Cretaceous unconformity,31.48305555555556,-5.539444444444444,8,9,1276.69384765625,8.489027910253434,5.819573016206095,1
loc_00030,Foum El Kouss Basalts,31.435277777777777,-5.655,13,9,1366.206298828125,2.9008153060247,4.072700437435434,1
loc_00032,Imider Tertiary strata,31.375,-5.7908333333333335,13,9,1502.0279541015625,20.42420071062835,24.62287335356405,1
loc_00033,Anou N’Izm Tertiary strata,31.33944444444444,-5.838611111111111,13,8,1535.18701171875,13.183673837953906,17.97025217103564,1
loc_00034,Ait Youl Basalts,31.425,-6.011388888888889,71,9,1571.80419921875,6.061686706962852,10.783147638494318,1
loc_00035,Ait Ibriren Quaternary deposits,31.441944444444445,-6.010833333333333,71,9,1684.2000732421875,21.27934631138978,26.20928501097624,1
loc_00037,Taghia N’Ait Hammou Gorges,31.53666666666667,-5.919444444444445,71,9,1871.8389892578125,49.67938960083032,78.03858228951447,1
loc_00038,Tilmi Folds,31.80138888888889,-5.926111111111111,71,7,3235.072509765625,21.22899931563965,25.019224560950413,1
loc_00039,Ait Attou Oumoussa Jurassic strata,31.861666666666668,-5.708055555555556,71,7,2308.11962890625,33.16465038142086,61.97328980501033,1
loc_00040,Redbeds,32.166,-5.523,71,9,2291.8017578125,12.045384344476895,9.531647485149794,1
loc_00041,Intraformational unc,32.193,-5.639,71,9,2250.5,9.687231265319118,8.755005891658058,1
loc_00042,Isli Lake,32.222,-5.55,71,9,2283.41796875,5.047793928497748,5.039518498192149,1
loc_00043,Tisli Lake,32.199,-5.629,71,9,2257.7021484375,6.21348457153992,7.550444295583677,1
loc_00044,Dolerite dykes and sills,32.153,-5.64,71,9,2174.27734375,17.843734852498383,14.163580271823347,1
loc_00045,Fairy chimneys,32.176,-5.599,71,9,2237.878662109375,18.043591056444985,17.447846720041323,1
loc_00048,Msadrid ridge,32.153,-5.593,18,9,2193.627197265625,26.173386549165667,29.111279700413224,1
loc_00049,Ait Ali Ou Ikkou's diapirsm,32.153,-5.593,18,9,2193.627197265625,26.173386549165667,29.111279700413224,1
loc_00050,Late Jurassic theropod tracks,32.142,-5.57,71,9,2215.2734375,19.43486581913366,18.16287609762397,1
loc_00053,Traces of Crocodylopodus meijidei,32.183,-5.458,71,9,2407.218017578125,14.632680179065732,15.959504939307852,1
loc_00055,Akhiam cave,31.958,-5.696,71,7,2743.482177734375,15.273143359347486,13.318962664643594,1
loc_00056,The cliff granaries of Aoujgal,32.0,-6.333333333333333,71,9,1310.7635498046875,12.490324977480784,18.71419566761364,1
loc_00059,Chaâba valley,32.30277777777778,-9.230833333333331,69,8,24.019086837768555,12.903740604452636,14.99053740698444,1
loc_00060,Sidi Abderrahmane clayquarry,32.3325,-9.176666666666666,69,8,84.00806427001953,5.691311732770572,7.723564652371998,1
loc_00061,Sidi Abderrahmane dam,32.323888888888895,-9.180277777777777,69,8,73.5,0.0,0.120706857728564,1
loc_00064,El Goraan cave,32.5575,-9.254166666666666,17,3,48.8121452331543,5.463482067130809,6.387559685825316,1
loc_00066,Sidi Tiji Gypsum quarry,32.157777777777774,-8.865277777777777,68,8,335.76287841796875,20.08525852384037,20.674009717200413,1
loc_00070,Lake Afourgagh- charophytes tufas & gyrogonites,33.61666666666667,-4.883333333333333,71,3,1437.128173828125,4.549120902683868,7.977585469395661,1
loc_00071,Lake Aoua (Dayet Aoua),33.65555555555555,-5.333333333333333,71,3,1164.968017578125,1.7954283082448508,2.151592160059401,1
loc_00072,Lake Ifrah (Dayet Ifrah),33.5625,-4.916666666666667,71,3,1685.5123291015625,5.260107957112422,6.175748966942149,1
loc_00073,Lake Aguelmame Sidi Ali,33.07611111111112,-5.003611111111111,71,9,2083.602783203125,1.8879821345795669,3.161181237086777,1
loc_00076,Famennian Zebra griottes limestones of Ziyar,33.0425,-5.738666666666667,8,3,972.6912231445312,10.078278478595164,10.629656326672263,1
loc_00077,Arich OuzellaFm,31.142222222222223,-9.707777777777777,68,3,430.5691528320313,7.210997754611064,9.64733911939889,1
loc_00078,Chiker polje,34.118611111111115,-4.040555555555556,71,8,1344.6116943359375,0.558368552798187,2.8388379309788223,1
loc_00079,Chiker cave,34.12166666666667,-4.038333333333333,71,8,1346.4769287109375,7.865995902008005,13.296947636880166,1
loc_00081,Ras El Oued cave,33.95916666666667,-4.0,18,8,888.1976318359375,26.63726363993884,39.11704508463541,1
loc_00082,Chaâra lapiaz,33.97361111111111,-4.224722222222223,26,9,1218.2015380859375,6.538174542175571,4.547774890237603,1
loc_00084,GueltaTameda Lake,33.81777777777778,-4.081666666666666,71,9,1457.727294921875,1.63319636452748,3.5823934255552685,1
loc_00085,Taffert canyons,33.72138888888889,-4.2275,71,9,1181.843017578125,40.12698614723842,46.226998321281,1
loc_00086,Aïn Sebou,33.73694444444445,-4.532777777777778,71,8,673.1033935546875,24.27007134084491,17.372701849819215,1
loc_00087,Addan onion peels,29.213335,-8.203033,46,7,450.4251403808594,2.019416004034639,2.239810912077092,1
loc_00090,Imitek Karsts,29.603338,-8.251098,56,7,770.0392456054688,18.33481131104658,17.14321268885589,1
loc_00091,Issafenflat-irons,29.854611,-8.533996,56,7,1131.458251953125,3.1260740200288675,3.16756521177686,1
loc_00092,Tadakoust Pyramids,29.270107,-8.678496,56,7,731.8260498046875,32.48429056559153,35.3710579359827,1
loc_00094,Ait Ouabelli chasms,29.213335,-8.203033,46,7,450.4251403808594,2.019416004034639,2.239810912077092,1
loc_00095,Tagmout mask,29.270107,-8.678496,56,7,731.8260498046875,32.48429056559153,35.3710579359827,1
loc_00098,Tamzrart Petrified waterfall,29.339495,-8.52788,49,3,736.9594116210938,29.39721078804148,46.131295196281,1
loc_00099,Foum Zguid water gap,30.140782,-6.877585,8,3,677.3510131835938,1.65072685623932,1.3149232470299588,1
loc_00100,Tissint water gap,29.91642,-7.374716,10,3,621.0863037109375,5.20687268704095,8.004744600658574,1
loc_00101,Sidi Rezzoug water gap,29.748743,-7.659674,8,9,615.0166015625,1.0049701208304378,1.2619422092910642,1
loc_00102,Tata water gap,29.705037,-7.986517,8,7,631.6235961914062,0.9649669112691428,0.9674218548230888,1
loc_00105,Icht water gap,29.086675,-8.85169,14,7,532.5695190429688,0.752924066313655,0.3279065849367252,1
loc_00106,Fam El Hisn water gap,29.06027,-8.925848,24,7,543.4288940429688,0.8771481501016923,0.7460352369576446,1
loc_00107,Tizgui Ida Ou Baloul water gap,29.741683,-8.50205,49,7,1009.016357421875,20.66498786999203,26.947661596881456,1
loc_00108,Ibn Yaakoub water gap,30.068945,-7.954123,56,9,1457.3282470703125,10.22826042315406,5.937042992962294,1
loc_00110,Targant water gap,29.912618,-7.684191,49,3,1336.66943359375,7.306577507384361,17.51383026375258,1
loc_00112,Desert mermaid,29.646508,-7.756531,14,7,485.0333862304688,6.755124416802448,5.011232990863895,1
loc_00113,Tata oyster,29.646508,-7.756531,14,7,485.0333862304688,6.755124416802448,5.011232990863895,1
loc_00114,Akka Phillyrea,29.646508,-7.756531,14,7,485.0333862304688,6.755124416802448,5.011232990863895,1
loc_00116,Tagragra of Tata inlier,29.899215,-7.94165,49,9,1219.5758056640625,5.140937341587993,6.51601945861312,1
loc_00121,Alougoum gorge,30.308991,-6.837444,10,9,809.2957153320312,1.1312669676933715,1.177775233245093,1
loc_00122,Tlit gorge,30.278531,-7.062836,49,9,935.4249267578124,7.783566986596692,11.000997748256715,1
loc_00123,Aguinane gorge,30.195719,-7.540216,49,9,1114.17529296875,7.72601520562961,9.68513829254907,1
loc_00125,Agouliz gorge,29.732906,-8.189294,38,7,948.2532958984376,9.629127835856108,13.825940344944474,1
loc_00126,Aygou gorge,29.734488,-8.261025,49,7,975.6331176757812,10.491992966549876,14.140487797004132,1
loc_00128,Tamzrart gorge,29.361629,-8.518739,49,3,629.822509765625,35.772209616724425,34.93805385621126,1
loc_00129,Tadakoust gorge,29.254602,-8.694864,56,7,589.399169921875,25.56594265965004,26.830497300329288,1
loc_00131,Tamanart canyon,29.167098,-8.958087,56,9,684.3395385742188,17.673320572633347,20.60880197572314,1
loc_00132,Foum Zguid mesa,29.888118,-6.827353,60,7,694.3156127929688,29.37609952730305,36.243154982889976,1
loc_00133,Addana Onion Peels,29.21444444444444,-8.233055555555556,46,7,496.9561767578125,10.60281612870176,12.926857435998835,1
loc_00135,"Badlands of Akka (glaciofluvial,
 fluviomarine, & stream alluviums)",29.47055555555556,-8.293055555555556,8,7,574.3182983398438,2.2216868585441016,1.9429623942729848,1
loc_00137,Karsts of Imitek,29.61583333333333,-8.261111111111111,56,7,776.7150268554688,6.327861822444092,10.140965485375776,1
loc_00154,Tazgha salt Flats,27.9,-12.333333333333334,13,7,29.947938919067383,0.4450265989444568,0.5715048923965328,1
loc_00158,Amtoudi travertines,29.23935,-9.168466666666667,56,3,1004.4431762695312,41.460871627163165,58.14011048876549,1
loc_00159,Amtoudi waterfall and Bougaa source,29.23933333333333,-9.168466666666667,56,3,1004.4431762695312,41.460871048506846,58.14011048876549,1
loc_00160,Abaynou station,29.093,-10.019,14,6,410.3265380859375,3.0628580545428448,2.293175815550749,1
loc_00161,Pigeon cave,29.3,-9.695,56,9,1149.3814697265625,14.736049673434932,13.97467999418905,1
loc_00162,Assaka Basin,29.116666666666667,-10.416666666666666,56,9,103.29280853271484,6.123384184109721,6.86956547508555,1
loc_00176,BeniBousera Peridotitic Complex,35.52732169189336,-5.194990926733846,82,3,83.80628967285156,26.896264014242817,24.542275137152554,1
loc_00328,Talambote bad lands,35.25514905973631,-5.194830135719653,7,9,507.9841918945313,16.799601930772464,22.869668503438145,1
loc_00184,Bouhala Landslice,35.313233448135364,-5.438441306152264,8,3,492.4430541992188,14.910861604891616,14.062167080965908,1
loc_00192,Raghdat Southern,35.299406646993035,-5.411120390022425,8,9,550.3638305664062,7.587224814526551,11.199743854112862,1
loc_00193,Jbel Bou Sliman,35.31806624622103,-5.372840869212867,32,8,687.8427124023438,16.482144436310897,14.459128639914772,1
loc_00194,Jbel Lakraa,35.21666666666667,-5.25,25,3,778.6937866210938,18.72286272371955,23.397899280894887,1
loc_00198,Jbel Tellouja karst,35.23181859593759,-5.279753047641164,25,3,470.8674011230469,17.127058831983526,19.280079486941503,1
loc_00199,Raghdat Arimlal,35.16939288330852,-5.084877527601663,25,9,1231.6953125,37.05495566514106,48.84736267594266,1
loc_00205,Givetian reefal lime stones Stromatoporas,33.54575277777778,-6.007341666666667,28,9,1070.009521484375,5.556494651297465,6.160515399018595,1
loc_00206,Givetian reefal lime stones Algal laminitis,33.556780555555555,-6.039383333333333,28,9,902.5297241210938,20.928065071545408,16.832032763268337,1
loc_00207,Givetian reefal lime stones Slump balls,33.54856111111111,-6.030172222222222,28,9,1011.2996215820312,11.490284717562034,12.061248527085484,1
loc_00208,Famenno-Tournai sian calcareous (Mid Devonian reef limestones) rocks falls of Tiliouine,33.545833333333334,-6.0075,28,9,1067.983642578125,5.24675434150337,6.475165248902376,1
