Locality_ID,Region,origin,y_difficult,knn_pred_difficult,gp_pred_difficult,y_easy,knn_pred_easy,gp_pred_easy
loc_00654,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_00655,Tanger-Tétouan-Al Hoceima,batch3_2026,1,0,0,0,0,0
loc_00656,Tanger-Tétouan-Al Hoceima,batch3_2026,1,0,0,0,1,0
loc_00657,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00658,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,0
loc_00659,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00660,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00661,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,1,1
loc_00662,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00663,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00664,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00665,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,1,1
loc_00666,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00667,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,0,0
loc_00668,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,0,0
loc_00669,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,0
loc_00670,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,0,0
loc_00671,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,1,0,0,0
loc_00672,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_00673,Tanger-Tétouan-Al Hoceima,batch3_2026,1,0,0,0,0,0
loc_00674,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_00675,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00676,Tanger-Tétouan-Al Hoceima,batch3_2026,0,1,0,0,0,0
loc_00677,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,0
loc_00678,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,0
loc_00679,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00680,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00681,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00682,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,0,0
loc_00683,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,1,1
loc_00684,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00686,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,0,1
loc_00687,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,1,1
loc_00688,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_00689,Tanger-Tétouan-Al Hoceima,batch3_2026,1,0,0,0,1,0
loc_00690,Tanger-Tétouan-Al Hoceima,batch3_2026,1,0,0,0,0,0
loc_00691,Tanger-Tétouan-Al Hoceima,batch3_2026,1,1,0,0,0,0
loc_00692,Tanger-Tétouan-Al Hoceima,batch3_2026,1,1,1,0,0,0
loc_00693,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,0
loc_00694,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00695,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00696,Tanger-Tétouan-Al Hoceima,batch3_2026,1,1,0,0,0,0
loc_00697,Tanger-Tétouan-Al Hoceima,batch3_2026,1,1,0,0,0,0
loc_00698,Tanger-Tétouan-Al Hoceima,batch3_2026,1,0,0,0,0,0
loc_00699,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,0,0
loc_00700,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00701,Tanger-Tétouan-Al Hoceima,batch3_2026,1,0,0,0,0,0
loc_00702,Tanger-Tétouan-Al Hoceima,batch3_2026,1,0,0,0,0,0
loc_00703,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00713,Souss-Massa,batch3_2026,0,0,0,1,0,1
