Locality_ID,Expert_Class,Region,Latitude_WGS84,Longitude_WGS84,Dist_to_Highway_m,Slope_deg,Ruggedness,Elevation_m,LULC_Friction,Dist_to_Settlement_m,Expert_Merged,origin,proba,pred,correct,y,region_threshold,pred_regiontuned
loc_00304,Moderate,Béni Mellal-Khénifra,32.069947222222225,-6.424030555555556,4385.488123370983,24.541921139203296,28.37785049312371,871.8032836914062,0.1,30126.302598263537,Moderate,original_733,0.1191558236073097,0,True,0,0.14,0
loc_00307,Moderate,Béni Mellal-Khénifra,32.069947222222225,-6.424030555555556,4385.488123370983,24.541921139203296,28.37785049312371,871.8032836914062,0.1,30126.302598263537,Moderate,original_733,0.1191558236073097,0,True,0,0.14,0
loc_00306,Moderate,Béni Mellal-Khénifra,32.069947222222225,-6.424030555555556,4385.488123370983,24.541921139203296,28.37785049312371,871.8032836914062,0.1,30126.302598263537,Moderate,original_733,0.1191558236073097,0,True,0,0.14,0
loc_00244,Moderate,Béni Mellal-Khénifra,32.069947222222225,-6.424030555555556,4385.488123370983,24.541921139203296,28.37785049312371,871.8032836914062,0.1,30126.302598263537,Moderate,original_733,0.1191558236073097,0,True,0,0.14,0
loc_00305,Moderate,Béni Mellal-Khénifra,32.069947222222225,-6.424030555555556,4385.488123370983,24.541921139203296,28.37785049312371,871.8032836914062,0.1,30126.302598263537,Moderate,original_733,0.1191558236073097,0,True,0,0.14,0
loc_00313,Moderate,Béni Mellal-Khénifra,32.07277777777778,-6.445277777777778,3599.9893256255546,13.027255523468405,18.219178759362087,867.159423828125,0.15,30327.99202183607,Moderate,original_733,0.1008028621769149,0,True,0,0.14,0
loc_00312,Moderate,Béni Mellal-Khénifra,32.07277777777778,-6.445277777777778,3599.9893256255546,13.027255523468405,18.219178759362087,867.159423828125,0.15,30327.99202183607,Moderate,original_733,0.1008028621769149,0,True,0,0.14,0
loc_00311,Moderate,Béni Mellal-Khénifra,32.07277777777778,-6.445277777777778,3599.9893256255546,13.027255523468405,18.219178759362087,867.159423828125,0.15,30327.99202183607,Moderate,original_733,0.1008028621769149,0,True,0,0.14,0
loc_00310,Moderate,Béni Mellal-Khénifra,32.08027777777778,-6.46,2280.446184229308,15.015368344902354,10.037420603854596,824.09423828125,0.15,29964.574898004805,Moderate,original_733,0.6375076609662986,1,False,0,0.14,1
loc_00246,Easy,Béni Mellal-Khénifra,32.09181944444445,-6.331558333333333,18.81134508248273,12.949648808378516,16.983697055785125,1118.982666015625,0.2,27028.466804232576,Easy,original_733,0.062148544953484,0,True,0,0.14,0
