Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Geosite_Type,Elevation_m,Slope_deg,Ruggedness,Dist_to_Highway_m,LULC_Friction,Dist_to_Settlement_m,Geology_Class,Soil_Class
loc_00123,sedimentary and tectonic type: Quaternary conglomerate formation of Taghazout,30.53523888888889,-9.676272222222222,Souss-Massa,,98.30745697021484,8.541719107755508,4.2084219360351565,4.405279832023592,0.05,15529.619990000974,32.0,5.0
loc_00124,Karstic type geosite 3: Cap Ghir Cave,30.62918888888889,-9.833916666666669,Souss-Massa,,28.370649337768555,8.50693026843349,6.225743598937989,47.50685535643836,0.05,33348.15404011465,17.0,5.0
loc_00125,Stratigraphic-type geosite 4: Tiguert Formation,30.629534166666662,-9.834047222222225,Souss-Massa,,27.699308395385742,9.017303298141723,4.356840019226074,9.768406872039836,0.05,33383.824099957885,17.0,5.0
loc_00126,Stratigraphic Type: Oxfordian of Cap Ghir Reef,30.628327777777777,-9.836655555555556,Souss-Massa,,9.167478561401367,7.988248744183407,6.113545432090759,139.09534155802487,0.15,33470.97819749352,17.0,5.0
loc_00127,Imi Ouaddar sedimentary geosite type : black shale-Imi-Ouaddar,30.56222222222222,-9.742455555555557,Souss-Massa,,39.809993743896484,22.06948872658065,12.863770904541015,17.362225556634204,0.15,21891.24647281365,82.0,5.0
loc_00128,Cross‑Bedding Structures,29.941425,-5.625411111111112,Draa-Tafilalet,,757.3357543945312,4.169058218947361,2.38499267578125,3094.427826550378,0.1,47548.2221124549,14.0,7.0
loc_00129,"Bioturbation, Trace Fossils, and Fossils",29.925708333333336,-5.614744444444444,Draa-Tafilalet,,736.9892578125,12.537454738964513,7.64376220703125,1362.1857240215272,0.1,49567.75025551199,8.0,7.0
loc_00130,Wave Ripples,29.905975,-5.5915333333333335,Draa-Tafilalet,,728.3668212890625,16.54919246980802,7.39771240234375,1081.7403247041757,0.1,52522.03324345912,63.0,7.0
loc_00131,Micro‑faulting and Hydrofracturing,29.895227777777777,-5.609219444444444,Draa-Tafilalet,,616.1084594726562,1.3280701758297186,0.7662548828125,1038.2739078485802,0.1,52865.36871876445,8.0,7.0
loc_00132,Conglomerate and Conglomeratic Sandstone,29.896744444444444,-5.582991666666667,Draa-Tafilalet,,675.4915161132812,31.144717556756966,19.45156005859375,2387.1109625764093,0.1,53809.39309460486,8.0,7.0
loc_00133,Unconformities,29.9595,-5.637094444444444,Draa-Tafilalet,,758.7964477539062,24.989992021154432,15.85712646484375,4880.198711474814,0.1,45250.421503067555,8.0,3.0
loc_00134,Joints and Rock Fall,29.98065,-5.651988888888889,Draa-Tafilalet,,786.2844848632812,12.318297644932953,9.37218505859375,6607.899854813578,0.1,42513.236616161965,8.0,3.0
loc_00135,Exfoliation,29.872122222222224,-5.547361111111111,Draa-Tafilalet,,577.6151733398438,6.122222452286868,2.2981005859375,5606.36951926982,0.55,57834.90892181522,82.0,7.0
loc_00136,Jbel Ardouz,31.558536111111117,-8.631069444444446,Marrakech-Safi,,405.3494567871094,4.260120714094519,2.16078369140625,2811.126590175747,0.1,61257.38523278376,10.0,10.0
loc_00138,Tazekka,34.18333333333333,-4.2,Fez-Meknes,,442.4667663574219,24.336433278901534,16.09580078125,1041.5785826737374,0.55,18222.37976025785,24.0,9.0
loc_00139,Taza,34.21666666666667,-4.016666666666667,Fez-Meknes,,507.8804016113281,3.2961081421282508,1.769273681640625,250.74020509592063,0.05,1616.654818875867,48.0,8.0
loc_00140,Chaara Chasm,33.95682222222222,-4.247022222222222,Fez-Meknes,,1176.9998779296875,24.328925443754187,15.766201171875,4742.27934061975,0.55,37412.448929950486,26.0,9.0
loc_00142,Iferouato Chasm,34.104016666666666,-4.071858333333333,Fez-Meknes,,1441.2344970703125,16.29993469170964,9.4281005859375,275.6786487853898,0.55,15132.992772291544,71.0,8.0
loc_00143,Izoura Chasm,34.08271388888889,-4.107749999999999,Fez-Meknes,,1406.962158203125,10.811550795343736,5.025166015625,368.8321334592886,0.55,18695.29257623775,67.0,9.0
loc_00144,Anza tracksite,30.444925,-9.659819444444445,Souss-Massa,,2.427356243133545,3.806082562436429,2.3880764961242678,633.8199833480011,0.1,7772.544480388861,82.0,5.0
loc_00146,Cascdes of Oued Laou,35.27912222222222,-5.238088888888889,Tanger-Al Hoceima,,212.4792938232422,23.18638746259233,12.809517822265626,405.1098810293469,0.55,12574.109173764582,25.0,9.0
