Observation_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Geosite_Type,Geological_Domain,Locality_Center_Lat,Locality_Center_Lon,Locality_Group_Key,Coordinate_Precision,Source_File,Source_Row_Ref,Center_Coord_Source,Is_Merchich_Format
obs3_00040,Bab El Bahr,35.789007,-5.812113,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,43,,False
obs3_00041,Bab Lassa,35.788119,-5.812018,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,44,,False
obs3_00042,Bab El Hira,35.78653,-5.809422,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,45,,False
obs3_00043,Bab American,35.783817,-5.810501,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,46,,False
obs3_00044,Bab Haha,35.788671,-5.811854,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,47,,False
obs3_00045,Bouanania Cemetery,35.7908171,-5.8200251,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,48,,False
obs3_00046,Sour Al Maâkazine,35.7810852,-5.8117345,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,49,,False
obs3_00047,Villa Perdicaris,35.7921543,-5.8601788,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,50,,False
obs3_00048,Cape Spartel Lighthouse,35.7910567,-5.9238839,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,51,,False
obs3_00049,Hercules Cave,35.7599335,-5.9392319,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,52,,False
obs3_00050,Horse Cave,35.7613313,-5.9355535,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,53,,False
obs3_00051,Marina Port,35.79109,-5.810278,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,54,,False
obs3_00052,Continental Hotel,35.787464,-5.809423,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,55,,False
obs3_00053,Old ‘Hafa’ Coffee shop,35.791346,-5.821947,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,56,,False
obs3_00054,Souk Dakhel,35.784726,-5.812676,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,57,,False
obs3_00055,Ibn Battuta Mausoleum,35.787414,-5.813693,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,58,,False
obs3_00056,Bouarakiya Mausoleum,35.783531,-5.81884,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,59,,False
obs3_00057,Sidi Hosni Mausoleum,35.7884747,-5.8116093,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,60,,False
