Geological domain,Administrative region,Auteurs,Titre,Evaluated geosites,Geosite's type,Coordinates,,,,,,,,,,,
,,,,El Qualaa Travertines,,"33,84139N","−4,54778W",,,,,,,,,,
,,,,El Menzel Paleosols,,"33,84667N","−4,5425W",,,,,,,,,,
,,,,Beni Yazgha Thrust Fault,,"33,84611N","−4,60944W",,,,,,,,,,
,,,,El Menzel Fault,,"33,83306N","−4,53306W",,,,,,,,,,
,,,,Taghit Thrust Fault,,"33,76806N","−4,51139W",,,,,,,,,,
,,,,Quasbat Beni Yazgha Polje,,"33,82833N","−4,59361W",,,,,,,,,,
,,,,Jbel Taferguicht,,"33,81306N","−4,62972W",,,,,,,,,,
,,,,Jbel El Knisiya,,"33,81556N","−4,62222W",,,,,,,,,,
,,,,Oued Sebou,,"33,81139N","−4,60917W",,,,,,,,,,
,,,,Allal El Fassi Dam,,"33,92278N","−4,65083W",,,,,,,,,,
Middle Atlas,Beni Mellal-Khenifra,"Akhlidej et al., 2025",Geoheritage of the Azrou-Khenifra Basin (Moroccan Massif Central): Inventory and Quantitative Assessment of Geosites,Upper Devonian Kellwasser black limestones of Bou Ounabdou,,33°08.57’N,5°31.05’W,,,,,,,,,,
,,,,Upper Devonian olistolites of Bou Ounabdou,,33°08’22’’N,5°30’49’’W,,,,,,,,,,
,,,,Paleozoic Gara outcrop with Mesozoic cover of Mrirt,,3°09.11’N,5°30.19’W,,,,,,,,,,
,,,,Ordovician plicative structures of Mrirt,,33°06.00’N,5°35.21’W,,,,,,,,,,
,,,,Permian granitic dyke of Tighza,,33°11.87’N,5°37.02’W,,,,,,,,,,
,,,,Late-Hercynian granite of Ment,,33°11’55’’N,5°53’41’’W,,,,,,,,,,
,,,,The post kinetic Tourmalinite vein of Aguelmous,,33°12’39’’ N,5°55’36’’W,,,,,,,,,,
,,,,Permian Bou Hayati massif of Khenifra,,2°58’26’’N,5°41’56’’W,,,,,,,,,,
,,,,Clay matrix conglomerates of Permian in Khenifra,,32°57.24’N,5°41.15’W,,,,,,,,,,
,,,,Permian alternating clay and sand stonebeds of Khenifra,,32°57.63’N,5°41.28’W,,,,,,,,,,
,,,,Permian/Ordovician unconformity of Iaarochen,,33°01.73’N,5°36.86’W,,,,,,,,,,
,,,,Permian/Ordovician unconformity of Assabera,,33°02.97’N,5°36.86’W,,,,,,,,,,
,,,,Triassic/Ordovician unconformity of Azrou,,33°27.86’N,5°10.32’W,,,,,,,,,,
,,,,Triassic/upper Devonian unconformity of Tigrigra,,33°29.21’N,5°15.70’W,,,,,,,,,,
