Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Geosite_Type,Geological_Domain,Observation_Count,Member_Observation_IDs,Source_Files,Correction_Applied,Ground_Truth_Note
loc_00038,Ait Attou Oumoussa Jurassic strata,31.861666666666668,-5.708055555555556,Draa-Tafilalet,S,Central High Atlas,1,obs2_00043,geoheritage_expanded_20260809,,
loc_00039,Redbeds,32.166,-5.523,Draa-Tafilalet,SG&S,Central High Atlas,1,obs2_00045,geoheritage_expanded_20260809,,
loc_00040,Intraformational unc,32.193,-5.639,Draa-Tafilalet,S,Central High Atlas,1,obs2_00046,geoheritage_expanded_20260809,,
loc_00041,Isli Lake,32.222,-5.55,Draa-Tafilalet,H,Central High Atlas,1,obs2_00047,geoheritage_expanded_20260809,,
loc_00042,Tisli Lake,32.199,-5.629,Draa-Tafilalet,H,Central High Atlas,1,obs2_00048,geoheritage_expanded_20260809,,
loc_00043,Dolerite dykes and sills,32.153,-5.64,Draa-Tafilalet,PL,Central High Atlas,1,obs2_00049,geoheritage_expanded_20260809,,
loc_00044,Fairy chimneys,32.176,-5.599,Draa-Tafilalet,G,Central High Atlas,1,obs2_00050,geoheritage_expanded_20260809,,
loc_00045,Meandering Melloul river,32.159,-5.603,Draa-Tafilalet,G,Central High Atlas,1,obs2_00051,geoheritage_expanded_20260809,,
loc_00046,Sedimentary patterns,32.167,-5.545,Draa-Tafilalet,S,Central High Atlas,1,obs2_00052,geoheritage_expanded_20260809,,
loc_00047,Msadrid ridge,32.153,-5.593,Draa-Tafilalet,S,Central High Atlas,1,obs2_00053,geoheritage_expanded_20260809,,
loc_00048,Ait Ali Ou Ikkou's diapirsm,32.153,-5.593,Draa-Tafilalet,S,Central High Atlas,1,obs2_00054,geoheritage_expanded_20260809,,
loc_00049,Late Jurassic theropod tracks,32.142,-5.57,Draa-Tafilalet,PL,Central High Atlas,1,obs2_00055,geoheritage_expanded_20260809,,
loc_00050,Vertebrate tracks in the Isli Formation,32.157,-5.562,Draa-Tafilalet,PL,Central High Atlas,1,obs2_00056,geoheritage_expanded_20260809,,
loc_00051,Traces of Selenichnites- Tilmi syncline,32.163,-5.546,Draa-Tafilalet,PL,Central High Atlas,1,obs2_00057,geoheritage_expanded_20260809,,
loc_00052,Traces of Crocodylopodus meijidei,32.183,-5.458,Draa-Tafilalet,PL,Central High Atlas,1,obs2_00058,geoheritage_expanded_20260809,,
loc_00053,Tassent ridge,32.15,-5.55,Draa-Tafilalet,S,Central High Atlas,1,obs2_00059,geoheritage_expanded_20260809,,
loc_00054,Akhiam cave,31.958,-5.696,Draa-Tafilalet,G,Central High Atlas,1,obs2_00060,geoheritage_expanded_20260809,,
loc_00055,The cliff granaries of Aoujgal,32.29805833333333,-5.835413888888889,Béni Mellal-Khénifra,S,Central High Atlas,1,obs2_00061,geoheritage_expanded_20260809,,
loc_00056,The architectural heritage of Zaouiat Ahansal,31.83156111111111,-6.100886111111111,Béni Mellal-Khénifra,C,Central High Atlas,1,obs2_00062,geoheritage_expanded_20260809,,
loc_00057,Panorama of Zaouiat Ahansal,31.82883888888889,-6.098708333333333,Béni Mellal-Khénifra,G,Central High Atlas,1,obs2_00063,geoheritage_expanded_20260809,,
loc_00058,The natural bridge of Imin Ifri,31.724191666666663,-6.971397222222223,Béni Mellal-Khénifra,G,Central High Atlas,1,obs2_00064,geoheritage_expanded_20260809,,
loc_00059,The dinosaur geosites of Iouaridène,31.725777777777772,-6.906922222222223,Béni Mellal-Khénifra,PL,Central High Atlas,1,obs2_00065,geoheritage_expanded_20260809,,
loc_00060,Dinosaur footprints,31.701691666666665,-6.708294444444444,Béni Mellal-Khénifra,PL,Central High Atlas,1,obs2_00066,geoheritage_expanded_20260809,,
loc_00061,Aït Blal Rock engravings,31.750616666666662,-6.32005,Béni Mellal-Khénifra,C,Central High Atlas,1,obs2_00067,geoheritage_expanded_20260809,,
loc_00062,Tizi-n-Tighist Geo landscape,31.749802777777777,-6.320194444444444,Béni Mellal-Khénifra,S,Central High Atlas,1,obs2_00068,geoheritage_expanded_20260809,,
loc_00063,Paleo-dam of Tizi-n-Tighza,31.730963888888887,-6.307902777777778,Béni Mellal-Khénifra,S,Central High Atlas,1,obs2_00069,geoheritage_expanded_20260809,,
loc_00064,Ibaqualliwn Lamellibranches of Tizi-n-Tighist,31.733088888888886,-6.324652777777778,Béni Mellal-Khénifra,PL,Central High Atlas,1,obs2_00070,geoheritage_expanded_20260809,,
loc_00065,Jbel Azoukri Ait Attab synclinal (1),31.757188888888887,-6.248361111111112,Béni Mellal-Khénifra,S,Central High Atlas,1,obs2_00071,geoheritage_expanded_20260809,,
loc_00066,"Ait Attab synclinal, Bougal (Taghia)",31.78695833333333,-6.072663888888889,Béni Mellal-Khénifra,S,Central High Atlas,1,obs2_00072,geoheritage_expanded_20260809,,
loc_00067,"The Bin El Ouidane dam ""Chocolate Marls""",32.108783333333335,-6.436002777777778,Béni Mellal-Khénifra,S,Central High Atlas,1,obs2_00073,geoheritage_expanded_20260809,,
loc_00068,The Ouzoud waterfalls,32.015011111111114,-6.7196694444444445,Béni Mellal-Khénifra,G&H,Central High Atlas,2,obs2_00074;obs2_00293,geoheritage_expanded_20260809,,
loc_00069,The “Cathedral” Mastfrane,31.980719444444443,-6.137377777777778,Béni Mellal-Khénifra,R,Central High Atlas,1,obs2_00076,geoheritage_expanded_20260809,,
loc_00070,Talmst Ride,31.906683333333334,-6.154858333333333,Béni Mellal-Khénifra,SG,Central High Atlas,1,obs2_00077,geoheritage_expanded_20260809,,
loc_00071,Dinosaur footprints,31.659988888888886,-6.385519444444445,Béni Mellal-Khénifra,PL,Central High Atlas,1,obs2_00078,geoheritage_expanded_20260809,,
loc_00072,Collective granary of Sidi Moussa,32.39897222222222,-6.027358333333333,Béni Mellal-Khénifra,C,Central High Atlas,1,obs2_00079,geoheritage_expanded_20260809,,
loc_00073,"Granary, Ighrem",32.20402222222223,-6.603461111111111,Béni Mellal-Khénifra,C,Central High Atlas,1,obs2_00080,geoheritage_expanded_20260809,,
loc_00074,Footprints of the carnivorous dinosaur (Tridactyl),32.19611111111111,-6.5825,Béni Mellal-Khénifra,PL,Central High Atlas,1,obs2_00081,geoheritage_expanded_20260809,,
loc_00075,Herbivorous dinosaur footprints,32.10611111111111,-6.510025,Béni Mellal-Khénifra,PL,Central High Atlas,1,obs2_00082,geoheritage_expanded_20260809,,
loc_00076,Izourar plateaus,31.952005555555555,-6.55725,Béni Mellal-Khénifra,SG&S,Central High Atlas,1,obs2_00083,geoheritage_expanded_20260809,,
loc_00077,Rock engravings of Tizi-n-Tighist,32.009969444444444,-6.719222222222222,Béni Mellal-Khénifra,En,Central High Atlas,1,obs2_00084,geoheritage_expanded_20260809,,
loc_00078,Archaeoctic limestone,31.89606388888889,-8.866947222222223,Marrakech-Saf,PL&S,Jbilet Massif,1,obs2_00085,geoheritage_expanded_20260809,,
loc_00079,Sandstone-fault families,31.89700833333333,-8.860261111111111,Marrakech-Saf,S&S,Jbilet Massif,1,obs2_00086,geoheritage_expanded_20260809,,
loc_00080,"Faiult mirror-gradin 
crystallization",31.89871388888889,-8.863727777777777,Marrakech-Saf,S,Jbilet Massif,1,obs2_00087,geoheritage_expanded_20260809,,
loc_00081,Karst networks of barite,31.907641666666667,-8.850891666666666,Marrakech-Saf,S&M,Jbilet Massif,1,obs2_00088,geoheritage_expanded_20260809,,
loc_00082,Calcite crystals,31.91326388888889,-8.84191388888889,Marrakech-Saf,Pt,Jbilet Massif,1,obs2_00089,geoheritage_expanded_20260809,,
loc_00083,"Cambrian sandstone & shale,Gray massive Cambrian limestones",31.917627777777778,-8.835375,Marrakech-Saf,S,Jbilet Massif,1,obs2_00090,geoheritage_expanded_20260809,,
loc_00084,The western tip of the Cambrian crest,31.930247222222224,-8.828119444444445,Marrakech-Saf,S,Jbilet Massif,1,obs2_00091,geoheritage_expanded_20260809,,
loc_00085,Sidi Bouzid escarpment,32.30027777777777,-9.251111111111111,Marrakech-Safi,"S,St&PL",Meseta,2,obs2_00092;obs2_00389,geoheritage_expanded_20260809,,
loc_00086,Sidi Abderrahmane clayquarry,32.3325,-9.176666666666666,Marrakech-Safi,S/St,Meseta,1,obs2_00093,geoheritage_expanded_20260809,,
loc_00087,Sidi Abderrahmane dam,32.323888888888895,-9.180277777777777,Marrakech-Safi,H,Meseta,1,obs2_00094,geoheritage_expanded_20260809,,
loc_00088,Escarpment of Lalla Fatna,32.3875,-9.265,Marrakech-Safi,"S,PL&St",Meseta,1,obs2_00095,geoheritage_expanded_20260809,,
loc_00089,Cap Beddouza,32.55083333333333,-9.272777777777778,Marrakech-Safi,S/St/G,Meseta,1,obs2_00096,geoheritage_expanded_20260809,,
loc_00090,El Goraan cave,32.5575,-9.254166666666666,Marrakech-Safi,G,Meseta,2,obs2_00097;obs2_00391,geoheritage_expanded_20260809,,
loc_00091,Souira Lgdima,32.03777777777778,-9.340555555555556,Marrakech-Safi,"S,St&G",Meseta,1,obs2_00098,geoheritage_expanded_20260809,,
loc_00092,Sidi Tiji Gypsum quarry,32.157777777777774,-8.865277777777777,Marrakech-Safi,S&St,Meseta,1,obs2_00099,geoheritage_expanded_20260809,,
loc_00093,Jorf Lihoudi,32.18,-9.26,Marrakech-Safi,"S,St&PL",Meseta,1,obs2_00100,geoheritage_expanded_20260809,,
loc_00094,beach of Sidi Bouzide,33.22591944444444,-8.555186111111112,Marrakech-Safi,G,Meseta,1,obs2_00103,geoheritage_expanded_20260809,,
loc_00095,The source Lalla Mira,32.31843333333334,-9.25405,Marrakech-Safi,H,Meseta,1,obs2_00106,geoheritage_expanded_20260809,,
loc_00096,The wave of Saf,32.32473055555556,-9.28336388888889,Marrakech-Safi,G,Meseta,1,obs2_00107,geoheritage_expanded_20260809,,
loc_00097,Lake Aguelmame Sidi Ali,33.07611111111112,-5.003611111111111,Draa-Tafilalet & Fès-Méknès,SG&H,Tabular Middle Atlas,1,obs2_00109,geoheritage_expanded_20260809,,
loc_00098,The caldera of the Michliffen,33.41329722222222,-5.079908333333333,Draa-Tafilalet & Fès-Méknès,G,Tabular Middle Atlas,1,obs2_00110,geoheritage_expanded_20260809,,
loc_00099,Ruiniform landscape,33.287997222222224,-4.847411111111111,Draa-Tafilalet & Fès-Méknès,G,Tabular Middle Atlas,1,obs2_00111,geoheritage_expanded_20260809,,
loc_00100,Fairy chimneys of Assamar,31.681522222222224,-6.668716666666667,Béni Mellal-Khénifra ,G,Central Hight Atlas,1,obs2_00112,geoheritage_expanded_20260809,,
loc_00101,Frasnian-Famennian Kellwasser black limestones of Bou Ounabdou,33.142833333333336,-5.518,Beni Mellal-Khenifra,"S,St&PL",Central Hight Atlas,1,obs2_00119,geoheritage_expanded_20260809,,
loc_00102,Famennian Griottes limestones of Bou Ounabdou,33.14266666666666,-5.5175,Beni Mellal-Khenifra,"S,St&PL",Central Hight Atlas,1,obs2_00120,geoheritage_expanded_20260809,,
loc_00103,Famennian Zebra griottes limestones of Ziyar,33.0425,-5.738666666666667,Beni Mellal-Khenifra,S&St,Central Hight Atlas,1,obs2_00121,geoheritage_expanded_20260809,,
