Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Elevation_m,Slope_deg,Ruggedness,Dist_to_Highway_m,LULC_Friction,Dist_to_Settlement_m
loc_00056,The architectural heritage of Zaouiat Ahansal,31.83156111111111,-6.100886111111111,Béni Mellal-Khénifra,1644.8607177734375,16.675317736234952,9.308125,1074.9605815044417,0.1,60740.248402719415
loc_00057,Panorama of Zaouiat Ahansal,31.82883888888889,-6.098708333333333,Béni Mellal-Khénifra,1649.6824951171875,24.862132164353522,15.318134765625,1421.5860690910772,0.1,61099.29455615761
loc_00058,The natural bridge of Imin Ifri,31.724191666666663,-6.971397222222223,Béni Mellal-Khénifra,1063.5201416015625,9.759545080409259,4.558583984375,1.523268545573127,0.05,89416.88760154587
loc_00059,The dinosaur geosites of Iouaridène,31.72577777777777,-6.906922222222223,Béni Mellal-Khénifra,1043.226318359375,5.390925889877793,2.8933203125,17.72025246125147,0.1,85440.88715545885
loc_00061,Aït Blal Rock engravings,31.750616666666662,-6.32005,Béni Mellal-Khénifra,2519.892333984375,19.41236568228167,11.541923828125,311.4858728285409,0.15,64966.521020550645
loc_00062,Tizi-n-Tighist Geo landscape,31.749802777777777,-6.320194444444444,Béni Mellal-Khénifra,2519.295166015625,22.139668206255916,12.54888671875,255.81120492742988,0.15,65056.26145103146
loc_00063,Paleo-dam of Tizi-n-Tighza,31.730963888888887,-6.307902777777778,Béni Mellal-Khénifra,2247.33056640625,8.813864868227872,5.69634765625,965.4550980873169,0.1,67212.59520113272
loc_00064,Ibaqualliwn Lamellibranches of Tizi-n-Tighist,31.733088888888886,-6.324652777777778,Béni Mellal-Khénifra,2569.735107421875,26.61230408078944,18.18201171875,20.634646311325707,0.15,66894.3871785143
loc_00065,Jbel Azoukri Ait Attab synclinal (1),31.757188888888887,-6.248361111111112,Béni Mellal-Khénifra,3499.822509765625,39.19832167395856,25.47123046875,2012.212577440792,0.1,64918.29653310061
loc_00066,"Ait Attab synclinal, Bougal (Taghia)",31.78695833333333,-6.072663888888889,Béni Mellal-Khénifra,1868.5748291015625,11.314623734016523,5.4159375,6590.146167077294,0.15,59155.74437624233
loc_00067,"The Bin El Ouidane dam ""Chocolate Marls""",32.108783333333335,-6.436002777777778,Béni Mellal-Khénifra,857.890869140625,19.698770818207514,11.38975341796875,46.26254744587702,0.15,26243.086667300475
loc_00068,The Ouzoud waterfalls,32.015011111111114,-6.7196694444444445,Béni Mellal-Khénifra,771.2587890625,17.716576840577027,8.83042236328125,319.9347066994651,0.55,49481.5792772321
loc_00069,The “Cathedral” Mastfrane,31.980719444444443,-6.137377777777778,Béni Mellal-Khénifra,1787.1624755859375,26.323412091706196,14.7501025390625,1242.7945122649712,0.35,44250.69072429665
loc_00070,Talmst Ride,31.906683333333334,-6.154858333333333,Béni Mellal-Khénifra,2302.75048828125,27.397979312936908,14.170556640625,5037.273473681996,0.15,51079.5881353159
loc_00072,Collective granary of Sidi Moussa,32.39897222222222,-6.027358333333333,Béni Mellal-Khénifra,1374.671630859375,19.108075015872103,10.6025390625,1075.715475689257,0.15,31451.56868823583
loc_00073,"Granary, Ighrem",32.20402222222223,-6.603461111111111,Béni Mellal-Khénifra,727.4781494140625,23.75340609105405,16.27612060546875,1543.6649534703627,0.55,27614.453125258402
loc_00074,Footprints of the carnivorous dinosaur (Tridactyl),32.19611111111111,-6.5825,Béni Mellal-Khénifra,869.3565063476562,30.23563713007345,20.4951513671875,1639.9147460188274,0.55,26458.038848996035
loc_00075,Herbivorous dinosaur footprints,32.10611111111111,-6.510025,Béni Mellal-Khénifra,885.2869873046875,26.326257890165596,18.489912109375,565.8091345831052,0.55,29333.89082151585
loc_00076,Izourar plateaus,31.952005555555555,-6.55725,Béni Mellal-Khénifra,1420.4300537109375,12.954370393371631,8.4384228515625,79.8865437749029,0.55,46632.74858026863
loc_00077,Rock engravings of Tizi-n-Tighist,32.009969444444444,-6.719222222222222,Béni Mellal-Khénifra,832.2334594726562,8.602718413784581,4.8126611328125,174.80107928386653,0.05,49856.786341551735
loc_00079,Sandstone-fault families,31.89700833333333,-8.860261111111111,Marrakech-Saf,328.1667175292969,2.410897005828105,1.4284423828125,307.3110719871933,0.15,49581.49918537336
