Locality_ID,Dist_to_Highway_m,LeastCost_Hours,LeastCost_Effective_m
loc_00304,4385.488123370983,1.6664491972728182,8393.474870435262
loc_00307,4385.488123370983,1.6664491972728182,8393.474870435262
loc_00306,4385.488123370983,1.6664491972728182,8393.474870435262
loc_00244,4385.488123370983,1.6664491972728182,8393.474870435262
loc_00305,4385.488123370983,1.6664491972728182,8393.474870435262
loc_00313,3599.9893256255546,1.4497220636015091,7301.876186725862
loc_00312,3599.9893256255546,1.4497220636015091,7301.876186725862
loc_00311,3599.9893256255546,1.4497220636015091,7301.876186725862
loc_00310,2280.446184229308,0.9612488294133344,4841.562471343235
loc_00246,18.81134508248273,0.0,0.0
loc_00303,18.81134508248273,0.0,0.0
loc_00056,8903.047471595019,2.3564342884585594,11868.751844566976
loc_00294,8.545177396944375,0.0,0.0
loc_00293,8.545177396944375,0.0,0.0
loc_00295,8.545177396944375,0.0,0.0
loc_00292,5.869110571220661,0.0,0.0
loc_00241,5.869110571220661,0.0,0.0
loc_00290,5.869110571220661,0.0,0.0
loc_00289,5.869110571220661,0.0,0.0
loc_00288,5.869110571220661,0.0,0.0
loc_00243,1.0246737191344992,0.0,0.0
loc_00309,1.0246737191344992,0.0,0.0
loc_00308,1.0246737191344992,0.0,0.0
loc_00286,8.204180413967157,0.0,0.0
loc_00287,8.204180413967157,0.0,0.0
loc_00240,8.204180413967157,0.0,0.0
loc_00242,11.14394853964539,0.0,0.0
loc_00297,11.14394853964539,0.0,0.0
loc_00299,2.422127992784546,0.0,0.0
loc_00298,2.422127992784546,0.0,0.0
loc_00245,2.422127992784546,0.0,0.0
loc_00300,2.422127992784546,0.0,0.0
loc_00301,0.6375606401540523,0.0,0.0
loc_00302,0.6375606401540523,0.0,0.0
loc_00237,4715.865171817877,1.5330149228556857,7721.400839611022
loc_00225,3062.7267140449294,1.3324203157438779,6711.0575320003345
loc_00232,522.3890506705388,0.11554273716691844,581.9589714819656
loc_00239,13.155253149036714,0.0,0.0
loc_00235,13.155253149036714,0.0,0.0
loc_00234,13.155253149036714,0.0,0.0
loc_00238,13.155253149036714,0.0,0.0
loc_00226,473.83700884125176,0.10490135381546353,528.3610676915132
loc_00285,24.30783102618309,0.0,0.0
loc_00248,24.30783102618309,0.0,0.0
loc_00284,4835.728731322713,1.895917758752256,9549.24884031361
loc_00280,106.56288488691804,0.012100150423940427,60.945337354441754
loc_00247,106.56288488691804,0.012100150423940427,60.945337354441754
loc_00314,5909.47877731894,2.106139973025544,10608.083922473772
loc_00283,1505.7709615390525,0.653556226603816,3291.794177340026
loc_00249,14.51471172500096,0.0,0.0
loc_00281,14.51471172500096,0.0,0.0
loc_00282,287.0921314530633,0.05850075211970196,294.65320252297744
loc_00076,12.65150567422099,0.0,0.0
loc_00075,3120.583216673034,0.8364008580671037,4212.7354348909175
loc_00074,3170.325347220719,0.8499912796526555,4281.186883782147
loc_00233,1852.2030170997248,0.47645471837921755,2399.779550532298
loc_00229,20.077646712541554,0.0,0.0
loc_00231,766.3445718847545,0.6977025572069868,3514.147860336208
loc_00236,2456.633121609544,0.6564277882231612,3306.2574927116107
loc_00227,54.08943693397568,0.0,0.0
loc_00228,18.144170917398903,0.0,0.0
loc_00291,17.510741575467353,0.0,0.0
loc_00230,491.6107736342864,0.10593285790459009,533.55648778893
loc_00296,12.980954113032578,0.0,0.0
loc_00726,612.5446733102569,0.14835291727712988,747.2153877592807
loc_00727,190.7933740708241,0.03530045127182179,177.7992699387126
loc_00728,4332.905883529068,1.6454765404449136,8287.841006325056
loc_00729,46.781952900313634,0.0,0.0
loc_00730,79.82012244937184,0.012100150423940602,60.945337354442636
loc_00731,494.7922263065107,0.10991340022781612,553.6054529871362
loc_00732,949.567858403306,0.21397327749754871,1077.728220313891
loc_00733,1102.8685665506812,0.7779448431020884,3918.307561879486
loc_00734,2621.388748572476,1.6277119367357784,8198.365278496158
loc_00735,545.3300166901108,0.12913315875247283,650.4104203732078
loc_00736,369.37472326988745,0.5817010529675841,2929.8781974148746
loc_00737,1694.6721849549774,0.4499568282995823,2266.316511354775
loc_00738,277.4583641052375,0.05850075211970196,294.65320252297744
loc_00484,8.35600400941656,0.0,0.0
loc_00485,103.17073987406172,0.012100150423940408,60.94533735444166
loc_00486,223.11088967538555,0.035300451271821215,177.7992699387097
loc_00487,483.3796481034621,0.1049013538154645,528.3610676915181
loc_00488,2293.8544240586875,1.0835292964477634,5457.457650673169
loc_00408,923.191366983062,0.21397327749754935,1077.728220313894
loc_01194,1938.7146976688543,0.4764547183792182,2399.7795505323015
loc_00489,839.1015291470054,0.2083439405584419,1049.3747018190388
loc_00490,7635.558792740881,2.2744095134829614,11455.614205185295
loc_00493,1947.2285246532488,0.571587669478086,2878.9396927709313
loc_00495,1528.026809112309,0.38831701040238353,1955.8526439983411
loc_00497,1828.2215271437703,0.48839634534889115,2459.926446126895
loc_00500,596.4245091943045,0.14272358033802351,718.8618692644311
loc_00501,1514.2368081001782,0.7667194964594185,3861.768385580942
loc_00502,62.24263006766589,0.012100150423940425,60.94533735444175
loc_00503,697.7691464886241,0.16194333886267978,815.6668366505003
loc_00504,1656.2757074460137,0.4065052648379142,2047.4621912869986
loc_00505,1378.0541449885343,0.36113616723127906,1818.9497462158788
loc_00378,1.523268545573127,0.0,0.0
loc_00379,17.72025246125147,0.0,0.0
loc_00382,965.4550980873169,0.7168448391168967,3610.5625979931115
loc_00385,6590.146167077294,3.236419563080189,16301.010746294853
loc_00387,319.9347066994651,0.3231226777943815,1627.48560266544
loc_00388,1242.7945122649712,0.3465142415566057,1745.3028772272583
loc_00389,5037.273473681996,1.9101278990779702,9620.821652688828
loc_00392,1639.9147460188274,0.4363664067140248,2197.865062463517
loc_00704,5106.453935323282,1.761839393575282,8873.930690427202
loc_00705,818.794871059076,0.21795381982077328,1097.7771855120898
loc_00706,45.45935859831165,0.0,0.0
loc_00707,207.6724372186545,0.03530045127182184,177.79926993871283
loc_00708,81.21590444777652,0.012100150423940605,60.94533735444266
loc_00709,191.29812881675903,0.03530045127182184,177.79926993871283
loc_00710,22.39101199944271,0.0,0.0
loc_00711,492.6936811396738,0.10593285790459184,533.5564877889387
loc_00712,609.6193723796487,0.13874303801480134,698.8129040662442
loc_00443,1074.5623304617843,0.797164601626743,4015.112529265546
loc_00444,659.438595211254,0.22193436214399567,1117.8261507102777
loc_00445,2588.982116380019,0.8708598327932008,4386.296404464903
loc_00446,4810.149957753914,1.9721598031660774,9933.260357079493
loc_00447,2201.3779619735706,0.5908074280027472,2975.744660157025
loc_00449,972.3530336266026,0.23717357834542846,1194.5821528981535
loc_00450,1841.1123439281585,0.7728553200749889,3892.6729468546946
loc_00451,3261.6485102626307,1.2305490470020268,6197.9582214402535
loc_00453,6002.977899964528,2.3879590428342454,12027.533902899144
loc_00491,1199.2845037676946,0.3051256862731888,1536.8393973543054
loc_00494,966.646819408078,0.7779448431020842,3918.3075618794646
loc_00498,128.93540537664427,0.012100150423940423,60.94533735444174
loc_00785,1802.8492986739552,0.47878646608656317,2411.523962433861
loc_00786,174.00692865936054,0.03530045127182129,177.7992699387101
loc_00787,213.7882602615589,0.0403124976841719,203.0436552343231
loc_00790,387.4956515179565,0.3509208114922393,1767.497633647127
loc_00792,818.123929530251,0.19770255720698685,995.7767980285859
loc_00799,972.2593802785484,0.2371735783454261,1194.5821528981417
loc_00803,4426.679742190143,1.1614452889969848,5849.90041252704
loc_00806,254.2779637592052,0.049922376946500174,251.4461389273584
loc_00781,506.37012822904165,0.11952327949014281,602.0079366801637
loc_00782,1042.935270023055,0.2643544215165315,1331.4850506806088
loc_00783,2818.741149249631,0.7323409807973721,3688.612667564168
loc_00784,3181.7702664366984,0.8045565194813094,4052.343713305336
loc_00788,652.3334499599998,0.14835291727712716,747.2153877592671
loc_00789,2155.482213661136,0.5457070699251997,2748.58578679261
loc_00791,3576.5100594990254,0.9547341100138526,4808.749509713816
loc_00795,243.7178642252088,0.05850075211970207,294.653202522978
loc_00796,4695.988437505262,1.2863600390392878,6479.063796050891
loc_00797,2155.482213661136,0.5457070699251997,2748.58578679261
loc_00798,823.9870390418736,0.20271460361933744,1021.0211833241989
loc_00800,2957.828961060005,0.7389361592608912,3721.83088075073
loc_00801,2217.764582176804,0.56890737077308,2865.4397193768755
loc_00802,1817.7550306816588,0.47480592376333886,2391.474997235663
loc_00804,2858.511326914456,0.7876685086639953,3967.283157820813
loc_00805,4233.129954607365,1.1442574444312383,5763.329671771406
loc_00807,5098.622367039528,1.2923438536681904,6509.202727258174
loc_00808,175.16953091705935,0.01711219683629109,86.18972265005506
loc_00809,1090.0220191369697,0.2779448431020842,1399.9364995718427
loc_00810,2586.834357009768,0.6915697160407146,3483.2583208904703
loc_00811,92.52467382516168,0.012100150423940423,60.94533735444174
loc_00812,1537.6719068664152,0.3833049639900337,1930.6082587027322
loc_00813,2252.0575332368307,0.6043978495882943,3044.196109048231
loc_00793,1594.709676517359,0.4148149004820247,2089.3156831758943
loc_00794,324.4396370358244,0.8695232794901426,4379.564530141596
loc_00004,267.24669668577354,0.058500752119703035,294.65320252298284
loc_00003,904.6898608432144,0.7315442414063258,3684.599696710945
loc_00002,663.7423620215451,0.15130195551122783,762.0689328600629
loc_00001,8.887857148129743,0.0,0.0
loc_00033,688.1125572833673,0.1947535189728925,980.9232529278219
loc_00032,506.9672857358953,0.10991340022781629,553.6054529871371
loc_00025,3865.438956392837,0.9915248324473002,4994.054891189389
loc_00031,841.0268064802611,0.20436339823522048,1029.3257366208557
loc_00034,124.99957409199352,0.2621001504239406,1320.1308685082538
loc_00030,39.66980818478497,0.0,0.0
loc_00035,52.93258657610263,0.012100150423940605,60.94533735444266
loc_00021,449.7356687852738,0.614511233077794,3095.1346136921816
loc_00036,930.6821215419542,0.235524783729551,1186.2775996015246
loc_00029,43.0788885718326,0.0,0.0
loc_00022,58.04454110337361,0.012100150423940588,60.945337354442565
loc_00037,25.37224345421478,0.0,0.0
loc_00024,43.50122063595659,0.0,0.0
loc_00020,46.44935349832321,0.0,0.0
loc_00026,95.52813981227838,0.012100150423940597,60.945337354442614
loc_00023,2019.861529661073,0.6796280890710522,3423.11142529593
loc_00038,13179.46841238071,4.142404882083483,20864.225166801723
loc_00039,997.1815296619682,0.4443274913604818,2237.9629928599547
loc_00027,10.862053103229709,0.0,0.0
loc_00055,5561.056129475519,2.789545240065379,14050.220019157241
loc_00028,73.18836291655838,0.012100150423940515,60.9453373544422
loc_00050,56.17002560940601,0.0121001504239404,60.94533735444163
loc_00019,991.082751251457,0.2467834576077549,1242.9846365911797
loc_00048,95.46988390156714,0.2621001504239404,1320.130868508253
loc_00049,95.46988390156714,0.2621001504239404,1320.130868508253
loc_00044,884.6377507604178,0.2219343621439942,1117.8261507102704
loc_00018,6.006884745218144,0.0,0.0
loc_00051,15.473437282230837,0.0,0.0
loc_00046,27.430577390179785,0.0,0.0
loc_00054,1107.4964033923966,0.33958466099927775,1710.40036692825
loc_00040,146.6382129584374,0.017112196836291074,86.18972265005497
loc_00053,886.8240830009009,0.22756369908309793,1146.1796692051068
loc_00017,410.8516861860282,0.09632297864226183,485.1540040958947
loc_00043,1046.29874251327,0.2683349638397558,1351.5340158788065
loc_00042,6712.828730694332,1.8210366146762038,9172.091827606375
loc_00016,360.06834481843345,0.07312267779438103,368.3000715116267
loc_00015,340.3871382996423,0.07312267779438106,368.3000715116268
loc_00013,318.5728683944972,0.06351279853205266,319.8975878185909
loc_00012,307.627900024507,0.04992237694650015,251.44613892735822
loc_00011,313.7393695038764,0.049922376946500216,251.44613892735862
loc_00010,281.66655170596204,0.049922376946500084,251.44613892735796
loc_00009,252.9361112438129,0.04031249768417193,203.04365523432324
loc_00008,233.689766992073,0.040312497684171916,203.04365523432318
loc_00007,79.76708146434034,0.012100150423940402,60.94533735444164
loc_00006,31.41678223591156,0.0,0.0
loc_00014,318.4465343323972,0.06351279853205272,319.8975878185912
loc_00073,1394.5608482328523,0.35715562490805514,1798.900781017683
loc_00756,4845.724816331103,1.8632683705147375,9384.802291234784
loc_00757,4562.417504753855,1.8076765952379537,9104.800854916062
loc_00758,4527.842516729936,1.7967446227178376,9049.739328418857
loc_00759,4557.999518826895,1.792809560217899,9029.919433362424
