Locality_ID,Dist_to_Trail_m
loc_00304,614.5322479592625
loc_00307,614.5322479592625
loc_00306,614.5322479592625
loc_00244,614.5322479592625
loc_00305,614.5322479592625
loc_00313,0.42396159435106584
loc_00312,0.42396159435106584
loc_00311,0.42396159435106584
loc_00310,32.01737526332192
loc_00246,12.924101367715563
loc_00303,12.924101367715563
loc_00056,47.752044101854516
loc_00294,1077.5967354495308
loc_00293,1077.5967354495308
loc_00295,1077.5967354495308
loc_00292,202.31086595045596
loc_00241,202.31086595045596
loc_00290,202.31086595045596
loc_00289,202.31086595045596
loc_00288,202.31086595045596
loc_00243,68.68855891576672
loc_00309,68.68855891576672
loc_00308,68.68855891576672
loc_00286,200.50525028829225
loc_00287,200.50525028829225
loc_00240,200.50525028829225
loc_00242,15.973924743188523
loc_00297,15.973924743188523
loc_00299,692.4143605859603
loc_00298,692.4143605859603
loc_00245,692.4143605859603
loc_00300,692.4143605859603
loc_00301,899.1214684510396
loc_00302,899.1214684510396
loc_00237,51.09444182058319
loc_00225,27.735049478833695
loc_00232,825.7264530101096
loc_00239,56.55947258235251
loc_00235,56.55947258235251
loc_00234,56.55947258235251
loc_00238,56.55947258235251
loc_00226,134.19037301952335
loc_00285,162.99296082509386
loc_00248,162.99296082509386
loc_00284,651.7216361684845
loc_00280,8.852513793822201
loc_00247,8.852513793822201
loc_00314,408.8625965909539
loc_00283,840.3172820217305
loc_00249,141.1897544962122
loc_00281,141.1897544962122
loc_00282,135.03530919729388
loc_00076,290.56576174771567
loc_00075,1476.841116064737
loc_00074,1438.4964722402162
loc_00233,153.5785606060832
loc_00229,243.36070515698194
loc_00231,92.03179990309236
loc_00236,116.17348990205224
loc_00227,296.0803585425439
loc_00228,104.44885466552086
loc_00291,784.978211624076
loc_00230,656.7223074208406
loc_00296,1134.6550699184897
loc_00726,362.8472993932259
loc_00727,248.08514011344158
loc_00728,1334.519353282711
loc_00729,212.22439150221288
loc_00730,216.26510961785416
loc_00731,1132.998018603614
loc_00732,668.3641251582395
loc_00733,370.4627399886508
loc_00734,324.295854827263
loc_00735,601.2039658194609
loc_00736,126.13521927536647
loc_00737,1840.5514286161253
loc_00738,2280.97922486335
loc_00484,554.5428148624438
loc_00485,173.0327711175893
loc_00486,1056.903828806528
loc_00487,320.35927915857025
loc_00488,97.62083313673065
loc_00408,17.438395803601612
loc_01194,1198.1529574797817
loc_00489,549.033345551242
loc_00490,199.71883904113042
loc_00493,424.57386374806646
loc_00495,324.82119538103973
loc_00497,14.008934630691623
loc_00500,4.35660269117795
loc_00501,836.8438895762226
loc_00502,43.611764036648324
loc_00503,844.3278582557406
loc_00504,37.111327971937975
loc_00505,435.05861564070153
loc_00378,2.350743868860447
loc_00379,17.790907881482454
loc_00382,669.7430085793277
loc_00385,2.3971600036550136
loc_00387,13.1575667846533
loc_00388,82.81847237333257
loc_00389,585.4342455360415
loc_00392,1055.1330656271505
loc_00704,349.6304654078352
loc_00705,183.3338959266521
loc_00706,55.68059329501741
loc_00707,18.713033461638105
loc_00708,76.8797467049357
loc_00709,112.96061963013622
loc_00710,60.57858194836627
loc_00711,39.837995203698064
loc_00712,2.592488835318907
loc_00443,1587.6886105313713
loc_00444,29.73951938014349
loc_00445,1138.4999704062195
loc_00446,1432.3013854483859
loc_00447,607.2522386889269
loc_00449,930.4708269067058
loc_00450,2.586198453131658
loc_00451,18.940865197445003
loc_00453,155.84481144424507
loc_00491,72.66945517104108
loc_00494,601.9753401135109
loc_00498,189.5172856575466
loc_00785,533.9793116033848
loc_00786,205.61207063814857
loc_00787,218.10594053584953
loc_00790,14.526732806775138
loc_00792,200.21432064580966
loc_00799,1845.003809862954
loc_00803,2006.4859240050607
loc_00806,113.70683504702943
loc_00781,424.1036127166697
loc_00782,841.0743870869927
loc_00783,723.2636702464218
loc_00784,297.27425313898743
loc_00788,1317.684818867309
loc_00789,814.8994139256266
loc_00791,749.4845092580046
loc_00795,810.9896438095324
loc_00796,1951.5074627699994
