Locality_ID,Favorability_Score
loc_00304,0.3004996080970246
loc_00307,0.3004996080970246
loc_00306,0.3004996080970246
loc_00244,0.3004996080970246
loc_00305,0.3004996080970246
loc_00313,0.27370863040329996
loc_00312,0.27370863040329996
loc_00311,0.27370863040329996
loc_00310,0.2744064031526563
loc_00246,0.30410258350478164
loc_00303,0.30410258350478164
loc_00056,0.2508591537466262
loc_00294,0.3603454533290065
loc_00293,0.3603454533290065
loc_00295,0.3603454533290065
loc_00292,0.30880939837881505
loc_00241,0.30880939837881505
loc_00290,0.30880939837881505
loc_00289,0.30880939837881505
loc_00288,0.30880939837881505
loc_00243,0.3986654703773769
loc_00309,0.3986654703773769
loc_00308,0.3986654703773769
loc_00286,0.32536161761093707
loc_00287,0.32536161761093707
loc_00240,0.32536161761093707
loc_00242,0.17706047706494882
loc_00297,0.17706047706494882
loc_00299,0.3504756247710299
loc_00298,0.3504756247710299
loc_00245,0.3504756247710299
loc_00300,0.3504756247710299
loc_00301,0.32448921469518455
loc_00302,0.32448921469518455
loc_00237,0.32535079737675326
loc_00225,0.2845193627636263
loc_00232,0.2622387672164592
loc_00239,0.3659826494727895
loc_00235,0.3659826494727895
loc_00234,0.3659826494727895
loc_00238,0.3659826494727895
loc_00226,0.6857008839195803
loc_00285,0.4100865331274001
loc_00248,0.4100865331274001
loc_00284,0.5589951715686825
loc_00280,0.4705580750901995
loc_00247,0.4705580750901995
loc_00314,0.2363977279036662
loc_00283,0.36261227846938515
loc_00249,0.26716669065532783
loc_00281,0.26716669065532783
loc_00282,0.24628710248657926
loc_00076,0.12409536970566624
loc_00075,0.23614876008956434
loc_00074,0.23834771055233417
loc_00233,0.3270298134259355
loc_00229,0.4748363953910487
loc_00231,0.35986974830698143
loc_00236,0.3740838588983574
loc_00227,0.45609509897749123
loc_00228,0.5857571584040154
loc_00291,0.3465828505743661
loc_00230,0.2638133915047157
loc_00296,0.29006209477526734
loc_00726,0.9031522365261456
loc_00727,0.8943103557489709
loc_00728,0.8829194078350007
loc_00729,0.8956184968076616
loc_00730,0.8722695083517678
loc_00731,0.8862058275880871
loc_00732,0.8878163775319702
loc_00733,0.8883694639517233
loc_00734,0.8915628594451188
loc_00735,0.9258102536518953
loc_00736,0.936089536406178
loc_00737,0.9135470892804087
loc_00738,0.9327443910040264
loc_00484,0.930894102481551
loc_00485,0.930894102481551
loc_00486,0.9297865432460626
loc_00487,0.9276176137350276
loc_00488,0.9331967895711375
loc_00408,0.910532762091492
loc_01194,0.9527030451843018
loc_00489,0.943276067102577
loc_00490,0.930892696645753
loc_00493,0.9455164685641474
loc_00495,0.9458478177704965
loc_00497,0.9257570608390646
loc_00500,0.9224516342130549
loc_00501,0.9249161455471314
loc_00502,0.945341029967656
loc_00503,0.9447960160951755
loc_00504,0.9336065981687606
loc_00505,0.9466318048877906
loc_00378,0.8915821526111345
loc_00379,0.894301655330637
loc_00382,0.8789870877222884
loc_00385,0.8819536575359168
loc_00387,0.9038663889214863
loc_00388,0.9168594476780075
loc_00389,0.9152778443140511
loc_00392,0.9315447355561564
loc_00704,0.8891861589659928
loc_00705,0.89894592082818
loc_00706,0.8732162455115483
loc_00707,0.8841217850682859
loc_00708,0.8823103341925936
loc_00709,0.8826873090695684
loc_00710,0.8798812484635079
loc_00711,0.8739635389588417
loc_00712,0.8759361750184345
loc_00443,0.9408947842273413
loc_00444,0.9159020279900201
loc_00445,0.9279446316021887
loc_00446,0.9258438060932129
loc_00447,0.9140092366250754
loc_00449,0.9168385552548843
loc_00450,0.920856393069385
loc_00451,0.9336173605768797
loc_00453,0.9320423754693449
loc_00491,0.9408522182043458
loc_00494,0.9501877471647737
loc_00498,0.933161962238548
loc_00785,0.910754529847109
loc_00786,0.9365927891091768
loc_00787,0.9326899985268782
loc_00790,0.9329861026134858
loc_00792,0.907083875719102
loc_00799,0.9090293644027228
loc_00803,0.9003172117028428
loc_00806,0.9385819943483819
loc_00781,0.9058872998548791
loc_00782,0.9335956074947939
loc_00783,0.9163151596856801
loc_00784,0.9286791655277731
loc_00788,0.9313909046942168
loc_00789,0.9156535297052053
loc_00791,0.9066661980193271
loc_00795,0.9186153816333996
loc_00796,0.9046258873740506
loc_00797,0.9156535297052053
loc_00798,0.9069316836951407
loc_00800,0.9362215446129324
loc_00801,0.9413870858280847
loc_00802,0.9359437668351545
loc_00804,0.9115299665432957
loc_00805,0.9359437668351545
loc_00807,0.9362215446129324
loc_00808,0.9003305056727823
loc_00809,0.9036788481042447
loc_00810,0.9000743956242246
loc_00811,0.9106709289726045
loc_00812,0.9175454888880679
loc_00813,0.9086565826807813
loc_00793,0.9145850955795841
loc_00794,0.9301347150837097
loc_00004,0.07596082841552416
loc_00003,0.11129085574304026
loc_00002,0.1072729682778489
loc_00001,0.12156439133538206
loc_00033,0.16231431427785079
loc_00032,0.24041135022218788
loc_00025,0.4103864824729046
loc_00031,0.38512442786928847
loc_00034,0.20426283430666123
loc_00030,0.18949455613951413
loc_00035,0.31528931248083497
loc_00021,0.29139956086754093
loc_00036,0.4013116939664052
loc_00029,0.2648163879030863
loc_00022,0.46256575283761797
loc_00037,0.5514726797551814
loc_00024,0.3316777740547375
loc_00020,0.46725538341929707
loc_00026,0.5676207893334516
loc_00023,0.3655692209213053
loc_00038,0.2134121265588036
loc_00039,0.1972634407145863
loc_00027,0.3471282848264538
loc_00055,0.2155920677425106
loc_00028,0.22806130906967312
loc_00050,0.18551559117507563
loc_00019,0.22550536592556597
loc_00048,0.14047400037143368
loc_00049,0.14047400037143368
loc_00044,0.1859061920173019
loc_00018,0.13054432702329807
loc_00051,0.21347913599333443
loc_00046,0.15058703836801313
loc_00054,0.22641873469187593
loc_00040,0.18357169256769088
loc_00053,0.18126438010598306
loc_00017,0.16763941423680595
loc_00043,0.15710465589673206
loc_00042,0.20347182194083713
loc_00016,0.579548537087636
loc_00015,0.5614163100893348
loc_00013,0.5579818791820779
loc_00012,0.5570974164226151
loc_00011,0.5577640830892817
loc_00010,0.5620625698753005
loc_00009,0.5584375698753005
loc_00008,0.5607292365419672
loc_00007,0.5645754261258573
loc_00006,0.5808925008364202
loc_00014,0.5579818791820779
loc_00073,0.3144191914219276
loc_00756,0.9284562213220334
loc_00757,0.9267773738136192
loc_00758,0.9271052876152173
loc_00759,0.9267773738136192
loc_00760,0.9336957332319787
loc_00761,0.9444607090370475
loc_00762,0.9317602506260626
loc_00763,0.9448278506517829
loc_00764,0.930253636869449
loc_00765,0.9371204188204413
loc_00766,0.9463120752490944
loc_00767,0.9457066621436815
loc_00747,0.9379258174358059
loc_00748,0.9287728043090498
loc_00749,0.9408018858118745
loc_00750,0.9379646309099137
loc_00751,0.9452408684086926
loc_00752,0.9335777520149144
loc_00753,0.9385345145411617
loc_00754,0.9194566655191998
loc_00755,0.9504284837880147
loc_00454,0.9302466277565575
loc_00455,0.9500299473142375
loc_00456,0.9355036324477726
loc_00457,0.9355710740323767
loc_00458,0.9410226015648842
loc_00775,0.9392766177470734
loc_00776,0.9299766591879618
loc_00739,0.9513647051384118
loc_00740,0.948331081354788
loc_00741,0.9490078490315554
loc_00742,0.9487728062965127
loc_00743,0.9478937606202534
loc_00744,0.9461065293330222
loc_00745,0.9423528757970159
loc_00746,0.9369632654074055
loc_00353,0.10922757773307522
loc_00354,0.15815998737979814
loc_00366,0.49098064419000964
loc_00355,0.11805721788820776
loc_00357,0.15555412904522606
loc_00367,0.25469958965726053
loc_00374,0.25774317276668574
loc_00369,0.28464385112249296
loc_00361,0.19643659684405684
loc_00371,0.22144231494420036
loc_00370,0.21076680770094594
loc_00372,0.3919774087584238
loc_00072,0.3580907731663553
loc_00362,0.20202242588148486
loc_00071,0.28707667926227276
loc_00086,0.2943341732441423
loc_00083,0.2732009547242816
loc_00081,0.2220371831197017
loc_00082,0.22423585499005114
loc_00078,0.24654649959254116
loc_00079,0.39432650729741925
loc_01047,0.9389891875802857
loc_01051,0.9373082807678
loc_01055,0.9357888278909555
loc_01065,0.9382583296367731
loc_01066,0.9348102369937853
loc_00917,0.8870967721750509
loc_00918,0.9122233083935273
loc_00919,0.9072395447552172
loc_00920,0.9125936787638975
loc_00921,0.8899720301773448
loc_00922,0.9289333599241719
loc_00923,0.9285407986306399
loc_00924,0.911394450470417
loc_00925,0.8899720301773448
loc_00926,0.9192804853478302
loc_00927,0.9405422623521533
loc_00928,0.9058276477241485
loc_00929,0.9309793880754061
loc_00930,0.9034755970873692
loc_00931,0.9313167822086693
loc_00932,0.9234148661658325
loc_00933,0.8792181420905384
loc_00934,0.8982109548668447
loc_00935,0.8964452338890495
loc_00936,0.9058277318992327
loc_00937,0.9094106220439414
loc_00938,0.9400449315545079
loc_00939,0.9438922892916692
loc_00940,0.933100872485508
loc_00941,0.9415106247201438
loc_00942,0.9293630223225416
loc_00943,0.9395726477463865
loc_00944,0.9473843945190297
loc_00945,0.9385461671046028
loc_00947,0.9289170943177479
loc_00948,0.9173912803144435
loc_00949,0.9389689663799172
loc_00950,0.93310604795408
loc_00951,0.931239413135019
loc_00952,0.9273703982928045
loc_00953,0.9342388783710538
loc_00954,0.931445032904552
loc_00956,0.9208541523698248
loc_00957,0.9353686265094385
loc_00958,0.9424781984079844
loc_00959,0.9158738649600718
loc_00960,0.9385465195399783
loc_00961,0.9335772302848834
loc_00962,0.9329060798016856
loc_00963,0.948090343624932
loc_00964,0.9422117890528872
loc_00965,0.9532302220847104
loc_00966,0.9464858207780058
loc_00967,0.9356847564378129
loc_00968,0.9259525522857556
loc_00969,0.9428720218054575
loc_00970,0.9221369947453142
loc_00971,0.9346309261994857
loc_00972,0.9221212398074466
loc_00973,0.9343072243838102
loc_00974,0.9266888172786584
loc_00975,0.9208178447326859
loc_00976,0.9303550998175484
loc_00977,0.9443406721383512
loc_00978,0.9529157889333206
loc_00979,0.9395178524826349
loc_00980,0.943921819762918
loc_00981,0.9392445971323086
loc_00982,0.8910361306183898
loc_00983,0.8855735731518518
loc_00984,0.9383799862872877
loc_00985,0.9508070620836881
loc_00987,0.9344606654201846
loc_00988,0.9352274031609517
loc_00989,0.9466912533522045
loc_00990,0.9456404805171068
loc_00991,0.935728902297462
loc_00992,0.9359936645847627
loc_00993,0.9412828383739364
loc_00995,0.9111389784634419
loc_00996,0.9286440636229069
loc_00997,0.9314054404923202
loc_01071,0.9281932612027415
loc_00998,0.9130306570986751
loc_00999,0.9302236090774524
loc_01000,0.9320393322893074
loc_01001,0.9375606146354049
loc_01002,0.9231704358779241
loc_01003,0.8988313252372151
loc_01004,0.9261773881868686
loc_01005,0.9243570583189381
loc_01006,0.9191581551561234
loc_01007,0.9344112124980921
loc_01008,0.9444404116013627
loc_01009,0.9137766981744038
loc_01010,0.9212618381725031
loc_01011,0.9466912533522045
loc_01012,0.9226559187177986
loc_01013,0.9252358773865308
loc_01014,0.8983229142051736
loc_01015,0.9315727464683524
loc_01016,0.9469003230349583
loc_01017,0.9429285079450639
loc_01036,0.9195113439481382
loc_01018,0.9380947443515159
loc_01019,0.9450091571437333
loc_00946,0.93810426597168
loc_01041,0.9451012887359242
loc_00955,0.9281849692748106
loc_01042,0.9284513213357012
loc_00994,0.9252840369013209
loc_01039,0.9306798083145144
loc_01040,0.9269514912611974
loc_01119,0.9305420989118734
loc_01043,0.9231907391190514
loc_01044,0.9334542820374854
loc_01045,0.9322602927753629
loc_01046,0.942438073454461
loc_01048,0.938330386876632
loc_01049,0.9064814930257089
loc_01050,0.9186048038368075
loc_01052,0.9427178654326478
loc_01053,0.9284925492899557
loc_01054,0.9313040232663912
loc_00842,0.9386217482247193
loc_01056,0.9290100476607014
loc_01057,0.9179123086241884
loc_01058,0.9155984849307444
loc_01059,0.9301584168353865
loc_01060,0.9355714467060231
loc_01061,0.917508147344354
loc_01062,0.9145770703015662
loc_01063,0.9436171617517973
loc_01064,0.9317743472448959
loc_01067,0.9361864058209822
loc_01068,0.931878364761856
loc_01069,0.9312032260604015
loc_01070,0.9309324539475241
loc_01072,0.9306282445117359
loc_01073,0.9405295211139499
loc_01074,0.909659436153908
loc_01075,0.9077811863448834
loc_01076,0.8875590182072621
loc_01077,0.9046330039692108
loc_01079,0.9069771472253105
loc_01080,0.9253246138255802
loc_01081,0.8863238431862546
loc_01082,0.9301902072248426
loc_01083,0.9316282445117356
loc_01084,0.9331103547610087
loc_01085,0.9124923580510879
loc_01086,0.9399330958177311
loc_01087,0.9507936325519524
