Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Elevation_m,Slope_deg,Ruggedness,Dist_to_Dam_m,Dist_to_River_m,LULC_Class,Soil_Class,Geology_Class,Domain_Geosite_Count,Region_Geosite_Count,Dist_to_Highway_m,Dist_to_Piste_m,Accessibility,Accessibility_v1,Fuzzy_Accessibility_Score,Fuzzy_Accessibility_Category,Is_Inside_Boundary,V_sci,V_vuln,V_geo,Cluster_ID,Management_Profile
417,Red facies of the Guettioua Fm,S,Central High Atlas,Béni Mellal-Khénifra,32.21472222222223,-6.222777777777778,1686.005126953125,8.146401405334473,250.7518768310547,1183.4320068359375,0.0,13.0,9.0,,119.0,109.0,0.0,1183.432,Easy,Difficult,0.683,Easy,True,3.13,1.9,4.19,1,Préservation Passive (Accès difficile)
418,Dinosaur bone deposi tat Agard-n-Sgat,PL,Central High Atlas,Béni Mellal-Khénifra,32.23861111111111,-6.2283333333333335,1521.392822265625,4.04373025894165,161.92359924316406,0.0,0.0,13.0,9.0,,119.0,109.0,1183.432,0.0,Easy,Moderate,0.7637,Easy,True,3.66,1.32,4.31,1,Préservation Passive (Accès difficile)
419,Dinosaur footprints of Ait wissadane,PL,Central High Atlas,Béni Mellal-Khénifra,32.22777777777778,-6.248611111111111,1521.392822265625,9.080755233764648,218.60867309570312,0.0,0.0,8.0,9.0,69.0,119.0,109.0,0.0,1183.432,Easy,Difficult,0.7222,Easy,True,3.44,3.75,1.92,2,Conservation Active (Sensibilité physique)
420,Basaltic flow B1,PT,Central High Atlas,Béni Mellal-Khénifra,32.20722222222223,-6.256666666666667,1974.0765380859373,11.257736206054688,459.73089599609375,1183.4320068359375,1183.4320068359375,11.0,9.0,59.0,119.0,109.0,1673.6256,0.0,Moderate,Difficult,0.4092,Moderate,True,3.1,3.42,3.33,2,Conservation Active (Sensibilité physique)
422, Karstic landscapes Taghia-n-Ait Boulmane,G,Central High Atlas,Béni Mellal-Khénifra,32.236644444444444,-6.119233333333333,2138.688720703125,59.75673294067383,568.4850463867188,1656.8048095703125,0.0,13.0,,71.0,119.0,109.0,0.0,0.0,Difficult,Difficult,0.0004,Difficult,True,3.87,3.49,3.07,3,Promotion Éducative (Grand Public)
424,Dyke of Taguelft,Mg,Central High Atlas,Béni Mellal-Khénifra,32.20916666666667,-6.118888888888889,1686.005126953125,9.430209159851074,405.3455200195313,3783.313720703125,0.0,8.0,9.0,,119.0,109.0,2366.864,0.0,Moderate,Difficult,0.4313,Moderate,True,2.73,3.61,2.52,2,Conservation Active (Sensibilité physique)
425,Fault-fold associated with the magmatic intrusion of Ait Boulmane ,SG,Central High Atlas,Béni Mellal-Khénifra,32.193888888888885,-6.101944444444444,1830.040771484375,58.62212371826172,712.0,5199.76318359375,1183.4320068359375,13.0,9.0,71.0,119.0,109.0,3742.3406,0.0,Difficult,Difficult,0.0002,Difficult,True,3.1,1.52,2.24,3,Promotion Éducative (Grand Public)
432,"Watercourse, river, lake, dam",H,Central High Atlas,Béni Mellal-Khénifra,32.10894444444445,-6.4633416666666665,2138.688720703125,1.837981343269348,47.18050384521485,13483.7861328125,1656.8048095703125,10.0,9.0,71.0,119.0,109.0,0.0,0.0,Easy,Easy,0.961,Easy,True,3.28,2.38,2.85,1,Préservation Passive (Accès difficile)
433,Dinosaur footprints,PL,Central High Atlas,Béni Mellal-Khénifra,32.10691388888889,-6.458327777777778,2138.688720703125,1.837981343269348,47.18050384521485,13483.7861328125,1656.8048095703125,10.0,9.0,71.0,119.0,109.0,0.0,0.0,Easy,Easy,0.961,Easy,True,3.49,1.65,4.54,1,Préservation Passive (Accès difficile)
434,Panoramic view of the Ouaouizaght Syncline,SG&S,Central High Atlas,Béni Mellal-Khénifra,32.13167777777778,-6.397130555555556,1809.4642333984373,3.87244725227356,167.3984832763672,8750.0595703125,0.0,13.0,9.0,71.0,119.0,109.0,0.0,0.0,Easy,Moderate,0.8495,Easy,True,4.28,3.89,2.8,4,Promotion Géotouristique Locale
436,Assif Assemssil Bridge,H,Central High Atlas,Béni Mellal-Khénifra,32.10832777777778,-6.472758333333333,2097.53564453125,2.393913507461548,54.43344497680664,14197.513671875,1183.4320068359375,13.0,9.0,71.0,119.0,109.0,0.0,0.0,Easy,Easy,0.9568,Easy,True,2.88,3.17,3.35,2,Conservation Active (Sensibilité physique)
437,Oued Ahençal river,H,Central High Atlas,Béni Mellal-Khénifra,32.069947222222225,-6.424030555555556,2303.301025390625,61.204837799072266,838.85546875,16316.6865234375,0.0,10.0,9.0,71.0,119.0,109.0,4733.728,1183.432,Difficult,Difficult,0.0,Difficult,True,3.63,2.29,3.87,3,Promotion Éducative (Grand Public)
438,Oued el Abid Bridge,S,Central High Atlas,Béni Mellal-Khénifra,32.13381666666667,-6.311780555555555,965.8265380859376,2.7823052406311035,91.82048034667967,8284.0244140625,0.0,4.0,9.0,71.0,119.0,109.0,0.0,0.0,Easy,,0.9375,Easy,True,3.82,1.49,2.92,1,Préservation Passive (Accès difficile)
439,Panoramic view of badlands and cuesta,G,Central High Atlas,Béni Mellal-Khénifra,32.09181944444445,-6.331558333333333,2262.14794921875,61.25389099121094,1089.597412109375,13017.751953125,0.0,11.0,9.0,71.0,119.0,109.0,0.0,0.0,Difficult,Difficult,0.0002,Difficult,True,2.51,2.23,4.62,3,Promotion Éducative (Grand Public)
440,Ain Asserdoune-Tamgnounte,"H,K&C",Central High Atlas,Béni Mellal-Khénifra,32.3241,-6.3375,1480.23974609375,15.832953453063965,414.4013671875,1183.4320068359375,1656.8048095703125,4.0,9.0,69.0,119.0,109.0,0.0,0.0,Moderate,Difficult,0.4548,Moderate,True,4.66,2.28,5.0,0,Préservation Absolue (Sanctuaire)
442,Moudj Canyon,"H,K&E",Central High Atlas,Béni Mellal-Khénifra,32.280556,-6.2975,2159.265380859375,5.165424823760986,159.3941650390625,6150.177734375,1656.8048095703125,10.0,9.0,71.0,119.0,109.0,0.0,0.0,Easy,Moderate,0.8548,Easy,True,2.81,3.49,2.6,2,Conservation Active (Sensibilité physique)
452,Taghbaloute- n- Ouhlima,"H,K,C&E",Central High Atlas,Béni Mellal-Khénifra,32.55341501,-6.01361989,1850.6173095703125,10.631772994995115,188.0398864746093,2366.864013671875,1656.8048095703125,6.0,9.0,71.0,119.0,109.0,0.0,0.0,Easy,Difficult,0.7542,Easy,True,2.56,3.21,3.29,2,Conservation Active (Sensibilité physique)
633,Boulemane,G&SG,Middle Atlas,Béni Mellal-Khénifra,33.364444444444445,-4.7225,2035.80615234375,3.5352110862731934,673.7484741210938,10399.5263671875,2366.864013671875,10.0,,,34.0,109.0,0.0,0.0,Easy,Difficult,0.6226,Easy,False,4.68,3.96,2.74,4,Promotion Géotouristique Locale
