Locality_ID,Geosite_Name,Region,Reference,Title
loc_01164,Cliffs of the west border of the Chebeika estuary,Guelmim-Oued Noun,Saddiqi et al.2022," Recommandation de deux géoroutes au sud
 du Maroc: 3Ga entre le désert du Sahara et
 l'océan Atlantique"
loc_01165,Lower Cretaceous f luvial sandstones (“Tan-Tan sands”) beneath the Hamada Plateau,Guelmim-Oued Noun,Saddiqi et al.2022," Recommandation de deux géoroutes au sud
 du Maroc: 3Ga entre le désert du Sahara et
 l'océan Atlantique"
loc_01166,"Cross-bedding in the fluvial
 sandstones  (“Tan-Tan sands”)",Guelmim-Oued Noun,Saddiqi et al.2022," Recommandation de deux géoroutes au sud
 du Maroc: 3Ga entre le désert du Sahara et
 l'océan Atlantique"
loc_01167,Transgression of the Lower Cretaceous redbeds on the Bas Draa Precambrian Massif,Guelmim-Oued Noun,Saddiqi et al.2022," Recommandation de deux géoroutes au sud
 du Maroc: 3Ga entre le désert du Sahara et
 l'océan Atlantique"
loc_01168,Upper Precambrian  metaconglomerates (south-western tip of the Bas Draa inlier),Guelmim-Oued Noun,Saddiqi et al.2022," Recommandation de deux géoroutes au sud
 du Maroc: 3Ga entre le désert du Sahara et
 l'océan Atlantique"
loc_01169,Vertical Cambrian quartzites (“Barre de Goulimine”) crossed by directional fault,Guelmim-Oued Noun,Saddiqi et al.2022," Recommandation de deux géoroutes au sud
 du Maroc: 3Ga entre le désert du Sahara et
 l'océan Atlantique"
loc_01170,Lower Ordovician (Llanvirn) oolithic iron bed section,Guelmim-Oued Noun,Saddiqi et al.2022," Recommandation de deux géoroutes au sud
 du Maroc: 3Ga entre le désert du Sahara et
 l'océan Atlantique"
loc_01171,"Perched syncline formed by Rich 1 and Rich 2 
 Jbel Rich fold train)",Guelmim-Oued Noun,Saddiqi et al.2022," Recommandation de deux géoroutes au sud
 du Maroc: 3Ga entre le désert du Sahara et
 l'océan Atlantique"
loc_01172,Open folds  of Jbel Rich,Guelmim-Oued Noun,Saddiqi et al.2022," Recommandation de deux géoroutes au sud
 du Maroc: 3Ga entre le désert du Sahara et
 l'océan Atlantique"
loc_01173,Jbel Tazout cuesta (Tournaisian),Guelmim-Oued Noun,Saddiqi et al.2022," Recommandation de deux géoroutes au sud
 du Maroc: 3Ga entre le désert du Sahara et
 l'océan Atlantique"
loc_01174,Jbel Ouarziz cuesta (Visean),Guelmim-Oued Noun,Saddiqi et al.2022," Recommandation de deux géoroutes au sud
 du Maroc: 3Ga entre le désert du Sahara et
 l'océan Atlantique"
loc_01175,Bituminous marls & estuariarine morphology,Guelmim-Oued Noun,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
loc_01176,Marine terraces,Guelmim-Oued Noun,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
loc_01177,Lecture of a landscape & unconformity,Guelmim-Oued Noun,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
loc_01178,Basement-cover relationships,Guelmim-Oued Noun,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
loc_01179,Cambrian quartzites & joint systems,Guelmim-Oued Noun,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
loc_01180,Ordovician glaciation deposit,Guelmim-Oued Noun,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
loc_01181,Cylindric anticline & oolithic iron,Guelmim-Oued Noun,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
loc_01182,"Perched syncline & subsidence, basin infilling",Guelmim-Oued Noun,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
loc_01183,Cratonic basin versus fold belt,Guelmim-Oued Noun,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean
