Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Elevation_m,Slope_deg,Ruggedness,Dist_to_Dam_m,Dist_to_River_m,LULC_Class,Soil_Class,Geology_Class,Domain_Geosite_Count,Region_Geosite_Count,Dist_to_Highway_m,Dist_to_Piste_m,Accessibility,Accessibility_v1,Fuzzy_Accessibility_Score,Fuzzy_Accessibility_Category
23,Todgha Gorges,SG&H,Central High Atlas,Draâ-Tafilalet,31.584444444444443,-5.590833333333333,1932.9234619140625,6.913000106811523,183.9395294189453,25795.14453125,4733.72802734375,5.0,9.0,56.0,119.0,105.0,0.0,0.0,Easy,Difficult,0.8303136318643349,Easy
24,Tamlalet Monkey’s fingers structures,G,Central High Atlas,Draâ-Tafilalet,31.44333333333333,-5.978055555555556,1974.0765380859373,2.5198428630828857,82.9201431274414,18217.513671875,1183.4320068359375,5.0,,,119.0,105.0,1183.432,0.0,Moderate,Moderate,0.8621431820357364,Easy
25,Tissadrine Folds,SG,Central High Atlas,Draâ-Tafilalet,31.529444444444444,-5.925833333333333,1871.19384765625,0.8978981971740723,25.58808326721192,17511.123046875,0.0,5.0,8.0,14.0,119.0,105.0,0.0,0.0,Easy,Moderate,0.9835223432808773,Easy
26,"Msemrir ""Red Beds""",S&PL,Central High Atlas,Draâ-Tafilalet,31.72,-5.826666666666666,2159.265380859375,2.3482449054718018,629.6884155273438,22932.8984375,0.0,5.0,9.0,66.0,119.0,105.0,1673.6256,1673.6256,Difficult,Difficult,0.44530092032283297,Moderate
27, Ait Aritane Panoramic view,G,Central High Atlas,Draâ-Tafilalet,31.542222222222225,-5.566944444444444,2323.87744140625,5.105672836303711,140.7568817138672,24597.0390625,4256.6865234375,5.0,9.0,,119.0,105.0,0.0,0.0,Easy,Moderate,0.9136753891350216,Easy
28,Ait Snan Fault,SG,Central High Atlas,Draâ-Tafilalet,31.39527777777778,-5.5975,2220.994873046875,0.9482800364494324,71.34072875976562,17034.08203125,0.0,5.0,9.0,,119.0,105.0,4733.728,2366.864,Difficult,Moderate,0.0030932566498095746,Difficult
29,"Tamtetoucht ""Red beds""",PL,Central High Atlas,Draâ-Tafilalet,31.71722222222222,-5.507777777777778,1541.9693603515625,0.7043924927711487,18.69491958618164,42108.16015625,0.0,5.0,9.0,,119.0,105.0,0.0,1183.432,Easy,Moderate,0.9844620855442845,Easy
30,Ait Hani Triassic salt cave,G,Central High Atlas,Draâ-Tafilalet,31.86416666666667,-5.470555555555555,2159.265380859375,6.497475624084473,859.2855834960938,32651.7109375,0.0,5.0,9.0,71.0,119.0,105.0,0.0,0.0,Easy,Difficult,0.6243007523051389,Easy
31,Toumlilin Middle Jurassic strata,S,Central High Atlas,Draâ-Tafilalet,32.85666666666667,-5.465555555555556,2385.607177734375,79.70216369628906,989.2388305664062,4966.74560546875,1183.4320068359375,13.0,,13.0,119.0,105.0,7577.662,0.0,Difficult,Difficult,1.5846082308325444e-07,Difficult
32,Ighrem N’Ougdal Middle Jurassic strata,G,Central High Atlas,Draâ-Tafilalet,32.009166666666665,-5.490833333333334,965.8265380859376,2.7823052406311035,91.82048034667967,23650.29296875,1183.4320068359375,5.0,9.0,71.0,119.0,105.0,0.0,0.0,Easy,,0.9629002611915101,Easy
33,Tinghir Paleozoic-Cretaceous unconformity,SG,Central High Atlas,Draâ-Tafilalet,31.48305555555556,-5.539444444444444,2344.4541015625,3.1323697566986084,88.64817810058594,23883.310546875,0.0,5.0,9.0,36.0,119.0,105.0,0.0,1183.432,Easy,Moderate,0.9636900982658289,Easy
34,Foum El Kouss Basalts,PT,Central High Atlas,Draâ-Tafilalet,31.435277777777777,-5.655,965.8265380859376,2.7823052406311035,91.82048034667967,12300.3544921875,1183.4320068359375,10.0,9.0,,119.0,105.0,0.0,1183.432,Easy,,0.9629002611915101,Easy
35,Timaderouine Cretaceous-Tertiary strata,S,Central High Atlas,Draâ-Tafilalet,31.411666666666665,-5.722222222222222,965.8265380859376,2.7823052406311035,91.82048034667967,4966.74560546875,0.0,10.0,9.0,66.0,119.0,105.0,0.0,1183.432,Easy,,0.9629002611915101,Easy
36,Imider Tertiary strata,S,Central High Atlas,Draâ-Tafilalet,31.375,-5.7908333333333335,965.8265380859376,2.7823052406311035,91.82048034667967,4733.72802734375,0.0,5.0,9.0,66.0,119.0,105.0,0.0,0.0,Easy,,0.9629002611915101,Easy
37,Anou N’Izm Tertiary strata,S,Central High Atlas,Draâ-Tafilalet,31.33944444444444,-5.838611111111111,965.8265380859376,2.7823052406311035,91.82048034667967,9456.4501953125,0.0,5.0,9.0,38.0,119.0,105.0,0.0,0.0,Easy,,0.9629002611915101,Easy
38,Ait Youl Basalts,PT,Central High Atlas,Draâ-Tafilalet,31.425,-6.011388888888889,1891.7703857421875,1.2697162628173828,74.95832061767578,21534.79296875,0.0,5.0,,,119.0,105.0,0.0,0.0,Easy,Moderate,0.9727688213488856,Easy
39,Ait Ibriren Quaternary deposits,S,Central High Atlas,Draâ-Tafilalet,31.441944444444445,-6.010833333333333,1871.19384765625,0.4980932772159576,40.18706130981445,21767.810546875,0.0,5.0,8.0,38.0,119.0,105.0,0.0,0.0,Easy,Moderate,0.9821353975090902,Easy
41,Ait Ouglef Allochthonous limestones,SG,Central High Atlas,Draâ-Tafilalet,31.454722222222223,-5.959722222222222,2035.80615234375,1.340947151184082,91.51912689208984,17267.099609375,2366.864013671875,5.0,,38.0,119.0,105.0,0.0,0.0,Easy,Moderate,0.9656331202057068,Easy
43,Taghia N’Ait Hammou Gorges,SG,Central High Atlas,Draâ-Tafilalet,31.53666666666667,-5.919444444444445,1891.7703857421875,0.8804658055305481,26.49056434631348,17511.123046875,0.0,5.0,8.0,14.0,119.0,105.0,0.0,1183.432,Easy,Moderate,0.9834468566255111,Easy
44,Tilmi Folds ,SG,Central High Atlas,Draâ-Tafilalet,31.80138888888889,-5.926111111111111,965.8265380859376,2.7823052406311035,91.82048034667967,12067.3369140625,1183.4320068359375,10.0,9.0,71.0,119.0,105.0,13231.172,1183.432,Difficult,,0.23583556376005047,Difficult
46,Ait Attou Oumoussa Jurassic strata ,S,Central High Atlas,Draâ-Tafilalet,31.861666666666668,-5.708055555555556,965.8265380859376,2.7823052406311035,91.82048034667967,21050.412109375,0.0,10.0,9.0,71.0,119.0,105.0,1183.432,0.0,Moderate,,0.8579839867630388,Easy
48,Redbeds,SG&S,Central High Atlas,Draâ-Tafilalet,32.166,-5.523,965.8265380859376,2.7823052406311035,91.82048034667967,14667.2177734375,0.0,5.0,7.0,71.0,119.0,105.0,0.0,0.0,Easy,,0.9629002611915101,Easy
49,Intraformational unc,S,Central High Atlas,Draâ-Tafilalet,32.193,-5.639,965.8265380859376,2.7823052406311035,91.82048034667967,14197.513671875,0.0,5.0,7.0,71.0,119.0,105.0,0.0,0.0,Easy,,0.9629002611915101,Easy
50,Isli Lake,H,Central High Atlas,Draâ-Tafilalet,32.222,-5.55,965.8265380859376,2.7823052406311035,91.82048034667967,8517.0419921875,0.0,5.0,7.0,71.0,119.0,105.0,5917.16,0.0,Moderate,,0.7139644588793925,Easy
51,Tisli Lake,H,Central High Atlas,Draâ-Tafilalet,32.199,-5.629,965.8265380859376,2.7823052406311035,91.82048034667967,13483.7861328125,0.0,5.0,7.0,71.0,119.0,105.0,1183.432,0.0,Moderate,,0.8579839867630388,Easy
52,Dolerite dykes and sills,PL,Central High Atlas,Draâ-Tafilalet,32.153,-5.64,965.8265380859376,2.7823052406311035,91.82048034667967,13483.7861328125,0.0,5.0,7.0,71.0,119.0,105.0,1183.432,0.0,Moderate,,0.8579839867630388,Easy
53,Fairy chimneys,G,Central High Atlas,Draâ-Tafilalet,32.176,-5.599,965.8265380859376,2.7823052406311035,91.82048034667967,13949.822265625,0.0,5.0,7.0,71.0,119.0,105.0,1183.432,1183.432,Moderate,,0.8579839867630388,Easy
54,Meandering Melloul river,G,Central High Atlas,Draâ-Tafilalet,32.159,-5.603,965.8265380859376,2.7823052406311035,91.82048034667967,15854.318359375,0.0,5.0,7.0,71.0,119.0,105.0,0.0,0.0,Easy,,0.9629002611915101,Easy
55,Sedimentary patterns,S,Central High Atlas,Draâ-Tafilalet,32.167,-5.545,965.8265380859376,2.7823052406311035,91.82048034667967,14201.18359375,0.0,5.0,7.0,71.0,119.0,105.0,0.0,2366.864,Easy,,0.9629002611915101,Easy
56,Msadrid ridge,S,Central High Atlas,Draâ-Tafilalet,32.153,-5.593,965.8265380859376,2.7823052406311035,91.82048034667967,16316.6865234375,0.0,10.0,7.0,71.0,119.0,105.0,0.0,1183.432,Easy,,0.9629002611915101,Easy
58,Late Jurassic theropod tracks,PL,Central High Atlas,Draâ-Tafilalet,32.142,-5.57,965.8265380859376,2.7823052406311035,91.82048034667967,17034.08203125,0.0,5.0,7.0,71.0,119.0,105.0,0.0,0.0,Easy,,0.9629002611915101,Easy
59,Vertebrate tracks in the Isli Formation,PL,Central High Atlas,Draâ-Tafilalet,32.157,-5.562,965.8265380859376,2.7823052406311035,91.82048034667967,15850.650390625,0.0,5.0,7.0,71.0,119.0,105.0,0.0,1183.432,Easy,,0.9629002611915101,Easy
60,Traces of Selenichnites- Tilmi syncline,PL,Central High Atlas,Draâ-Tafilalet,32.163,-5.546,965.8265380859376,2.7823052406311035,91.82048034667967,14201.18359375,0.0,5.0,7.0,71.0,119.0,105.0,0.0,2366.864,Easy,,0.9629002611915101,Easy
61,Traces of Crocodylopodus meijidei,PL,Central High Atlas,Draâ-Tafilalet,32.183,-5.458,965.8265380859376,2.7823052406311035,91.82048034667967,14426.86328125,0.0,5.0,9.0,71.0,119.0,105.0,1183.432,0.0,Moderate,,0.8579839867630388,Easy
