Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Coordinate_Extraction_Method
55,Sedimentary patterns,S,Central High Atlas,Draa-Tafilalet,32.167,-5.545,Numeric DMS
56,Msadrid ridge,S,Central High Atlas,Draa-Tafilalet,32.153,-5.593,Numeric DMS
57,Ait Ali Ou Ikkou's diapirsm,S,Central High Atlas,Draa-Tafilalet,32.153,-5.593,Numeric DMS
58,Late Jurassic theropod tracks,PL,Central High Atlas,Draa-Tafilalet,32.142,-5.57,Numeric DMS
59,Vertebrate tracks in the Isli Formation,PL,Central High Atlas,Draa-Tafilalet,32.157,-5.562,Numeric DMS
60,Traces of Selenichnites- Tilmi syncline,PL,Central High Atlas,Draa-Tafilalet,32.163,-5.546,Numeric DMS
61,Traces of Crocodylopodus meijidei,PL,Central High Atlas,Draa-Tafilalet,32.183,-5.458,Numeric DMS
62,Tassent ridge,S,Central High Atlas,Draa-Tafilalet,32.15,-5.55,Numeric DMS
63,Akhiam cave,G,Central High Atlas,Draa-Tafilalet,31.958,-5.696,Numeric DMS
64,The cliff granaries of Aoujgal   ,S,Central High Atlas,Béni Mellal-Khénifra,32.0,-6.333333333333333,DMS
65,The architectural heritage of Zaouiat Ahansal,C,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
66,Panorama of Zaouiat Ahansal ,G,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
67,The natural bridge of Imin Ifri ,G,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
68,The dinosaur geosites of Iouaridène,PL,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
69,Dinosaur footprints,PL,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
70,Aït Blal Rock engravings ,C,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
71,Tizi-n-Tighist Geo landscape ,S,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
72,Paleo-dam of Tizi-n-Tighza ,S,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
73,Ibaqualliwn Lamellibranches of Tizi-n-Tighist,PL,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
74, Jbel Azoukri Ait Attab synclinal (1),S,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
75,Ait Attab synclinal (2),S,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
76,"The Bin El Ouidane dam ""Chocolate Marls"" ",S,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
77,The Ouzoud waterfalls ,G&H,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
78,Cliff of Ait Abdi,SG,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
79,The “Cathedral” Mastfrane,R,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
80,Talmst Ride,SG,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
81,Dinosaur footprints,PL,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
82, Collective granary of Sidi Moussa,C,Central High Atlas,Béni Mellal-Khénifra,31.333333333333332,-5.333333333333333,DMS
83,"Granary, Ighrem",C,Central High Atlas,Béni Mellal-Khénifra,32.666666666666664,-7.333333333333333,DMS
84,Footprints of the carnivorous dinosaur (Tridactyl),PL,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
85,Herbivorous dinosaur footprints,PL,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
86,Izourar plateaus ,SG&S,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
87,Rock engravings of Tizi-n-Tighist,En,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates
88,Archaeoctic limestone,PL&S,Jbilet Massif,Marrakech-Saf,31.875,-8.866666666666667,Numeric DMS
89,Sandstone-fault families,S&S,Jbilet Massif,Marrakech-Saf,,,No coordinates
90,"Faiult mirror-gradin 
crystallization",S,Jbilet Massif,Marrakech-Saf,,,No coordinates
91,Karst networks of barite,S&M,Jbilet Massif,Marrakech-Saf,,,No coordinates
92,Calcite crystals,Pt,Jbilet Massif,Marrakech-Saf,,,No coordinates
93,"Cambrian sandstone & shale,Gray massive Cambrian limestones",S,Jbilet Massif,Marrakech-Saf,,,No coordinates
94,,,Jbilet Massif,Marrakech-Saf,,,No coordinates
95,The western tip of the Cambrian crest,S,Jbilet Massif,Marrakech-Saf,,,No coordinates
96,Jbel Irhoud anticline,S,Jbilet Massif,Marrakech-Saf,,,No coordinates
97,Sidi Bouzid escarpment,"S,St&PL",Meseta,Marrakech-Safi,32.30027777777777,-9.251111111111111,Numeric DMS
98,Chaâba valley,"S,S&PL",Meseta,Marrakech-Safi,32.30277777777778,-9.230833333333333,Numeric DMS
99,Sidi Abderrahmane clayquarry,S/St,Meseta,Marrakech-Safi,32.3325,-9.176666666666666,Numeric DMS
100,Sidi Abderrahmane dam,H,Meseta,Marrakech-Safi,32.323888888888895,-9.180277777777777,Numeric DMS
101,Escarpment of Lalla Fatna,"S,PL&St",Meseta,Marrakech-Safi,32.3875,-9.265,Numeric DMS
102,Cap Beddouza,S/St/G,Meseta,Marrakech-Safi,32.55083333333333,-9.272777777777778,Numeric DMS
103,El Goraan cave,G,Meseta,Marrakech-Safi,32.5575,-9.254166666666666,Numeric DMS
104,Souira Lgdima,"S,St&G",Meseta,Marrakech-Safi,32.03777777777778,-9.340555555555556,Numeric DMS
105,Sidi Tiji Gypsum quarry,S&St,Meseta,Marrakech-Safi,32.157777777777774,-8.865277777777777,Numeric DMS
106,Jorf Lihoudi,"S,St&PL",Meseta,Marrakech-Safi,32.18,-9.26,Numeric DMS
107,The lagoon of Oualidia,H,Meseta,Marrakech-Safi,32.73916666666667,-9.036944444444444,Numeric DMS
108,Panoramic view of the cliff,G,Meseta,Marrakech-Safi,32.30027777777777,-9.251111111111111,Numeric DMS
109,beach of Sidi Bouzide,G,Meseta,Marrakech-Safi,,,No coordinates
110,Marine fauna of the lower limestone,PL&S,Meseta,Marrakech-Safi,,,No coordinates
111, Yellow dolomite lower limestone Contact,S&SG,Meseta,Marrakech-Safi,,,No coordinates
112,Brown clay marine faun in the intercalated banks,PL&S,Meseta,Marrakech-Safi,,,No coordinates
113,The source Lalla Mira,H,Meseta,Marrakech-Safi,,,No coordinates
114,The wave of Saf,G,Meseta,Marrakech-Safi,,,No coordinates
115,Marabout Sidi Bouzid,R,Meseta,Marrakech-Safi,,,No coordinates
116,The marine fauna presented in the banks,PL,Meseta,Marrakech-Safi,,,No coordinates
117,Lake Afourgagh- charophytes tufas & gyrogonites,"SG,H & PL",Tabular Middle Atlas,Draa-Tafilalet & Fès-Méknès,33.61666666666667,-4.883333333333333,DMS
118,Lake Aoua (Dayet Aoua),SG&H,Tabular Middle Atlas,Draa-Tafilalet & Fès-Méknès,33.65555555555555,-5.333333333333333,DMS
119,Lake Ifrah (Dayet Ifrah),SG&H,Tabular Middle Atlas,Draa-Tafilalet & Fès-Méknès,33.5625,-4.916666666666667,DMS
120,Lake Aguelmame Sidi Ali,SG&H,Tabular Middle Atlas,Draa-Tafilalet & Fès-Méknès,33.07611111111112,-5.003611111111111,Numeric DMS
121,Bou Tegrrouine,G,Tabular Middle Atlas,Draa-Tafilalet & Fès-Méknès,,,No coordinates
122,The caldera of the Michliffen,G,Tabular Middle Atlas,Draa-Tafilalet & Fès-Méknès,,,No coordinates
123,Ruiniform landscape,G,Tabular Middle Atlas,Draa-Tafilalet & Fès-Méknès,,,No coordinates
124,Alluvial terraces of Aït Mallal,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
125,Aït Mallal valley,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
126,Badlands of Igoulouane,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
127, Arouss valley,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
128, Canyon of Rougoult valley,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
129,Canyon of Abachkou valley,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
130,Canyon of High-Tessaout valley,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
131,Glacial cirques and U-shaped valleys of Rat mountain,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
132,Scree and talus deposits of Rat mountain,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
133,Scree and talus deposits of Tarkeddid mountain,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
134,Fairy chimneys of Assamar,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
135,Canyon of Ikiss,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
136,Rat syncline,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
137,Peak and cliffs of Tarkeddid mountain,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
138,Mount M’goun (4068 m),G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
139,The unconformity between Paleozoic basement and Mesozoic sedimentary cover of Aït Mallal,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
140,,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
141,Rougoult waterfall,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
142,Springs of Oued Lakhdar (green river),G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
143,Springs and waterfall of Ikiss,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
144,Sinkholes of the Rat mountain,G,Central Hight Atlas,Béni Mellal-Khénifra ,,,No coordinates
145,Dinosaur footprints deposits of Iouaridene,PL,Central Hight Atlas,Béni Mellal-Khénifra,,,No coordinates
146,Dinosaur footprints deposits of  Ait Mimoun Ouffelah,PL,Central Hight Atlas,Béni Mellal-Khénifra,,,No coordinates
147,Dinosaur footprints deposits of Ait Bouguemaz,PL,Central Hight Atlas,Béni Mellal-Khénifra,,,No coordinates
148,Dinosaur footprints deposits of Ait Bla,PL,Central Hight Atlas,Béni Mellal-Khénifra,,,No coordinates
149,Lower Devonian quartzite bars of Bou Trou-Al Aççama,"S,St&G",Central Hight Atlas,Beni Mellal-Khenifra,33.367333333333335,-5.490166666666667,DMS
150,Lower Devonian paleosol of Bou Trou-Al Aççama,S&St,Central Hight Atlas,Beni Mellal-Khenifra,33.35933333333333,-5.491833333333333,DMS
