Geological domain,Administrative region,Reference,Title,Evaluated geosites,Geosite's type,Coordinates,,Center coordinates,,Methodology,Comment,Legend,,,,,,,,,,,,,,,,,,,,
,,,,Al Hamma cave,,35.27706N,5.18095W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Moukdassen spring,,35.536092N,5.334538W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Limestone pavement of Jebala,,35.373907N,5.265274W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spring of Mountain Moussa,,35.543071N,5.246450W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Knadel cave,,35.2448045N,5.314465W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Complex of cavities of Mountain Kelti,,35.373904N,5.265272W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Achakrade spring,,35.305593N,5.334694W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kelti spring,,35.348393N,5.269338W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bouattou spring,,35.3471335N,5.325466W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Avens of Kayat,,35.286726N,5.229632W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ifahssa old cave,,35.300705N,5.238901W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Block of Limestone Rocks,,35.299242N,5.239654W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Travertine of Ifahsa,,35.299126N,5.219980W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ifahsa spring,,35.297071N,5.233062W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oued Adelmane cave,,35.214210N,5.035252W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Al Kalaa spring,,35.219337N,5.138959W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ruiniform Chaos of Bab Al Arz,,35.332065N,5.558865W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Danou spring,,39.195230N,5.178882W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lkhoujja spring,,35.260086N,5.260401W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tazroute springs,,35.318987N,5.498023W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Monte spring,,35.271547N,5.505652W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Souyah spring,,35.207925N,5.045195W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Talassemtane spring,,35.127342N,5.069507W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ruiniform landscape of Afaska,,35.184135N,5.213966W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Imezzar spring,,35.188157N,5.178000W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kaf Lahmam cave,,35.183612N,5.196393W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tizi cave,,35.185283N,5.194535W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Azilane spring,,35.179224N,5.246292W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ras Al Maa spring,,35.179161N,5.246340W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Khandak spring,,35.112405N,5.418056W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Assifane cavities,,35.112876N,4.967752W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Limestone pavement of Bouhalla,,35.092540N,5.149741W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Polje Al Malaab,,35.601983N,5.388492W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Limestone pavement of Tissemlal,,35.178221N,5.246293W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Karst complex of Mountain Lakraa,,35.132726N,5.136942W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Doline of Tissouka,,35.186232N,5.138926W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cherafate spring,,35.066636N,5.107561W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taghobayt cave,,35.092642N,5.149841W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ketama spring,,34.875649N,4.626438W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ruiniform Chaos of Bou Slimane,,35.086438N,5.142154W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Al Khattabi undersea cavities,,35.213251N,4.651170W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oulassen spring,,35.015721N,4.908043W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lamouassif spring,,34.988318N,4.820548W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Charika spring,,34.957309N,4.678067W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Complex of cavities of Badis,,35.154371N,4.225422W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ksar Seghir beach,,35.844381N,5.553495W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dalia beach,,35.905462N,5.473829W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oued Lmarsa beach,,35.904153N,5.446488W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Laila small island,,35.511708N,5.466257W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Belyounesh beach,,35.909974N,5.394480W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sebta peninsula,,35.898229N,5.326348W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rifiyin beach,,35.837834N,5.354210W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tres Pierdas beach,,35.772728N,5.345322W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Smir lagoon,,35.32247N,5.447082W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mdiq beach,,35.695322N,5.327791W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Negro Cape beach,,35.663249N,5.283808W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Swamp of Oued Al Mallah,,35.591054N,5.260202W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Martil beach,,35.624365N,5.271424W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Coastal erosion of Sidi Abdeslam,,35.571666N,5.253896W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Azla beach,,35.550158N,5.240300W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Amsa beach,,35.540827N,5.217951W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tamrabet beach,,35.533503N,5.193817W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tamernout beach,,35.524625N,5.169756W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ouachtam beach,,35.505256N,5.154237W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cape of Mekkad,,35.475134N,5.108713W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oued Laou beach,,35.311751N,5.411482W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Targha beach,,35.394421N,5.020287W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stihat beach,,35.337057N,4.944453W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sidi Yahya Aarab beach,,35.299876N,4.878001W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jnane Enich beach,,35.304252N,4.895643W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Amtar beach,,35.245279N,4.795919W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Monica beach,,35.212507N,4.653219W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lhwad beach,,35.211957N,4.648930W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cala Iris beach,,35.117838N,5.145054W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Badis small island,,35.170472N,4.296347W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taoussert beach,,35.188456N,4.213340W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bousikour beach,,35.233504N,4.033563W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Boumehdi beach,,35.238055N,3.975661W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tala Youssef beach,,35.236105N,3.981783W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rmod beach,,35.242967N,3.967300W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Isri beach,,35.218844N,3.911254W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cliff of Al Hoceima,,35.223953N,4.050532W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Quemado beach,,35.244087N,3.926180W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cara Bonita beach,,35.234276N,3.922583W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Maktoa beach,,35.229936N,3.919097W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Small islands of Al Hoceima,,35.216773N,3.901165W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sfiha beach,,35.206200N,3.888210W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Al Hoceima Bay,,35.211857N,3.831492W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Strait of Gibraltar,,35.929746N,5.438324W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hill of Taifour,,35.676276N,5.298678W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fault of Samsa,,35.598793N,5.413419W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cluse of Tetouan,,35.543260N,5.443002W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Anticline of Nator cliff,,35.529560N,5.372524W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Synclinal of Tazarine,,35.501920N,5.368411W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Chefchaouen furrow,,35.178822N,5.256485W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fault escarpment of Mizlafene,,35.267876N,5.220210W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cliff of Imezar,,35.180251N,5.197536W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Folds of Sidi Abdelhamid,,35.179166N,5.246346W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Klippes of Soukna,,35.115764N,5.411627W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Folds and fault of Amtar,,35.082901N,4.192447W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cirque of Jebha,,35.211084N,4.661205W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fauld of Mtioua,,35.317340N,4.928470W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bar of Tizirene,,35.009775N,4.918015W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oued Rmel dam,,35.872707N,5.476005W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Al Raouz dam,,35.711000N,5.498116W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Smir dam,,35.402013N,5.23550W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ajras dam,,35.564636N,5.494865W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Martil dam,,35.477117N,5.428091W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Nakhla dam,,35.441739N,5.396691W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Prissa dam,,35.364628N,5.176170W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oued Laou dam,,35.246227N,5.291671W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Moulay Bouchta dam,,35.264187N,5.351637W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jaber lake,,35.31665N,5.496082W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bouhachem lake,,35.56615N,5.226447W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ali Thlet dam,,35.238238N,5.172893W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Al Houmar lake,,35.07728N,5.26288W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Laarays lake,,35.07686N,5.26586W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Al Mhad lake,,35.07556N,5.26466W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Al Garn lake,,35.022547N,5.205902W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ifrat Fouden lake,,35.0163612N,4.904481W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Al Jomoaa dam,,34.933095N,4.319152W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mujer dormida mountain,,35.402279N,5.322191W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gully of Tamghart,,35.488401N,5.130791W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rockfall niche of Azenti,,35.375224N,4.994033W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Scree cone of Mountain Kelti,,35.372808N,5.265224W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rockfall niche of Ametras,,35.083446N,5.079801W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Badlands of Idsoulyene,,35.001798N,5.370017W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Slippage of Cara Bonita,,35.232057N,3.922928W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Plain of Restinga,,35.789824N,5.361532W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Alluvial plain of Martil,,35.593329N,5.288213W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cascades of Ezarka,,35.520043N,5.340233W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cascades of Akherkhour,,35.300691N,5.205850W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Alluvial plain of Amsa,,35.537348N,5.220770W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Alluvial plain of Oued Laou,,35.082902N,4.192445W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Meander of Oued Laou,,35.429939N,5.098185W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cascades of Talembote,,35.296245N,5.227190W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Alluvial plain of Bouhmed,,35.330213N,4.952795W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sidi Yahya Aarab valley,,35.273273N,4.900421W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cascade of Oued Al Kalaa,,35.242975N,5.158297W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cascades of Akchour,,35.185251N,5.194523W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cascades of Taourart,,35.218905N,5.139681W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,River terrace of Issaguen,,34.918387N,4.565299W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Alluvial plain of Nekor,,35.190059N,3.877818W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Canyon of Laou river,,35.280073N,5.233774W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Natural bridge of Akchour,,35.195231N,5.178878W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Canyon of Farda river,,35.195315N,5.178814W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Canyon of Adelmane river,,35.211334N,5.040860W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Natural bridge and travertine of Assifane,,35.074391N,4.564801W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cascades of Imlil canyon,,35.081140N,4.104749W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Snow niche of Mountain Lakraa,,35.122193N,5.088850W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accumulation glaze of Soukna,,35.106971N,5.387428W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dunes of Al Hoceima,,35.182938N,3.934226W,,,,,,,,,,,,,,,,,,,,,,,,,
Central High Atlas,Béni Mellal-Khénifra,"ElKaichi et al., 2024","Canyons as potential geotourism attractions of Central High Atlas, Morocco: Comparative analysis of Aït Bouguemaz Valley and Zaouiat Ahansal-Taghia Valley by using GAM model",Izourhar lake,,"31°42'17.45""N","6°15'38.92""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ibakliwn 1,,"31°39'47.91""N","6°21'56.34""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ibakilwn 2,,"31°39'35.52""N","6°23'15.40""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oued Rbat,,"31°39'31.31""N","6°24'35.83""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tabant,,"31°39'34.15""N","6°25'30.10""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Grenier Sidi Moussa,,"31°39'27.28""N","6°25'57.55""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Site Sidi Moussa,,"31°39'28.30""N","6°26'10.30""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aguered N'Ouzrou,,"31°39'11.25""N","6°26'19.80""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ait Bouguemez,,"31°38'50.71""N","6°27'5.64""W",,,,,,,,,,,,,,,,,,,,,,,,,
Western High Atlas,Souss-Massa,"Boukfaoui et al., 2026","Contribution to the inventory of Morocco’s geological heritage: The coastal geosites of Agadir Ida-Outanane (western High Atlas, Morocco)",Coast of Agadir,S,"30°25‘,14’‘N","9°36’,36‘’W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dinosaurs of Anza,PL,"30°26‘,43’‘N","9°39’,39‘’W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cliffs of Taghazoute,SG,30°33’12’‘N,9°44’22’’W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tiguert Travertines,H,30°33’12’’N,9°44’22’’W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tiguert angular unconformity,G,30°37’43’’N,9°50’20’’W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Caves of Cap Ghir,GC,30°37’51’’N,09°51’41’’W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kimmeridgian Reef of Cap Ghir,PL,30°37’33“N,9°51’54”W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Reef of the main fossils at Cap Ghir,PL,30°37’59“N,9°53’16”W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,The Tamri estuary,H,30°42’40“N,9°51’17”W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,The Timlaline gorges,G,30°46’00“N,9°49’39”W,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Atlas,,"Sayad et al., 2020","Dayet Aoua, a threatened mountain geomorphosite for sustainable development",Dayet Aoua,,"33°39'7.20""N","5° 1'58.79""W",,,,,,,,,,,,,,,,,,,,,,,,,
Meseta,Marrakech-Safi,"Eddifai et al., 2025",Degradation risk of geosites analysis in the Rehamna region (Morocco): Inventory and quantitative assessment,Paradoxid Shale,,"32°40'22.24""N","7°51'13.90""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cambrian Gres-Quartzitic Facies,,"32°43'5.97""N","7°56'14.66""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Angular unconformity of Cambrian-Cretaceous,,"32°39'0.25""N","7°47'53.22""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Conglomerates of Machraâ Ben Abbou,,"32°37'33.08""N","7°48'34.74""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Conglomerates of Sidi Abdelah,,"32°32'44.93""N","7°49'54.31""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Conglomerates of Kef El Mounib,,"32°26'32.86""N","7°56'39.64""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Granite of Sebt Brikiine,,"32°17'57.37""N","8° 2'17.11""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Micashiste of Lalla Titaf,,"32°14'57.86""N","7°58'24.06""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Pegmatite of Sidi Bouathmane,,"31°53'51.82""N","7°57'11.89""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Pyrrhotites of Kettara,,"30°56'52.38""N","8°15'54.19""W",,,,,,,,,,,,,,,,,,,,,,,,,
High Atlas,Beni Mellal-Khenifra,"Kchikach et al., 2024","Digital Promotion of Geoheritage along a Tourist Route in M’Goun UNESCO Geopark (Central High Atlas, Morocco) and Visitor Typology Analysis",Imi-n-Ifri natural bridge,,"31°43'48.52""N","6°58'9.71""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dinosaur footprints, Iwariden",,"31°43'34.47""N","6°52'4.54""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jbel Rat ascension,,"31°34'20.15""N","6°38'6.07""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jbel M'Goun ascension,,"31°38'9.46""N","6°31'47.83""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ait Bouguemez valley trek,,"31°39'2.92""N","6°27'41.44""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dinosaur footprints, Ibakaliwine",,"31°41'3.12""N","6°22'16.15""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hiking lake Izoughar,,"31°44'12.93""N","6°18'53.14""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jbel Azourki ascension,,"31°47'39.69""N","6°11'35.16""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taghia sources,,"31°49'17.81""N","6° 5'21.36""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cliffs of Ait Abdi Plateau,,"31°56'35.03""N","6° 4'36.36""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hiking around Imsfran Cathedral,,"31°58'59.45""N","6° 7'17.02""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Panoramic view of the Bin El Ouidane dam,,"32° 6'10.75""N","6°17'49.14""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Panoramic view of the Tadla plain,,"32°11'2.07""N","6°30'39.66""W",,,,,,,,,,,,,,,,,,,,,,,,,
Central High Atlas,Draa-Tafilalet,"Si Mhamdi et al., 2023","Enhancing the Geological Heritage of the Errachidia Area in the High Atlas, Morocco: Inventory and a Proposal for a Pedagogic and Geotouristic Trail",Panorama of the Atlas Front,,"31°57'8.84""N","4°28'21.29""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,South Atlas Fault,,"31°58'37.48""N","4°28'59.81""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jbel Hamdoun Anticline Structure,,"31°58'58.62""N","4°30'0.13""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jurassic/Cretaceous Contact,,"31°59'58.55""N","4°29'34.31""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Perched Syncline Between Two Atlassic Faults,,"32° 1'34.00""N","4°28'3.60""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ait Atmane Fault (Amzouj Fault),,"32° 1'41.84""N","4°26'27.82""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Panorama of El Hassan Addakhil Dam,,"32° 2'59.38""N","4°24'16.08""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ait Atmane Biostromes and Reef Mounds,,"32° 4'20.98""","4°23'18.80""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dermchane Waterfall,,"32° 3'16.45""N","4°28'59.18""W",,,,,,,,,,,,,,,,,,,,,,,,,
Anti-Atlas,Draa-Tafilalet,"Lahmidi et al., 2020","First inventory and assessment of the Geoheritage of Zagora province
from the project Bani Geopark (South-Eastern Morocco)",Plainof Fezouata Shales,,"30°25'33.80""N","5°38'39.04""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fossiliferous outcropof Fezouata Shales 1,,"30°26'48.67""N","5°36'59.34""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fossiliferous outcropof Fezouata Shales 2,,"30°25'36.75""N","5°37'34.62""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fossiliferous outcropof Fezouata Shales 3,,"30°27'45.58""N","5°38'20.45""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Block1: Condensed series Block 2: Hardground,,"30°26'2.91""N","5°36'22.12""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Desert landforms 1,,"30°18'52.52""N","5°34'7.62""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Desert landforms 2,,"30°13'32.12""N","5°33'18.85""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,The members of the first Bani are horizontal,,"29°56'27.96""N","5°35'0.21""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,The first Bani constitutes a naturalbar that blocks sand deposits,,"30°23'31.74""N","5°46'4.07""W",,,,,,,,,,,,,,,,,,,,,,,,,
Sahara,Laayoun-Saqia Al Hamra & Dakhla Oued Dahab,"Saddiqi et al., 2015 (In Errami et al., 2015)",Recommended Geoheritage Trails in Southern Morocco: A 3 Ga Record Between the Sahara Desert and the Atlantic Ocean,Continental uplift & coastal erosion,,"23°48'46.20""N","15°53'33.80""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Artesian well,,"23°55'22.62""N","15°43'11.02""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Marine fossils & phosphate genesis,,"23°28'36.70""N","15°56'46.27""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Continental fossils & sedimentaion,,"23°47'30.38""N","15°40'14.11""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Continental sedimentation & unconformity,,"23°30'15.19""N","15° 4'52.92""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Metagabbros,,"23° 7'40.39""N","14°39'19.09""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Orthogenesis & dyke and pluton intrusions,,"22°30'20.13""N","14°18'16.34""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Migmatites & deep petrogenesis,,"22°35'59.10""N","14°21'25.84""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Upper Ordovician glaciation & unconformity,,"22°42'45.15""N","14°22'5.27""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Nappe kinematics & metapelites,,"22°35'25.20""N","14°32'6.37""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bituminous marls & estuariarine morphology,,"28°17'30.18""N","11°32'1.18""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Marine terraces,,"28°28'34.10""N","11°12'9.79""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lecture of a landscape & unconformity,,"28°24'28.38""N","11° 4'3.85""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Basement-cover relationships,,"28°21'18.81""N","10°56'23.03""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cambrian quartzites & joint systems,,"28°16'43.11""N","10°53'49.62""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ordovician glaciation deposit,,"28°13'18.24""N","10°53'20.55""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cylindric anticline & oolithic iron,,"28° 7'26.39""N","10°53'20.78""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Perched syncline & subsidence, basin infilling",,"28° 6'25.91""N","10°53'24.82""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cratonic basin versus fold belt,,"28° 1'13.91""N","10°48'32.57""W",,,,,,,,,,,,,,,,,,,,,,,,,
