Geological domain,Administrative region,Evaluated geosites,Geosite's type,Coordinates,,Center coordinates,,,,,,Coordonées centrique,,
,,Targha mica-shist,PT,534700N,533600W,,,,,,,,,
,,Stehat gneiss,PT,539420N,527430W,,,,,,,,,
,,Beni Bousera Kinzigites,PT,542348N,524230W,,,,,,,,,
,,Tihissasse fan delta,G,541513N,525900W,,,,,,,,,
,,BeniBousera Peridotitic Complex,PT,547357N,518453W,,,,,,,,,
,,Talambote bad lands,G,518527N,517151W,,,,,,,,,
,,Talambote Thrusting,SG,519820N,516443W,,,,,,,,,
,,Akchour landslide,SG,516559N,519522W,,,,,,,,,
,,Akchour Gorge,G,520220N,515270W,,,,,,,,,
,,Sidi Abdel Hamid,SG,511770N,508040W,,,,,,,,,
,,Ras Ma Spring,H,513050N,507250W,,,,,,,,,
,,BabTazaPhtanites,GM,519816N,496000W,,,,,,,,,
,,Bouhala Landslice,G,523579N,496355W,,,,,,,,,
,,Chrafate Spring,G,528900N,498200W,,,,,,,,,
,,Chrafate Alluvial Fan,S,526620N,496200W,,,,,,,,,
,,Beni Derkoul Radiolarites,PL,528971N,96626W,,,,,,,,,
,,Jbel Chrafate,S,528915N,497639W,,,,,,,,,
,,Ametrasse rocks fall,G,528915N,497640W,,,,,,,,,
,,AmetrasseTertiary Fm Succession,S,537441N,500341W,,,,,,,,,
,,Kodiat Sbaâ,G,532683N,496238W,,,,,,,,,
,,Raghdat Southern,G,522044N,498840W,,,,,,,,,
,,Jbel Bou Sliman,G,524115N,502322W,,,,,,,,,
,,Jbel Lakraa,S,351300N,515000W,,,,,,,,,
,,Oued Tassikisste Gorge,G,517264N,531806W,,,,,,,,,
,,Jbel Kelti,SG,528900N,498200W,,,,,,,,,
,,Khzanat Spring,H,512882N,531566W,,,,,,,,,
,,Jbel Tellouja karst,G,514550N,510800W,,,,,,,,,
,,Raghdat Arimlal,G,507660N,528564W,,,,,,,,,
,,Pont de Dieu and Farda River,G,520000N,512000W,,,,,,,,,
,,Oued ElKelaa Gorge and waterfall,G,524300N,511980W,,,,,,,,,
,,Tissimlane cherty limestone,S,514708N,508861W,,,,,,,,,
,,Jbel Tissouka,S,516616N,506668W,,,,,,,,,
Central Massif,Rabat-Salé-Kénitra,Upper Ordovician Quartzite slump balls,S&SG,33°35′56.56ʺN,6°06′36.94ʺW,….,….,,,,,,,
,,Givetian reefal lime stones Stromatoporas,S&PL,33°32′44.71ʺN,6°00′26.43ʺW,,,,,,,,,
,,Givetian reefal lime stones Algal laminitis,S&PL,33°33′24.41 ʺ N,6°2′21.78 ʺ W,,,,,,,,,
,,Givetian reefal lime stones Slump balls,S,33°32′54.82 ʺ N,6°01′48.62 ʺ W,,,,,,,,,
,,Famenno-Tournai sian calcareous (Mid Devonian reef limestones) rocks falls of Tiliouine,S,33°32′45 ʺ N,6°00′27 ʺ W,,,,,,,,,
,,,,,,,,,,,,,,
,,Middle Devonian reefal limestone olistoliths within the Tournisian turbid ites West of Tiliouine,SG,33°33′12 ʺ N,6°04′13 ʺ W,,,,,,,,,
,,Tournaisian reefal limestones Olistoliths of Tiddas,SG,33°31′42 ʺ N,6°15′06 ʺ W,,,,,,,,,
,,Westphalian red conglomerates,SG,33°31′26 ʺ N,6°15′23 ʺ W,,,,,,,,,
,,Granite of Zaer,SG,33°23′39.07 ʺ N,6°34′50.84 ʺ W,,,,,,,,,
,,Variscan synoro genic Granite of Oulmes,SG,33°26′28 ʺ N,6°03′09 ʺ W,,,,,,,,,
,,Oulmes Granite and metamorphism aureole contact,SG,33°26′28 ʺ N,6°03′09 ʺ W,,,,,,,,,
,,The El Karit mine: fillonien complex with the Tin and tungsten,SG,33°25′05 ʺ N,6°06′09 ʺ W,,,,,,,,,
,,The El Karit mine: giant andalusite,SG,33°25′21 ʺ N,6°06′07 ʺW,,,,,,,,,
,,Autunian fluviatile channels volcano-detritic Red serie of Souk Sebt,S,33°38′40.72 ʺ N,6°08′37.89 ʺ W,,,,,,,,,
,,Autunian Trachy andesite of Tiddas,SG,33°34′ 44 N,6°16′ 15 W,,,,,,,,,
,,Permian Rhyolite of Souk Sebt,SG,33°38′31.87 ʺ N,6°08′8.98 ʺ W,,,,,,,,,
,,Triassic Basalts of Jbel Merzaga-Maaziz,SG,33°41′9.71 ʺ N,6°26′36.50 ʺ W,,,,,,,,,
,,Upper Trias sic evaporate (gypsum) of Khemisset,SG,33° 37′ 19 ʺ N,6° 25′ 00 ʺ W,,,,,,,,,
,,Visean-Miocene uncon,SG,33°33′54.78 ʺ N,6°44′58.71 ʺ W,,,,,,,,,
,,Triassic-Miocene uncon of Maaziz,SG,33° 36′ 37 N,6° 24′ 18 W,,,,,,,,,
,,Quaternary Basal tic flow of El Harcha,SG,33°29′09 ʺ N,6°09′30’’W,,,,,,,,,
,,Quaternary Basal tic flow of Oued Boulahmayl lavas,SG,33°19′44.45 ʺ N,6°59′48.11 ʺ W,,,,,,,,,
Middle Atlas,Beni Mellal-Khenifra,Thedolerite sill of Ouzoud,PT,,,….,….,,,,,,,
,,Ouzoud waterfalls,G,,,,,,,,,,,
,,Ouzoud travertines,S,,,,,,,,,,,
,,Estuary of Oued Tassakht,H,,,,,,,,,,,
,,Oued EL Abid gorges and caves,G,,,,,,,,,,,
,,Azilal formation intruded by Tanaghmelt sill,SG&S,,,,,,,,,,,
,,Zaouit Tanaghmelt,R,,,,,,,,,,,
,,Basaltic flows of Ouzoud,PT,,,,,,,,,,,
,,Ouzoud springs,H,,,,,,,,,,,
Central High Atlas,Beni Mellal-Khénifra,Gabroic Intrusion of Idemrane,PT,32°12′10 ″N,6°7′12 ″W,….,….,,,,,,,
,,Sills of Idemrane,PT,32°16′30 ″N,6°15′32 ″W,,,,,,,,,
,,"Folded marly limstones of the Bine El OuidaneII
  Fm",SG,32°15′39 ″N,6°15′46 ″W,,,,,,,,,
,,Fossil wood of the Azilal Fm,PL,32°16′12 ″N,6°15′50 ″W,,,,,,,,,
,,Chaos alteration of gabbros,S,32°16′11″N,6°15′31″W,,,,,,,,,
,,Red facies of the Guettioua Fm,S,32°12′53″N,6°13′22″W,,,,,,,,,
,,Dinosaur bone deposi tat Agard-n-Sgat,PL,32°14′19 ″N,6°13′42 ″W,,,,,,,,,
,,Dinosaur footprints of Ait wissadane,PL,32°13′40 ″N,6°14′55 ″W,,,,,,,,,
,,Basaltic flow B1,PT,32°12′26 ″N,6°15′24 ″W,,,,,,,,,
,,Radiating dykes Taghia-n-Ait Boulmane,Mg,,,,,,,,,,,
,,Karstic landscapes Taghia-n-Ait Boulmane,G,32°14′11.92”N,6°07′09.24”W,,,,,,,,,
,,Gabbroic intrusion of Taghia-n-Ait Boulmane,Mg,32°14′11.92”N,6°07′09.24”W,,,,,,,,,
,,Dyke of Taguelft,Mg,32°12′33 ″N,6°07′08 ″W,,,,,,,,,
,,Fault-fold associated with the magmatic intrusion,SG,32°11′38 ″N,6°06′07 ″W,,,,,,,,,
,,Fossiliferous site of Tighalghalt,PL,6°4′35 ″N,32°11′30 ″W,,,,,,,,,
,,Travertines of Tighalghalt,K,6°5′12 ″N,32°11′16 ″,,,,,,,,,
,,Taghia-n-Ait Boulmane gorges,G,32°14′11.92”N,6°07′09.24”W,,,,,,,,,
,,Folded structures Taghia-n-Ait Boulmane,SG,32°14′11.92”N,6°07′09.24”W,,,,,,,,,
,,The community granaries of Taghia-n-Ait Boulmane,C,,,,,,,,,,,
,,Ammonites and sponges fossil of Jbel Taguendouft,PL,,,,,,,,,,,
Central High Atlas,Beni Mellal-Khénifra,"Watercourse, river, lake, dam",H,32°6′32.20″N,6°27′48.03″W,32°N - 32°30’N, 5°50’W,,,,,,,
,,Dinosaur footprints,PL,32° 6′24.89″N,6°27′29.98″W,,,,,,,,,
,,Panoramic view of the Ouaouizaght Syncline,SG&S,32° 7′54.04″N,6°23′49.67″W,,,,,,,,,
,,"Inverse fault, anticlinal fold and joint",SG,,,,,,,,,,,
,,Assif Assemssil Bridge,H,32° 6′29.98″N,6°28′21.93″W,,,,,,,,,
,,Oued Ahençal river,H,32° 4′11.81″N,6°25′26.51″W,,,,,,,,,
,,Oued el Abid Bridge,S,32° 8′1.74″N,6°18′42.41″W,,,,,,,,,
,,Panoramic view of badlands and cuesta,G,32° 5′30.55″N,6°19′53.61″W,,,,,,,,,
,,Ain Asserdoune-Tamgnounte,"H,K&C","32,3241 N","6,3375 W",,,,,,,,,
,,Ain El Ghazi cave,,,,,,,,,,,,
,,Moudj Canyon,"H,K&E","32,280556 N","6,2975 W",,,,,,,,,
,,Ruiniform landscape of Moudj,G&H,,,,,,,,,,,
,,Idemrane landslide,,,,,,,,,,,,
,,Adouz dejection cone,,,,,,,,,,,,
,,Ajojjar waterfall,,,,,,,,,,,,
,,Ouchrah site,H,,,,,,,,,,,
,,Tafrent Polje,,,,,,,,,,,,
,,Hançais,,,,,,,,,,,,
,,Ain Fachtals,,,,,,,,,,,,
,,Ain Ikhourba,,,,,,,,,,,,
,,Taghbaloute- n- Ouhlima,"H,K,C&E","32,55341501 N","6,01361989W",,,,,,,,,
,,Jbel Boutarwa,,,,,,,,,,,,
,,Tit-n-Ziza Geomorphosite,G,,,,,,,,,,,
,,Afla Ifran Geomorphosite,G,,,,,,,,,,,
,,Chkounda Geomorphosite,G,,,,,,,,,,,
,,Tichniwine Rocks,,,,,,,,,,,,
,,Iferd Ait Masaoud Polje,,,,,,,,,,,,
,,Ben Cherrou Valley,,,,,,,,,,,,
,,Jbel Tadawt Karst,,,,,,,,,,,,
,,Jbel Wawngarf karstic plateau,,,,,,,,,,,,
,,El Haounet karstic plateau,,,,,,,,,,,,
,,The Walous cliff granaries,,,,,,,,,,,,
,,Ain Askar,,,,,,,,,,,,
,,Oued El Abid meanders,,,,,,,,,,,,
,,Gabbroic intrusion of Idemrane,Mg,,,,,,,,,,,
,,Sills of Idemrane,Mg,,,,,,,,,,,
,,Folded marly limstones of the Bine El Ouidane II Fm,SG,,,,,,,,,,,
,,Fossil wood of the Azilal Fm,PL,,,,,,,,,,,
,,Chaos alteration of gabbros,S,,,,,,,,,,,
,,Red facies of the Guettioua Fm,S,,,,,,,,,,,
,,Dinosaur bone deposit of Agard-n-Sgat,PL,,,,,,,,,,,
,,Dinosaur footprints at Ait Wissadane,PL,,,,,,,,,,,
,,Basaltic flow B1,Mg,,,,,,,,,,,
,,The Taghia-n-Ait Boulmane intrusion,Mg,,,,,,,,,,,
,,Dyke of Taguelft,Mg,,,,,,,,,,,
,,Fault-fold associated with the magmatic intrusion of Ait Boulmane,SG,,,,,,,,,,,
,,Ouzoud waterfalls,H,,,,,,,,,,,
,,Karstic spring of Ouzoud,K,,,,,,,,,,,
,,Oued El Abid Gorges,G,,,,,,,,,,,
,,Estuary of Oued Tissakht (Ouzoud caves),H&K,,,,,,,,,,,
,,Doleritic sill of Ouzoud,SG,,,,,,,,,,,
,,Zauia of Tanaghmelt,R,,,,,,,,,,,
,,Basaltic flows of Ouzoud,Mg,,,,,,,,,,,
,,Chocolate marl intruded by Tanaghmelt sil,St,,,,,,,,,,,
,,Ouzoud travertines,K,,,,,,,,,,,
,,Moudj’s lapiez,,,,,,,,,,,,
,,Timskar Waterfalls,K,,,,,,,,,,,
,,Tazerkount Ruiniformes Landscapes,,,,,,,,,,,,
,,Caves of Orbiaa,K&Hi,,,,,,,,,,,
,,Ain Orbiaa,K&R,,,,,,,,,,,
,,Ruiniformes Landscapes of Tacmit,K,,,,,,,,,,,
,,Timskar’s travertines,K,,,,,,,,,,,
,,Tazzerkount Tepee Structures,,,,,,,,,,,,
,,travertines of El Ksiba,K,,,,,,,,,,,
,,Ruiniformes Landscapes of EL Ksiba,K,,,,,,,,,,,
,,Fossils of Moudj,PL,,,,,,,,,,,
,,Panoramic view of Rurate,,,,,,,,,,,,
,,Spring of Lala Kamria,K,,,,,,,,,,,
,,Panoramic view of overturned bar of Iferghas,,,,,,,,,,,,
,,Karst cliff of Ighir-n-Oumejjad,SG,,,,,,,,,,,
,,Panoramic view of the Ait Attab syncline,,,,,,,,,,,,
,,The tectonic deformations of Jbel Hassan,SG,,,,,,,,,,,
,,The ruiniform limestones with ammonite of the Ben Cherrou formation,PL,,,,,,,,,,,
,,Panoramic view of the Cretaceous cuestas,,,,,,,,,,,,
,,The bad land of Ait Ouabit,,,,,,,,,,,,
,,Gorges of Ait Ouabit,,,,,,,,,,,,
,,Conglomerate terraces of Oued El Abid,,,,,,,,,,,,
,,The footprints of sauropod dinosaurs of Ayt Bouiqban,,,,,,,,,,,,
,,Lower limit of the basaltic flow B2,,,,,,,,,,,,
,,Jurassic-Cretaceous unconformity and volcanic activities,,,,,,,,,,,,
,,Bioclastic limestone with ammonite of the Bine El Ouidane BIII formation,,,,,,,,,,,,
,,Panoramic view of Oued El Abid from the old Caida of Taounza,,,,,,,,,,,,
,,Caves of cats and the spring of Tisqui,,,,,,,,,,,,
,,Bioclastic marly limestone of Ait Tafelt formation,,,,,,,,,,,,
,,Eroded sandstone of Jbel Ilaghmane,,,,,,,,,,,,
,,Panoramic view of the red formations separated by the BI and BII magmatic events,,,,,,,,,,,,
,,Ruiniform reliefs of Jbel Al Maqçoura,,,,,,,,,,,,
Central High Atlas,Draa-Tafilalet,Jurassic tabular structures,G,,,32° 5’ 48” N and 32° 64’ 19” N,4° 11’ 72” W and 5° 46’ 20” W,,,,,,,
,,wadi Ziz canyon,G,,,,,,,,,,,
,,Hammat Moulay Ali Cherif,G,,,,,,,,,,,
,,Hassan Addakhil Dam Lake,G,,,,,,,,,,,
,,Tunnel Zaabel,G,,,,,,,,,,,
,,Ziz Valley Ait Atmane,G,,,,,,,,,,,
,,Waterfall,G,,,,,,,,,,,
,,Ziz gorges,G,,,,,,,,,,,
Meseta,Marrakech-Safi,Panoramic view from the Kettara intrusion,Mg,,,,,,,,,,,
,,Mineralized quartz-chlorite vein cutting the schists at a low angle in the Kettara gossan,M,,,,,,,,,,,
,,"Mineralized quartz-chlorite vein cutting the schists at a 
 low angle in the Kettara gossan",M,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"Specimen from the drill core showing a mineralized quartz-chlorite 
 vein crosscut by a carbonate (CC) vein",M,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Intrusion affected by subvertical schistosity,M,,,,,,,,,,,
,,Centimetre-scale layering in the ultramafic cumulates,M,,,,,,,,,,,
,,Doleritic dyke cross-cutting ultramafic cumulates,Mg&Pt,,,,,,,,,,,
,,Doleritic dyke cross-cutting the gabbro,Mg&Pt,,,,,,,,,,,
,,Basic dyke of massif leucogabbro sheared in a NE direction,Mg&Pt,,,,,,,,,,,
,,Coarse-grained gabbros,Mg,,,,,,,,,,,
,,Kettara Sharlef Shale,Me&Pt,,,,,,,,,,,
,,Panorama of a geological succession with several uncon formities (Tahannaout; Douar Sour),"S,PL&SG",,,,,,,,,,,
,,Normal faults with tilted blocks (Zawyat bou houta),SG,,,,,,,,,,,
,,"Syn-sedimentary tectonic geosite: Hemigraben perched on visean basement, graben, tilted block and normal faults (Tibizzit)",S&SG,,,,,,,,,,,
,,"Syn-sedimentary tectonic geosite of a 
 normal fault (Aghzane",S&SG,,,,,,,,,,,
,,Moulay Brahim landscape,"Mg,S,SG&C",,,,,,,,,,,
,,Asni anticlinorium,G,,,,,,,,,,,
,,Imlil landscape,S&SG,,,,,,,,,,,
,,Foot of Toubkal,,,,,,,,,,,,
,,Toubkal national Park,,,,,,,,,,,,
,,Aerial courses and B tree climbing in Terre d’Amanar tourist site (Tahannaout),,,,,,,,,,,,
Anti-Atlas,,Zenaga Inlier,GH,,,,,,,,,,,
,,"Neoproterozoic doleritic dykes (Zenaga, Central AA)",GH,,,,,,,,,,,
,,Tholeiitic dyke swarms (Zenaga inlier),GH,,,,,,,,,,,
,,Well preserved Pre-Pan-African sedimentary features,GH,,,,,,,,,,,
,,"Pan-African ophiolites of Bou Azzer and Siroua inliers, central AA)",GH,,,,,,,,,,,
,,Major Anti-Atlas Fault (central AA),GH,,,,,,,,,,,
,,"Pan-African Diamictites (Bou-Azzer and Siroua inliers, central AA)",GH,,,,,,,,,,,
,,Ediacarian Iknioun granodiorites,GH,,,,,,,,,,,
,,Late Neoproterozoic stromatolites,GH,,,,,,,,,,,
,,"Contacts Pan-African Groups: Saghro, Mgouna and Ouarzazate Groups",GH,,,,,,,,,,,
,,"Contacts Palaeoproterozoic Zenaga complex, late Neoproterozoic Ouarzazate Supergroup and the Cambrian Tata Group",GH,,,,,,,,,,,
,,,GH,,,,,,,,,,,
,,Appalachian type folding in western AA,GH,,,,,,,,,,,
,,Large Cambrian trilobite Paradoxides,GH&C,,,,,,,,,,,
,,Ordovician outcrop of Jbel Kissane,GH,,,,,,,,,,,
,,Large Ordovician trilobites (Asaphus) death assemblages,GH&C,,,,,,,,,,,
,,Silurian and lowermost Devonian Orthoceras-rich limestones and ammonite-rich limestones,GH&C,,,,,,,,,,,
,,,GH,,,,,,,,,,,
,,Early Devonian Kess Kess carbonate mounds,GH,,,,,,,,,,,
,,Middle Devonian coral stromatoporoid biostrome,GH,,,,,,,,,,,
,,Green eyes and red Devonian phacopid trilobite,GH,,,,,,,,,,,
,,Frasnian plants from the Drâa Valley,GH,,,,,,,,,,,
,,Well preserved shallow-water sedimentary features in Cambrian rocks,GH,,,,,,,,,,,
,,Foum-Zguid Jurassic dyke,GH,,,,,,,,,,,
Middle Atlas,Dakhla-Oued Eddahab,Typical coastal cliff of the Dakhla peninsula,S,"23°45'20"" N","15°55'30""W",….,….,,,,,,,
,,North border of the Dakhla lagoon north of the artesian well,S&Ar,"23°53'97""N","15°42'67""W",,,,,,,,,
,,Sphinx Rock,S,"23°53'97""N","15°42'67""W",,,,,,,,,
,,"Outcrops of Eocene for
 mations beneath Miocene deposits",S,"23°53'97""N","15°42'67""W",,,,,,,,,
,,Lower Eocene Izik Formation with chert nodules,S,"23°53'97""N","15°42'67""W",,,,,,,,,
,,Dewatering fold,S,"23°35'27""N","15°41'53""W",,,,,,,,,
,,Neptunian dyke in the Izik deposits,S,"23°35'27""N","15°41'53""W",,,,,,,,,
,,Shark tooth,PL,"23°35'27""N","15°41'53""W",,,,,,,,,
,,Miocene-Pliocene succession,S,"23°35'27""N","15°41'53""W",,,,,,,,,
,,Neolithic engravings on Lower Cretaceous sandstones,"S,SG&C","23°19'36""N","15°13'58""W",,,,,,,,,
,,Metabasite,Me&SG,"23°11'87""N","15°04'78""W",,,,,,,,,
,,Metagabbro of the Adrar Souttouf massif,Me&SG,"23°11'87""N","15°04'78""W",,,,,,,,,
,,Rounded hills of nepheline syenite,Me&Mg,"22°33'01""N","14°19'02""W",,,,,,,,,
,,Magmatic lineation,Me&Mg,"22°33'01""N","14°19'02""W",,,,,,,,,
,,Dliyat N’sour migmatite with large basic blocks crosscut by granite veins,"Me,Pt&SG","22°35'52""N","14°24'09""W",,,,,,,,,
,,Awsard panorama,SG,"22°37'38""N","14°24'29""W",,,,,,,,,
,,Oued Chebeika estuary,SG&Me,"28°17'44""N","11°31'30""W",,,,,,,,,
,,Cliffs of the west border of the Chebeika estuary,SG&Me,"28°17'44""N","11°31'30""W",,,,,,,,,
,,Lower Cretaceous f luvial sandstones (“Tan-Tan sands”) beneath the Hamada Plateau,"S,G&PG","28°28'45""N","11°12'15""W",,,,,,,,,
,,"Cross-bedding in the fluvial
  sandstones (“Tan-Tan sands”)","S,G&PG","28°28'45""N","11°12'15""W",,,,,,,,,
,,Transgression of the Lower Cretaceous redbeds on the Bas Draa Precambrian Massif,"SG,Mo&PG","28°23'24""N","11°01'01""W",,,,,,,,,
,,Upper Precambrian metaconglomerates (south-western tip of the Bas Draa inlier),SG,"28°20'46""N","10°56'03""W",,,,,,,,,
,,Vertical Cambrian quartzites (“Barre de Goulimine”) crossed by directional fault,St&SG,"28°16'40""N","10°54'07""W",,,,,,,,,
,,Cylindrical folds of Ordovician quartzites,St,"28°13'22""N","13°53'12""W",,,,,,,,,
,,Breached fold east of the sebkha,Mo,"28°13'22""N","13°53'12""W",,,,,,,,,
,,Lower Ordovician (Llanvirn) oolithic iron bed section,SG&Ec,"28°03'33""N","10°53'19""W",,,,,,,,,
,,"Perched syncline formed by Rich 1 and Rich 2 
  Jbel Rich fold train)",SG&Ec,"28°03'33""N","10°53'19""W",,,,,,,,,
,,Open folds of Jbel Rich,SG&Ec,"28°03'33""N","10°53'19""W",,,,,,,,,
,,Jbel Tazout cuesta (Tournaisian),SG,"28°00'58""N","10°49'01""W",,,,,,,,,
,,Jbel Ouarziz cuesta (Visean),SG,"28°00'58""N","10°49'01""W",,,,,,,,,
,,Laglat mica-schists showing superimposed structures,SG,"22°36'44""N","14°28'57""W",,,,,,,,,
Middle Atlas,,Accident of Izelfane,SG,33°21′25.4 ″N,4°02′39.3 ″W,….,….,,,,,,,
,,Fossils of Ighzer Izelfane,PL,33°21′28.4 ″N,4°01′46.7 ″W,,,,,,,,,
,,Diapir of Tittaouine,SG,33°22′04.3 ″N,4°01′00.1 ″W,,,,,,,,,
,,Salt mine of Tittaouine,GM,33°22′22.8 ″N,4°01′04.6 ″W,,,,,,,,,
,,Tittaouine Spring,H,33°22′28.6 ″N,4°01′16.4 ″W,,,,,,,,,
,,Jbel Aghanja’s fold,SG,33°22′43.9 ″N,4°00′37.9 ″W,,,,,,,,,
,,Kardoud and Abdel Ali springs,H,33°19′12.6 ″N,3°55′00.6 ″W,,,,,,,,,
,,Calcite quarry,GM,33°28′15.0 ″N,3°57′49.1 ″W,,,,,,,,,
,,Sauropod footprints,PL,33°28′48.8 ″N,4°01′25.5 ″W,,,,,,,,,
,,Jbel Bou Naceur,SG,33°34′14.7 ″N,3°53′16.8 ″W,,,,,,,,,
,,Ain Jdid,H,33°29′10.7 ″N,3°49′01.7 ″W,,,,,,,,,
Meseta,Doukkala-Abda,Late Precambrian rhyolites of Sidi Daoui,Pt,33°14′00″N,8°30′00″W,….,….,,,,,,,
,,Jbel Irhoud,"PL,St&T",….,….,,,,,,,,,
,,Sidi Saïd Mâachou Basin,"PL,St&Pt",33°00′33°15′N,8°00′8°15′W,,,,,,,,,
,,Lalla Fatna escarpment,PL&St,"32°23′54,15″N","9°15′44,54″W",,,,,,,,,
,,Sidi Bouzid escarpment,PL&St,32°18′01″N,9°15′04″W,,,,,,,,,
,,Jorf Lasfar escarpment,PL&St,"33°09′24,66″N","08°37′24,74″W",,,,,,,,,
,,Consolidated and unconsolidated dunes,G,….,….,,,,,,,,,
,,ElGoraan cave,GM,32°33′27″N,9°15′15″W,,,,,,,,,
,,ElKhénzira cave,GM,"33°09′24,64″N",08°37′23″W,,,,,,,,,
,,Oualidia caves,GM,"32°40′42″–32°47′07″,8°52′
  30″–9°02′50″",,,,,,,,,,
,,Oualidia Lagoon,E,"32°40′42″–32°47′07″,8°52′ 30″–9°02′50″",,,,,,,,,,
,,Sidi Moussa Lagoon,E,32°52′0″N,8°51′05″W,,,,,,,,,
,,Zima Lake,E,32°04’48″N,08°39’36″W,,,,,,,,,
,,Phosphate de posit of Ganntour,T,32°7′48″N,8°30′0″E,,,,,,,,,
,Béni Mellal-Khénifra,Phosphate layers (Ouled Abdoun basin),,,,,,,,,,,,
,,Phosphatherium escuilliei,,,,,,,,,,,,
,,Numidotherium koholense,,,,,,,,,,,,
Middle Atlas,,Boulemane,G&SG,"33°21'52""N","4°43'21""W",….,….,,,,,,,
,,Guigou valley,G&St,"33°24'17""N","4°43' 16""W",,,,,,,,,
,,Guigou valley,Pt,"33°27'39""N","4°40'21""W",,,,,,,,,
,,Taferdoust,G&I,"33°28'25""N","4°39'16""W",,,,,,,,,
,,Taghrout,"G,St&SG","33°28'59""N","4°36'27""W",,,,,,,,,
,,Anchrif,PL,"33°28'56""N","4°37'08""W",,,,,,,,,
,,Skoura,"H,S&G","33°30'58""N","4°32'23""W",,,,,,,,,
,,Tadaout,St,"33°31'09""N","4°3'020""W",,,,,,,,,
,,Tizi-n-Issoulitene,SG,"33°29'57""N","W4°27'29""W",,,,,,,,,
,,Mohammed Azeroual,PL,"33°29'55""N","42°8'08""W",,,,,,,,,
,,El Mers,PL&I,"33°26'40""N","4°27'00""W",,,,,,,,,
,,"The R’cham fold and surrounding panorama (Hafat Banat, Oued Rmel dam)",SG,,,,,,,,,,,
Rif,Tanger-Tétouan-Al Hoceïma,The flute casts of Punta Cires,S,,,35°54’N ,5° 25’ W,,,,,,,
,,Current patterns and inverted series of the Tizirène nappe at Ksar Sghir,SG,35°50’56‘’N,05°33’59‘’W,,,,,,,,,
,,The sandstone-mica flysch of the Oued Ledian coast,S,35°50’56‘’N,05°33’59‘’W,,,,,,,,,
,,Talaat Lakraa mixed flysch,G,,,,,,,,,,,
,,Beni Ider of Sidi Kankouch,S,,,,,,,,,,,
,,Cap Malabata,S,35° 46‘ and 35° 48’ N,5° 45‘ and 5° 49’ W,,,,,,,,,
,,The Upper Cretaceous of the Beni Ider nappe and the Italian Castle,S&SG,,,,,,,,,,,
,,Phoenician Necropolises and the Numidian,GeC,,,,,,,,,,,
,,The Numidian of Cap Spartel,S,,,,,,,,,,,
,,Achakar calcarenites,G,,,,,,,,,,,
,,Grotte Hercule,G,,,,,,,,,,,
Middle Atlas,Béni Mellal-Khénifra,"Ain Asserdoune, Béni Mellal city","H,G,K, C&Ec","32,3241 N","6,3375 W",,,,,,,,,
,,"Taghbaloute-n- Ouhlima, El Ksiba city","H,K,C&E","32,55341501 N","6,01361989 W",,,,,,,,,
,,"Ain Tamda, Zaouit Cheikh city","K,H,C&A","32,64057778 N","5,91269444 W",,,,,,,,,
,,"Sources d’Ouchrah, Tagzirte","G,K,H,E,C&R","32,42897599 N","6,170837578 W",,,,,,,,,
,,"Jbel Taçmit, Foum El Ancer","H,K&C","32,29302956 N","6,214958909 W",,,,,,,,,
,,"Canyon Moudj, Foum El Ancer","H,K&E","32,280556 N","6,2975 W",,,,,,,,,
Central High Atlas,Béni Mellal-Khénifra,Bine El Ouidane dam anchored in massive oncolithic limestones of the Fm BI,H,32°6′32.20″N,6°27′48.03″W,32° 06′ 24″Nto32°06′ 24″N,6° 27′ 50″ Wto6°27′ 50″ W,,,,,,,
,,"Panoramic view on the Tadla plain and the Afourer
  pumped storage power station (PSPS)",H,32°6′32.20″N,6°27′48.03″W,,,,,,,,,
,,"Rhynchonella-type brachiopods and big gasteropds ( marl-limestones of Fm
  BII)",PL,32° 6′24.89″N,6°27′29.98″W,,,,,,,,,
,,"Overfold affecting the marl-limestones of Fm
  BII",SG,32° 6′24.89″N,6°27′29.98″W,,,,,,,,,
,,"Large lamellibranchs, gasteropods, and polypiers (marl-limestones of Fm BII)",PL,32° 6′24.89″N,6°27′29.98″W,,,,,,,,,
,,Massive oncolitic limestones of Fm BIII ( beginning of Middle-Upper regression),PL,32° 6′23.08″N,6°27′6.69″W,,,,,,,,,
,,"Black limestone beds of Fm BII with large ammonites lamellibranchs, gasteropods, and polypiers",PL,32° 6′24.89″N,6°27′29.98″W,,,,,,,,,
,,Passage of the marine carbonate deposits from FmBIII to the red layers (Middle and Upper Jurassic regression),S,32° 6′24.85″N,6°26′49.91″W,,,,,,,,,
,,Footprints of Theropod & Sauropod dinosaurs ( Saurischia dinosaurs) in silt beds of Bathonian-age (165 Ma),PL,32° 6′24.85″N,6°26′49.91″W,,,,,,,,,
,,YellowishTilouguite Fm of Upper Bajocian-Lower Bathonian age,S,32° 6′24.85″N,6°26′49.91″W,,,,,,,,,
,,The first basalt flow (the major effusive event of Middle Jurassic),St,32°6′46.64″N,6°24′59.70″W,,,,,,,,,
,,Panoramic view of the Ouaouizaght syncline (Cretaceous formation),S&St,32° 7′54.04″N,6°23′49.67″ W,,,,,,,,,
