Geological domain,Administrative region,Evaluated geosites,Geosite's type,Coordinates,,Center coordinates,,,,,,Coordonées centrique,,
,,Isli Lake,H,32.222,5.550,,,,,,,,,
,,Tisli Lake,H,32.199,5.629,,,,,,,,,
,,Dolerite dykes and sills,PL,32.153,5.640,,,,,,,,,
,,Fairy chimneys,G,32.176,5.599,,,,,,,,,
,,Meandering Melloul river,G,32.159,5.603,,,,,,,,,
,,Sedimentary patterns,S,32.167,5.545,,,,,,,,,
,,Msadrid ridge,S,32.153,5.593,,,,,,,,,
,,Ait Ali Ou Ikkou's diapirsm,S,32.153,5.593,,,,,,,,,
,,Late Jurassic theropod tracks,PL,32.142,5.570,,,,,,,,,
,,Vertebrate tracks in the Isli Formation,PL,32.157,5.562,,,,,,,,,
,,Traces of Selenichnites- Tilmi syncline,PL,32.163,5.546,,,,,,,,,
,,Traces of Crocodylopodus meijidei,PL,32.183,5.458,,,,,,,,,
,,Tassent ridge,S,32.150,5.550,,,,,,,,,
,,Akhiam cave,G,31.958,5.696,,,,,,,,,
Central High Atlas,Béni Mellal-Khénifra,The cliff granaries of Aoujgal,S,….,….,31° 20′ 0″ N - 32° 40′ 0″ N,5° 20′ 0″ W- 7° 20′ 0″ W,,,,,,,
,,The architectural heritage of Zaouiat Ahansal,C,,,,,,,,,,,
,,Panorama of Zaouiat Ahansal,G,,,,,,,,,,,
,,The natural bridge of Imin Ifri,G,,,,,,,,,,,
,,The dinosaur geosites of Iouaridène,PL,,,,,,,,,,,
,,Dinosaur footprints,PL,,,,,,,,,,,
,,Aït Blal Rock engravings,C,,,,,,,,,,,
,,Tizi-n-Tighist Geo landscape,S,,,,,,,,,,,
,,Paleo-dam of Tizi-n-Tighza,S,,,,,,,,,,,
,,Ibaqualliwn Lamellibranches of Tizi-n-Tighist,PL,,,,,,,,,,,
,,Jbel Azoukri Ait Attab synclinal (1),S,,,,,,,,,,,
,,Ait Attab synclinal (2),S,,,,,,,,,,,
,,"The Bin El Ouidane dam ""Chocolate Marls""",S,,,,,,,,,,,
,,The Ouzoud waterfalls,G&H,,,,,,,,,,,
,,Cliff of Ait Abdi,SG,,,,,,,,,,,
,,The “Cathedral” Mastfrane,R,,,,,,,,,,,
,,Talmst Ride,SG,,,,,,,,,,,
,,Dinosaur footprints,PL,,,,,,,,,,,
Central High Atlas,Béni Mellal-Khénifra,Collective granary of Sidi Moussa,C,….,….,31° 20′ 0″ N,5° 20′ 0″ W,,,,,,,
,,"Granary, Ighrem",C,,,32° 40′ 0″ N,7° 20′ 0″ W,,,,,,,
,,Footprints of the carnivorous dinosaur (Tridactyl),PL,,,,,,,,,,,
,,Herbivorous dinosaur footprints,PL,,,,,,,,,,,
,,Izourar plateaus,SG&S,,,,,,,,,,,
,,Rock engravings of Tizi-n-Tighist,En,,,,,,,,,,,
Jbilet Massif,Marrakech-Saf,Archaeoctic limestone,PL&S,….,….,"31° 
52′ 30″N", 8° 52′ 00″W,,,,,,,
,,Sandstone-fault families,S&S,,,,,,,,,,,
,,"Faiult mirror-gradin 
 crystallization",S,,,,,,,,,,,
,,Karst networks of barite,S&M,,,,,,,,,,,
,,Calcite crystals,Pt,,,,,,,,,,,
,,"Cambrian sandstone & shale,Gray massive Cambrian limestones",S,,,,,,,,,,,
,,,,,,,,,,,,,,
,,The western tip of the Cambrian crest,S,,,,,,,,,,,
,,Jbel Irhoud anticline,S,,,,,,,,,,,
Meseta,Marrakech-Safi,Sidi Bouzid escarpment,"S,St&PL",32°18′01′′N,9°15′04′′W,….,….,,,,,,,
,,Chaâba valley,"S,S&PL",32°18′10′′N,9°13′51′W,,,,,,,,,
,,Sidi Abderrahmane clayquarry,S/St,32°19′57′′N,9°10′36′′W,,,,,,,,,
,,Sidi Abderrahmane dam,H,32°19′26′′N,9°10′49′′W,,,,,,,,,
,,Escarpment of Lalla Fatna,"S,PL&St",32°23′15′′N,9°15′54′′W,,,,,,,,,
,,Cap Beddouza,S/St/G,32°33′03′′N,9°16′22′′W,,,,,,,,,
,,El Goraan cave,G,32°33′27′′N,9°15′15′′W,,,,,,,,,
,,Souira Lgdima,"S,St&G",32°02′16′′N,9°20′26′′W,,,,,,,,,
,,Sidi Tiji Gypsum quarry,S&St,32°09′28′′N,08°51′55′′W,,,,,,,,,
,,Jorf Lihoudi,"S,St&PL",32°10′48′′N,9°15′36′′W,,,,,,,,,
,,The lagoon of Oualidia,H,32°44′21′′N,9°02′13′′W,,,,,,,,,
Meseta,Marrakech-Safi,Panoramic view of the cliff,G,….,….,32°18′01′′N,9°15′04′′W,,,,,,,
,,beach of Sidi Bouzide,G,,,,,,,,,,,
,,Marine fauna of the lower limestone,PL&S,,,,,,,,,,,
,,Yellow dolomite lower limestone Contact,S&SG,,,,,,,,,,,
,,Brown clay marine faun in the intercalated banks,PL&S,,,,,,,,,,,
,,The source Lalla Mira,H,,,,,,,,,,,
,,The wave of Saf,G,,,,,,,,,,,
,,Marabout Sidi Bouzid,R,,,,,,,,,,,
,,The marine fauna presented in the banks,PL,,,,,,,,,,,
Tabular Middle Atlas,Draa-Tafilalet & Fès-Méknès,Lake Afourgagh- charophytes tufas & gyrogonites,"SG,H & PL",33°37''N,04°53''W,….,….,,,,,,,
