Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Coordinate_Extraction_Method,Elevation_m,Slope_deg,Ruggedness,Dist_to_Dam_m,Dist_to_River_m,LULC_Class,Soil_Class,Geology_Class,Dist_to_Highway_m,Dist_to_Piste_m
28,Ait Snan Fault,SG,Central High Atlas,Draa-Tafilalet,31.39527777777778,-5.5975,Numeric DMS,2220.994873046875,0.9482800364494324,71.34072875976562,17034.08203125,0.0,5.0,9.0,,4733.72802734375,2366.864013671875
29,"Tamtetoucht ""Red beds""",PL,Central High Atlas,Draa-Tafilalet,31.71722222222222,-5.507777777777778,Numeric DMS,1541.9693603515625,0.7043924927711487,18.69491958618164,42108.16015625,0.0,5.0,9.0,,0.0,1183.4320068359375
30,Ait Hani Triassic salt cave,G,Central High Atlas,Draa-Tafilalet,31.86416666666667,-5.470555555555555,Numeric DMS,2159.265380859375,6.497475624084473,859.2855834960938,32651.7109375,0.0,5.0,9.0,71.0,0.0,0.0
31,Toumlilin Middle Jurassic strata,S,Central High Atlas,Draa-Tafilalet,32.85666666666667,-5.465555555555556,Numeric DMS,2385.607177734375,79.70216369628906,989.2388305664062,4966.74560546875,1183.4320068359375,13.0,,13.0,7577.662109375,0.0
32,Ighrem N’Ougdal Middle Jurassic strata,G,Central High Atlas,Draa-Tafilalet,32.009166666666665,-5.490833333333334,Numeric DMS,,,,23650.29296875,1183.4320068359375,5.0,9.0,71.0,0.0,0.0
33,Tinghir Paleozoic-Cretaceous unconformity,SG,Central High Atlas,Draa-Tafilalet,31.48305555555556,-5.539444444444444,Numeric DMS,2344.4541015625,3.1323697566986084,88.64817810058594,23883.310546875,0.0,5.0,9.0,36.0,0.0,1183.4320068359375
34,Foum El Kouss Basalts,PT,Central High Atlas,Draa-Tafilalet,31.435277777777777,-5.655,Numeric DMS,,,,12300.3544921875,1183.4320068359375,10.0,9.0,,0.0,1183.4320068359375
35,Timaderouine Cretaceous-Tertiary strata,S,Central High Atlas,Draa-Tafilalet,31.411666666666665,-5.722222222222222,Numeric DMS,,,,4966.74560546875,0.0,10.0,9.0,66.0,0.0,1183.4320068359375
36,Imider Tertiary strata,S,Central High Atlas,Draa-Tafilalet,31.375,-5.7908333333333335,Numeric DMS,,,,4733.72802734375,0.0,5.0,9.0,66.0,0.0,0.0
37,Anou N’Izm Tertiary strata,S,Central High Atlas,Draa-Tafilalet,31.33944444444444,-5.838611111111111,Numeric DMS,,,,9456.4501953125,0.0,5.0,9.0,38.0,0.0,0.0
38,Ait Youl Basalts,PT,Central High Atlas,Draa-Tafilalet,31.425,-6.011388888888889,Numeric DMS,1891.7703857421875,1.2697162628173828,74.95832061767578,21534.79296875,0.0,5.0,,,0.0,0.0
39,Ait Ibriren Quaternary deposits,S,Central High Atlas,Draa-Tafilalet,31.441944444444445,-6.010833333333333,Numeric DMS,1871.19384765625,0.49809327721595764,40.18706130981445,21767.810546875,0.0,5.0,8.0,38.0,0.0,0.0
40,Tamlalet Monkey’s fingers structures,G,Central High Atlas,Draa-Tafilalet,31.44333333333333,-5.978055555555556,Numeric DMS,1974.0765380859375,2.5198428630828857,82.9201431274414,18217.513671875,1183.4320068359375,5.0,,,1183.4320068359375,0.0
41,Ait Ouglef Allochthonous limestones,SG,Central High Atlas,Draa-Tafilalet,31.454722222222223,-5.959722222222222,Numeric DMS,2035.80615234375,1.340947151184082,91.51912689208984,17267.099609375,2366.864013671875,5.0,,38.0,0.0,0.0
42,Tissadrine Folds,SG,Central High Atlas,Draa-Tafilalet,31.529444444444444,-5.925833333333333,Numeric DMS,1871.19384765625,0.8978981971740723,25.588083267211914,17511.123046875,0.0,5.0,8.0,14.0,0.0,0.0
43,Taghia N’Ait Hammou Gorges,SG,Central High Atlas,Draa-Tafilalet,31.53666666666667,-5.919444444444445,Numeric DMS,1891.7703857421875,0.8804658055305481,26.490564346313477,17511.123046875,0.0,5.0,8.0,14.0,0.0,1183.4320068359375
44,Tilmi Folds ,SG,Central High Atlas,Draa-Tafilalet,31.80138888888889,-5.926111111111111,DMS,,,,12067.3369140625,1183.4320068359375,10.0,9.0,71.0,13231.171875,1183.4320068359375
